run,ready_s,release_s,release_minus_ready_us,first_tx_min_s,injection_end_s,last_ack_s,order_ok(ready<=release<=first_tx<=inj_end<=last_ack)
mx_s1_dcqcn,2.000000000,2.000000000,0.0,2.000000000,2.003629869,2.003777823,True
mx_s1_dctcp,2.000000000,2.000000000,0.0,2.000000000,2.003629869,2.003777823,True
mx_s1_timely,2.000000000,2.000000000,0.0,2.000000000,2.005195083,2.005207907,True
mx_s1_hpcc,2.000000000,2.000000000,0.0,2.000000000,2.004123190,2.004136218,True
mx_s1_cbapsba,2.000000000,2.000005000,5.0,2.000005000,2.003563220,2.003583920,True
mx_s2_dcqcn,2.000000000,2.000000000,0.0,2.000000000,2.015629436,2.015642236,True
mx_s2_dctcp,2.000000000,2.000000000,0.0,2.000000000,2.014261922,2.014345643,True
mx_s2_timely,2.000000000,2.000000000,0.0,2.000000000,2.014561872,2.014574696,True
mx_s2_hpcc,2.000000000,2.000000000,0.0,2.000000000,2.015194272,2.015207300,True
mx_s2_cbapsba,2.000000000,2.000005000,5.0,2.000005000,2.014236602,2.014249636,True
mx_s3_dcqcn,2.000000000,2.000000000,0.0,2.000000000,2.058358813,2.058372997,True
mx_s3_dctcp,2.000000000,2.000000000,0.0,2.000000000,2.057194295,2.057247409,True
mx_s3_timely,2.000000000,2.000000000,0.0,2.000000000,2.057851463,2.057865671,True
mx_s3_hpcc,2.000000000,2.000000000,0.0,2.000000000,2.060312230,2.060326700,True
mx_s3_cbapsba,2.000000000,2.000005000,5.0,2.000005000,2.056820312,2.056841222,True
mx_s4_dcqcn,2.000000000,2.000000000,0.0,2.000000000,2.059055061,2.059069245,True
mx_s4_dctcp,2.000000000,2.000000000,0.0,2.000000000,2.057272966,2.057307766,True
mx_s4_timely,2.000000000,2.000000000,0.0,2.000000000,2.057885677,2.057899885,True
mx_s4_hpcc,2.000000000,2.000000000,0.0,2.000000000,2.060325620,2.060340659,True
mx_s4_cbapsba,2.000000000,2.000005000,5.0,2.000005000,2.056825000,2.056844574,True
mx_s5_dcqcn,2.000000000,2.000000000,0.0,2.000000000,2.230358852,2.230372164,True
mx_s5_dctcp,2.000000000,2.000000000,0.0,2.000000000,2.228654130,2.228689095,True
mx_s5_timely,2.000000000,2.000000000,0.0,2.000000000,2.230988800,2.231002136,True
mx_s5_hpcc,2.000000000,2.000000000,0.0,2.000000000,2.241109494,2.241123617,True
mx_s5_cbapsba,2.000000000,2.000005000,5.0,2.000005000,2.227248526,2.227263900,True
mx_s6_dcqcn,2.000000000,2.000000000,0.0,2.000000000,2.006545118,2.006852911,True
mx_s6_dctcp,2.000000000,2.000000000,0.0,2.000000000,2.006560508,2.006853749,True
mx_s6_timely,2.000000000,2.000000000,0.0,2.000000000,2.008226733,2.008239557,True
mx_s6_hpcc,2.000000000,2.000000000,0.0,2.000000000,2.007312370,2.007325398,True
mx_s6_cbapsba,2.000000000,2.000005000,5.0,2.000005000,2.006852385,2.006865185,True
