scenario,algorithm,CCT_ms,BCT_ms,FCT_mean_us
S1,dcqcn,3.7778,3.7778,3715.3
S1,dctcp,3.7778,3.7778,3715.3
S1,timely,5.2079,5.2079,5021.8
S1,hpcc,4.1362,4.1362,3931.8
S1,cbapsba,3.5839,3.5789,3571.5
S2,dcqcn,15.6422,15.6422,14128.7
S2,dctcp,14.3456,14.3456,14149.2
S2,timely,14.5747,14.5747,14272.5
S2,hpcc,15.2073,15.2073,14810.7
S2,cbapsba,14.2496,14.2446,14202.3
S3,dcqcn,58.373,58.373,54278.5
S3,dctcp,57.2474,57.2474,56583.8
S3,timely,57.8657,57.8657,57274.5
S3,hpcc,60.3267,60.3267,59733.9
S3,cbapsba,56.8412,56.8362,56790.1
S4,dcqcn,59.0692,59.0692,54328.5
S4,dctcp,57.3078,57.3078,56614.6
S4,timely,57.8999,57.8999,57266.7
S4,hpcc,60.3407,60.3407,59706.0
S4,cbapsba,56.8446,56.8396,56793.1
S5,dcqcn,230.3722,230.3722,222506.4
S5,dctcp,228.6891,228.6891,227739.5
S5,timely,231.0021,231.0021,229816.4
S5,hpcc,241.1236,241.1236,239808.6
S5,cbapsba,227.2639,227.2589,227219.4
S6,dcqcn,6.8529,6.8529,6778.8
S6,dctcp,6.8537,6.8537,6775.4
S6,timely,8.2396,8.2396,6990.0
S6,hpcc,7.3254,7.3254,7128.6
S6,cbapsba,6.8652,6.8602,6835.6
