scenario,algorithm,FCT_p95_us,FCT_p99_us
S1,dcqcn,3777.7,3777.8
S1,dctcp,3777.7,3777.8
S1,timely,5172.7,5207.9
S1,hpcc,4118.6,4136.2
S1,cbapsba,3576.6,3576.8
S2,dcqcn,14707.6,15133.8
S2,dctcp,14333.5,14341.3
S2,timely,14496.5,14537.2
S2,hpcc,15080.9,15162.9
S2,cbapsba,14219.1,14219.8
S3,dcqcn,57753.9,58192.5
S3,dctcp,57203.2,57240.2
S3,timely,57830.3,57853.5
S3,hpcc,60181.3,60227.2
S3,cbapsba,56802.2,56802.6
S4,dcqcn,58122.8,58451.5
S4,dctcp,57167.2,57206.7
S4,timely,57827.8,57849.1
S4,hpcc,60228.1,60303.5
S4,cbapsba,56806.2,56806.7
S5,dcqcn,228848.8,229360.6
S5,dctcp,228612.0,228636.0
S5,timely,230937.7,230989.2
S5,hpcc,240921.5,240970.4
S5,cbapsba,227237.5,227237.8
S6,dcqcn,6851.6,6852.8
S6,dctcp,6853.3,6853.6
S6,timely,8198.7,8217.5
S6,hpcc,7295.6,7307.1
S6,cbapsba,6840.0,6840.6
