scenario,algorithm,queue_p99_B,queue_max_B,queue_delay_p99_us,queue_delay_max_us
S1,dcqcn,0.0,321736.0,0.0,257.39
S1,dctcp,0.0,321736.0,0.0,257.39
S1,timely,0.0,304128.0,0.0,243.3
S1,hpcc,0.0,285580.0,0.0,228.46
S1,cbapsba,0.0,19912.0,0.0,15.93
S2,dcqcn,0.0,1279608.0,0.0,1023.69
S2,dctcp,0.0,1276464.0,0.0,1021.17
S2,timely,0.0,1278816.0,0.0,1023.05
S2,hpcc,0.0,1296010.0,0.0,1036.81
S2,cbapsba,0.0,20960.0,0.0,16.77
S3,dcqcn,967304.0,1279608.0,773.84,1023.69
S3,dctcp,1218824.0,1276464.0,975.06,1021.17
S3,timely,100320.0,1278816.0,80.26,1023.05
S3,hpcc,14170.0,1296010.0,11.34,1036.81
S3,cbapsba,19912.0,26200.0,15.93,20.96
S4,dcqcn,410792.0,1276464.0,328.63,1021.17
S4,dctcp,1134912.0,1276464.0,907.93,1021.17
S4,timely,22176.0,1278816.0,17.74,1023.05
S4,hpcc,2180.0,1296010.0,1.74,1036.81
S4,cbapsba,17816.0,28296.0,14.25,22.64
S5,dcqcn,1064768.0,1279608.0,851.81,1023.69
S5,dctcp,1270176.0,1276464.0,1016.14,1021.17
S5,timely,119328.0,1278816.0,95.46,1023.05
S5,hpcc,18530.0,1296010.0,14.82,1036.81
S5,cbapsba,37728.0,48208.0,30.18,38.57
S6,dcqcn,0.0,599456.0,0.0,479.56
S6,dctcp,0.0,599456.0,0.0,479.56
S6,timely,0.0,591360.0,0.0,473.09
S6,hpcc,0.0,598410.0,0.0,478.73
S6,cbapsba,0.0,26200.0,0.0,20.96
