run_id,algorithm,rate_gbps,message_size_bytes,fanin,buffer_mb,background_load_frac,baseline_profile,cbap_params,config_path,raw_output_path,exit_code,completed_flow_count,expected_flow_count,flow_timing_sha256,status
fm10g_s0_cbap,cbap,10,262144,64,64,0.8,cbap_frozen,Dt=8us;BMAX=0.02;HG=118us;Dabs=826us;epoch=5us;minrate=0.01C,v2_400g/configs/fm10g_s0_cbap.txt,v2_400g/results/fm10g_s0_cbap/,0,64,64,2933ac5f1f4bd7a866ab64e5bb350b83975d27061b38cf0191fe2c3a973e16bb,valid
fm10g_s0_hpcc,hpcc,10,262144,64,64,0.8,stock,-,v2_400g/configs/fm10g_s0_hpcc.txt,v2_400g/results/fm10g_s0_hpcc/,0,64,64,8294c23407c628555bbe502dc680f0b30595d15b7c656778cb871a17cbb39d00,valid
fm10g_s0_dcqn,dcqn,10,262144,64,64,0.8,speed_normalized,-,v2_400g/configs/fm10g_s0_dcqn.txt,v2_400g/results/fm10g_s0_dcqn/,0,64,64,8545e0e02ade4695f7bc4c6dccb187509237d3e5dae03f88060941e086b768ac,valid
fm10g_s0_dcql,dcql,10,262144,64,64,0.8,speed_normalized+low_ecn,-,v2_400g/configs/fm10g_s0_dcql.txt,v2_400g/results/fm10g_s0_dcql/,0,64,64,1aa917c9140f61bcb838703a644b4e3eb51ddaf5937715b4298a5d366ac51cc2,valid
fm10g_s0_dctcp,dctcp,10,262144,64,64,0.8,speed_normalized,-,v2_400g/configs/fm10g_s0_dctcp.txt,v2_400g/results/fm10g_s0_dctcp/,0,64,64,81b53fca7756825db1416fdb588e644a12c61f4b69f648b829074fd8f0eaa219,valid
fm10g_s0_timely,timely,10,262144,64,64,0.8,stock,-,v2_400g/configs/fm10g_s0_timely.txt,v2_400g/results/fm10g_s0_timely/,0,64,64,41831f1376d704668562880a08536b3de78ee65a2fe22359861da26280979064,valid
fm10g_s1_cbap,cbap,10,1048576,64,64,0.8,cbap_frozen,Dt=8us;BMAX=0.02;HG=118us;Dabs=826us;epoch=5us;minrate=0.01C,v2_400g/configs/fm10g_s1_cbap.txt,v2_400g/results/fm10g_s1_cbap/,0,64,64,09e38d5dd7dc7ef5e598f634ddebd204689db21a2e16318217d5074d332a69f1,valid
fm10g_s1_hpcc,hpcc,10,1048576,64,64,0.8,stock,-,v2_400g/configs/fm10g_s1_hpcc.txt,v2_400g/results/fm10g_s1_hpcc/,0,64,64,c952c0af555d2554c4db07c9431bfb92d7bc28eb3abe85f60d73eda3a294821b,valid
fm10g_s1_dcqn,dcqn,10,1048576,64,64,0.8,speed_normalized,-,v2_400g/configs/fm10g_s1_dcqn.txt,v2_400g/results/fm10g_s1_dcqn/,0,64,64,1684a30fb3674bb6e5ea1cb9868df7fc3c7a13840fb72110f7d7e20bce0a96b8,valid
fm10g_s1_dcql,dcql,10,1048576,64,64,0.8,speed_normalized+low_ecn,-,v2_400g/configs/fm10g_s1_dcql.txt,v2_400g/results/fm10g_s1_dcql/,0,64,64,110316cabe4a71dc24fd25e87f9bda0d02fe591599269adec8ae539e5b552357,valid
