cell,rate_g,stage,n,mean_us,p95_us,p99_us,max_us
heff_10g,10,arrival_at_bottleneck,270,72.86,105.656,109.421,139.101
heff_10g,10,counters_pending_63_inflight_0,1,0.0,0.0,0.0,0.0
heff_10g,10,counters_unmatched_0_superseded_851_negative_0,1,0.0,0.0,0.0,0.0
heff_10g,10,first_affected_at_bottleneck,270,80.413,113.769,117.769,147.969
heff_10g,10,rate_command,1184,0.0,0.0,0.0,0.0
heff_10g,10,sender_rate_effect,270,0.0,0.0,0.0,0.0
heff_200g,200,arrival_at_bottleneck,1514,9.186,11.221,12.394,12.72
heff_200g,200,counters_pending_0_inflight_0,1,0.0,0.0,0.0,0.0
heff_200g,200,counters_unmatched_0_superseded_0_negative_0,1,0.0,0.0,0.0,0.0
heff_200g,200,first_affected_at_bottleneck,1514,12.469,14.21,14.97,15.41
heff_200g,200,rate_command,1514,0.0,0.0,0.0,0.0
heff_200g,200,sender_rate_effect,1514,0.0,0.0,0.0,0.0
heff_400g,400,arrival_at_bottleneck,1515,7.063,8.253,8.699,8.853
heff_400g,400,counters_pending_1_inflight_0,1,0.0,0.0,0.0,0.0
heff_400g,400,counters_unmatched_0_superseded_0_negative_0,1,0.0,0.0,0.0,0.0
heff_400g,400,first_affected_at_bottleneck,1515,9.996,11.225,11.805,12.105
heff_400g,400,rate_command,1516,0.0,0.0,0.0,0.0
heff_400g,400,sender_rate_effect,1515,0.0,0.0,0.0,0.0
