tag,rate_g,size,arm,buffer_mb,n_complete,mean_cct_ms,p99_cct_ms,ideal_ms,p99_over_ideal,qpeak_mb,qdelay_us,pfc,retx,bg_tail_gbps,bg_total_gb
pv10g_256k_cbap,10,256k,cbap,64,64,14.2660035,14.275943,14.0985,1.0125858885049819,0.0706,59.2,0,0,7.61600000000031,0.022626184
pv10g_256k_hpcc,10,256k,hpcc,64,64,14.892892218750003,15.19252,14.0985,1.0775982618331907,1.2432,1042.83,0,0,7.235200000000295,0.0210868
pv10g_256k_dcqs,10,256k,dcqs,64,64,14.165778140624997,15.153297,14.0985,1.074816192984581,1.2226,1025.6,0,0,4.188800000000171,0.013355608
pv10g_256k_dcqn,10,256k,dcqn,64,64,14.165778140624997,15.153297,14.0985,1.074816192984581,1.2226,1025.6,0,0,4.188800000000171,0.013355608
pv10g_256k_dcql,10,256k,dcql,64,64,14.812454046875002,15.755133,14.0985,1.117504135966301,1.1559,969.6,0,0,3.998400000000163,0.012781552
pv10g_1m_cbap,10,1m,cbap,64,64,56.988445999999996,56.999975,56.394,1.0107453204691408,0.2546,213.6,0,0,7.61600000000031,0.022455776
pv10g_1m_hpcc,10,1m,hpcc,64,64,59.979805031249995,60.574888,56.394,1.074137042760849,1.2432,1042.83,0,0,7.425600000000302,0.018788672
pv10g_1m_dcqs,10,1m,dcqs,64,64,54.76659492187498,58.463576,56.394,1.0366984522342682,1.2226,1025.6,0,0,4.760000000000193,0.01474172
pv10g_1m_dcqn,10,1m,dcqn,64,64,54.76659492187498,58.463576,56.394,1.0366984522342682,1.2226,1025.6,0,0,4.760000000000193,0.01474172
pv10g_1m_dcql,10,1m,dcql,64,64,57.09251842187501,60.694062,56.394,1.0762502816319464,1.1559,969.6,0,0,3.808000000000155,0.013544104
pv10g_4m_cbap,10,4m,cbap,64,64,222.83489099999997,228.204903,225.57601,1.0116541183367371,1.1244,943.2,0,0,7.425600000002879,0.023725744
pv10g_4m_hpcc,10,4m,hpcc,64,9,238.87465244444445,239.953088,225.57601,1.0637349438667296,1.2432,1042.83,0,0,0.19040000000007382,0.013269928
pv10g_4m_dcqs,10,4m,dcqs,64,64,222.46643367187505,229.419534,225.57601,1.0170386935025453,1.2226,1025.6,0,0,5.712000000002215,0.019207552
pv10g_4m_dcqn,10,4m,dcqn,64,64,222.46643367187505,229.419534,225.57601,1.0170386935025453,1.2226,1025.6,0,0,5.712000000002215,0.019207552
pv10g_4m_dcql,10,4m,dcql,64,64,226.52027553125,234.780205,225.57601,1.0408030597493052,1.1559,969.6,0,0,2.8560000000011074,0.015388128
pv10g_16m_cbap,10,16m,cbap,64,64,899.9433530156252,913.978203,902.30405,1.0129381544608622,1.1902,998.4,0,0,7.425599999992574,0.025371752
pv10g_16m_hpcc,10,16m,hpcc,64,0,,,902.30405,,1.2432,1042.83,0,0,0.19039999999980958,0.024800552
