scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
s1_fan16_256k_bg80,cbap_sba,2,1,0b000001-0b004001-10000-3,0,64,262144,2.000000000,2.035163932,0.035163932,262144,1,59639291.761,0,0
s1_fan16_256k_bg80,cbap_sba,2,4,0b000301-0b004001-10000-3,3,64,262144,2.000000000,2.035164085,0.035164085,262144,1,59639032.268,0,0
s1_fan16_256k_bg80,cbap_sba,2,6,0b000501-0b004001-10000-3,5,64,262144,2.000000000,2.035164238,0.035164238,262144,1,59638772.778,0,0
s1_fan16_256k_bg80,cbap_sba,2,9,0b000801-0b004001-10000-3,8,64,262144,2.000000000,2.035164391,0.035164391,262144,1,59638513.290,0,0
s1_fan16_256k_bg80,cbap_sba,2,5,0b000401-0b004001-10000-3,4,64,262144,2.000000000,2.035164544,0.035164544,262144,1,59638253.805,0,0
s1_fan16_256k_bg80,cbap_sba,2,10,0b000901-0b004001-10000-3,9,64,262144,2.000000000,2.035164697,0.035164697,262144,1,59637994.321,0,0
s1_fan16_256k_bg80,cbap_sba,2,13,0b000c01-0b004001-10000-3,12,64,262144,2.000000000,2.035164850,0.035164850,262144,1,59637734.840,0,0
s1_fan16_256k_bg80,cbap_sba,2,15,0b000e01-0b004001-10000-3,14,64,262144,2.000000000,2.035165003,0.035165003,262144,1,59637475.362,0,0
s1_fan16_256k_bg80,cbap_sba,2,11,0b000a01-0b004001-10000-3,10,64,262144,2.000000000,2.035165156,0.035165156,262144,1,59637215.885,0,0
s1_fan16_256k_bg80,cbap_sba,2,7,0b000601-0b004001-10000-3,6,64,262144,2.000000000,2.035165309,0.035165309,262144,1,59636956.411,0,0
s1_fan16_256k_bg80,cbap_sba,2,14,0b000d01-0b004001-10000-3,13,64,262144,2.000000000,2.035165462,0.035165462,262144,1,59636696.939,0,0
s1_fan16_256k_bg80,cbap_sba,2,2,0b000101-0b004001-10000-3,1,64,262144,2.000000000,2.035165615,0.035165615,262144,1,59636437.469,0,0
s1_fan16_256k_bg80,cbap_sba,2,8,0b000701-0b004001-10000-3,7,64,262144,2.000000000,2.035165768,0.035165768,262144,1,59636178.001,0,0
s1_fan16_256k_bg80,cbap_sba,2,12,0b000b01-0b004001-10000-3,11,64,262144,2.000000000,2.035166759,0.035166759,262144,1,59634497.453,0,0
s1_fan16_256k_bg80,cbap_sba,2,16,0b000f01-0b004001-10000-3,15,64,262144,2.000000000,2.035166912,0.035166912,262144,1,59634238.002,0,0
s1_fan16_256k_bg80,cbap_sba,2,3,0b000201-0b004001-10000-3,2,64,262144,2.000000000,2.035167065,0.035167065,262144,1,59633978.554,0,0
s1_fan16_256k_bg80,cbap_sba,2,0,0b004101-0b004001-10000-3,65,64,4000000000,1.000005000,,,1050610000,0,7640834731.067,0,0
