scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
s3_fan64_1m_bg80,cbapsba,2,1,0b000001-0b004001-10000-3,0,64,1048576,2.000000000,2.056862499,0.056862499,1048576,1,147524434.338,0,0
s3_fan64_1m_bg80,cbapsba,2,4,0b000301-0b004001-10000-3,3,64,1048576,2.000000000,2.056862998,0.056862998,1048576,1,147523139.740,0,0
s3_fan64_1m_bg80,cbapsba,2,6,0b000501-0b004001-10000-3,5,64,1048576,2.000000000,2.056863497,0.056863497,1048576,1,147521845.165,0,0
s3_fan64_1m_bg80,cbapsba,2,9,0b000801-0b004001-10000-3,8,64,1048576,2.000000000,2.056863996,0.056863996,1048576,1,147520550.613,0,0
s3_fan64_1m_bg80,cbapsba,2,5,0b000401-0b004001-10000-3,4,64,1048576,2.000000000,2.056864495,0.056864495,1048576,1,147519256.084,0,0
s3_fan64_1m_bg80,cbapsba,2,10,0b000901-0b004001-10000-3,9,64,1048576,2.000000000,2.056864994,0.056864994,1048576,1,147517961.578,0,0
s3_fan64_1m_bg80,cbapsba,2,13,0b000c01-0b004001-10000-3,12,64,1048576,2.000000000,2.056865493,0.056865493,1048576,1,147516667.094,0,0
s3_fan64_1m_bg80,cbapsba,2,15,0b000e01-0b004001-10000-3,14,64,1048576,2.000000000,2.056865992,0.056865992,1048576,1,147515372.633,0,0
s3_fan64_1m_bg80,cbapsba,2,11,0b000a01-0b004001-10000-3,10,64,1048576,2.000000000,2.056866491,0.056866491,1048576,1,147514078.194,0,0
s3_fan64_1m_bg80,cbapsba,2,23,0b001601-0b004001-10000-3,22,64,1048576,2.000000000,2.056866990,0.056866990,1048576,1,147512783.778,0,0
s3_fan64_1m_bg80,cbapsba,2,19,0b001201-0b004001-10000-3,18,64,1048576,2.000000000,2.056867489,0.056867489,1048576,1,147511489.385,0,0
s3_fan64_1m_bg80,cbapsba,2,17,0b001001-0b004001-10000-3,16,64,1048576,2.000000000,2.056867988,0.056867988,1048576,1,147510195.015,0,0
s3_fan64_1m_bg80,cbapsba,2,14,0b000d01-0b004001-10000-3,13,64,1048576,2.000000000,2.056868487,0.056868487,1048576,1,147508900.668,0,0
s3_fan64_1m_bg80,cbapsba,2,32,0b001f01-0b004001-10000-3,31,64,1048576,2.000000000,2.056868986,0.056868986,1048576,1,147507606.343,0,0
s3_fan64_1m_bg80,cbapsba,2,26,0b001901-0b004001-10000-3,25,64,1048576,2.000000000,2.056869485,0.056869485,1048576,1,147506312.041,0,0
s3_fan64_1m_bg80,cbapsba,2,25,0b001801-0b004001-10000-3,24,64,1048576,2.000000000,2.056869984,0.056869984,1048576,1,147505017.761,0,0
s3_fan64_1m_bg80,cbapsba,2,21,0b001401-0b004001-10000-3,20,64,1048576,2.000000000,2.056870483,0.056870483,1048576,1,147503723.505,0,0
s3_fan64_1m_bg80,cbapsba,2,34,0b002101-0b004001-10000-3,33,64,1048576,2.000000000,2.056870982,0.056870982,1048576,1,147502429.271,0,0
s3_fan64_1m_bg80,cbapsba,2,31,0b001e01-0b004001-10000-3,30,64,1048576,2.000000000,2.056871481,0.056871481,1048576,1,147501135.059,0,0
s3_fan64_1m_bg80,cbapsba,2,29,0b001c01-0b004001-10000-3,28,64,1048576,2.000000000,2.056871980,0.056871980,1048576,1,147499840.871,0,0
s3_fan64_1m_bg80,cbapsba,2,30,0b001d01-0b004001-10000-3,29,64,1048576,2.000000000,2.056872479,0.056872479,1048576,1,147498546.705,0,0
s3_fan64_1m_bg80,cbapsba,2,37,0b002401-0b004001-10000-3,36,64,1048576,2.000000000,2.056872978,0.056872978,1048576,1,147497252.562,0,0
s3_fan64_1m_bg80,cbapsba,2,35,0b002201-0b004001-10000-3,34,64,1048576,2.000000000,2.056873477,0.056873477,1048576,1,147495958.441,0,0
s3_fan64_1m_bg80,cbapsba,2,33,0b002001-0b004001-10000-3,32,64,1048576,2.000000000,2.056873976,0.056873976,1048576,1,147494664.343,0,0
s3_fan64_1m_bg80,cbapsba,2,46,0b002d01-0b004001-10000-3,45,64,1048576,2.000000000,2.056874475,0.056874475,1048576,1,147493370.268,0,0
s3_fan64_1m_bg80,cbapsba,2,41,0b002801-0b004001-10000-3,40,64,1048576,2.000000000,2.056874974,0.056874974,1048576,1,147492076.216,0,0
s3_fan64_1m_bg80,cbapsba,2,38,0b002501-0b004001-10000-3,37,64,1048576,2.000000000,2.056875473,0.056875473,1048576,1,147490782.187,0,0
s3_fan64_1m_bg80,cbapsba,2,39,0b002601-0b004001-10000-3,38,64,1048576,2.000000000,2.056875972,0.056875972,1048576,1,147489488.180,0,0
s3_fan64_1m_bg80,cbapsba,2,54,0b003501-0b004001-10000-3,53,64,1048576,2.000000000,2.056876471,0.056876471,1048576,1,147488194.195,0,0
s3_fan64_1m_bg80,cbapsba,2,45,0b002c01-0b004001-10000-3,44,64,1048576,2.000000000,2.056876970,0.056876970,1048576,1,147486900.234,0,0
s3_fan64_1m_bg80,cbapsba,2,43,0b002a01-0b004001-10000-3,42,64,1048576,2.000000000,2.056877469,0.056877469,1048576,1,147485606.295,0,0
s3_fan64_1m_bg80,cbapsba,2,49,0b003001-0b004001-10000-3,48,64,1048576,2.000000000,2.056877968,0.056877968,1048576,1,147484312.379,0,0
s3_fan64_1m_bg80,cbapsba,2,60,0b003b01-0b004001-10000-3,59,64,1048576,2.000000000,2.056878467,0.056878467,1048576,1,147483018.486,0,0
s3_fan64_1m_bg80,cbapsba,2,52,0b003301-0b004001-10000-3,51,64,1048576,2.000000000,2.056878966,0.056878966,1048576,1,147481724.615,0,0
