flow_id,group_id,round_id,round_bytes,selected_rate_bps,max_rate_bps,phase_offset_ns,path_or_bottleneck_id
0,0,0,4000000000,8000000000,10000000000,0,84:1
1,1,0,262144,48187022,10000000000,0,84:1
2,1,0,262144,48187022,10000000000,0,84:1
3,1,0,262144,48187022,10000000000,0,84:1
4,1,0,262144,48187022,10000000000,0,84:1
5,1,0,262144,48187022,10000000000,0,84:1
6,1,0,262144,48187022,10000000000,0,84:1
7,1,0,262144,48187022,10000000000,0,84:1
8,1,0,262144,48187022,10000000000,0,84:1
9,1,0,262144,48187022,10000000000,0,84:1
10,1,0,262144,48187022,10000000000,0,84:1
11,1,0,262144,48187022,10000000000,0,84:1
12,1,0,262144,48187022,10000000000,0,84:1
13,1,0,262144,48187022,10000000000,0,84:1
14,1,0,262144,48187022,10000000000,0,84:1
15,1,0,262144,48187022,10000000000,0,84:1
16,1,0,262144,48187022,10000000000,0,84:1
