scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
s6_dual_bottleneck_256k_bg80,cbap_sba,2,33,0b001f01-0b003c01-10000-3,31,60,262144,2.000000000,2.085489859,0.085489859,262144,1,24531003.145,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,2,0b000001-0b004001-10000-3,0,64,262144,2.000000000,2.085489919,0.085489919,262144,1,24530985.928,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,34,0b002001-0b003c01-10000-3,32,60,262144,2.000000000,2.085490012,0.085490012,262144,1,24530959.242,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,5,0b000301-0b004001-10000-3,3,64,262144,2.000000000,2.085490072,0.085490072,262144,1,24530942.026,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,35,0b002101-0b003c01-10000-3,33,60,262144,2.000000000,2.085490165,0.085490165,262144,1,24530915.340,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,7,0b000501-0b004001-10000-3,5,64,262144,2.000000000,2.085490225,0.085490225,262144,1,24530898.123,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,39,0b002501-0b003c01-10000-3,37,60,262144,2.000000000,2.085490318,0.085490318,262144,1,24530871.437,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,10,0b000801-0b004001-10000-3,8,64,262144,2.000000000,2.085490378,0.085490378,262144,1,24530854.221,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,36,0b002201-0b003c01-10000-3,34,60,262144,2.000000000,2.085490471,0.085490471,262144,1,24530827.535,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,6,0b000401-0b004001-10000-3,4,64,262144,2.000000000,2.085490531,0.085490531,262144,1,24530810.319,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,40,0b002601-0b003c01-10000-3,38,60,262144,2.000000000,2.085490624,0.085490624,262144,1,24530783.633,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,11,0b000901-0b004001-10000-3,9,64,262144,2.000000000,2.085490684,0.085490684,262144,1,24530766.417,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,38,0b002401-0b003c01-10000-3,36,60,262144,2.000000000,2.085490777,0.085490777,262144,1,24530739.731,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,14,0b000c01-0b004001-10000-3,12,64,262144,2.000000000,2.085490837,0.085490837,262144,1,24530722.515,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,43,0b002901-0b003c01-10000-3,41,60,262144,2.000000000,2.085490930,0.085490930,262144,1,24530695.829,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,16,0b000e01-0b004001-10000-3,14,64,262144,2.000000000,2.085490990,0.085490990,262144,1,24530678.613,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,49,0b002f01-0b003c01-10000-3,47,60,262144,2.000000000,2.085491083,0.085491083,262144,1,24530651.928,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,12,0b000a01-0b004001-10000-3,10,64,262144,2.000000000,2.085491143,0.085491143,262144,1,24530634.711,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,42,0b002801-0b003c01-10000-3,40,60,262144,2.000000000,2.085491236,0.085491236,262144,1,24530608.026,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,24,0b001601-0b004001-10000-3,22,64,262144,2.000000000,2.085491296,0.085491296,262144,1,24530590.810,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,44,0b002a01-0b003c01-10000-3,42,60,262144,2.000000000,2.085491389,0.085491389,262144,1,24530564.125,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,20,0b001201-0b004001-10000-3,18,64,262144,2.000000000,2.085491449,0.085491449,262144,1,24530546.909,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,50,0b003001-0b003c01-10000-3,48,60,262144,2.000000000,2.085491542,0.085491542,262144,1,24530520.224,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,18,0b001001-0b004001-10000-3,16,64,262144,2.000000000,2.085491602,0.085491602,262144,1,24530503.008,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,54,0b003401-0b003c01-10000-3,52,60,262144,2.000000000,2.085491695,0.085491695,262144,1,24530476.323,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,15,0b000d01-0b004001-10000-3,13,64,262144,2.000000000,2.085491755,0.085491755,262144,1,24530459.107,0,0
