scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
s6_dual_bottleneck_256k_bg80,cbap_sba,2,0,0b004101-0b004001-10000-3,0,0,2,1.000005000,0.000000000,0.000000000,0.000000000,4000000000,8000000000,8000000000,8000000000,0,0.000000000,0,30392,0,4000000000,0,1.000000000,1.000000000,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,1,0b003d01-0b003c01-10000-3,0,0,2,1.000005000,0.000000000,0.000000000,0.000000000,4000000000,8000000000,8000000000,8000000000,0,0.000000000,0,30392,0,4000000000,0,1.000000000,1.000000000,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,2,0b000001-0b004001-10000-3,0,1,60,2.000005000,2.085476740,2.085489919,0.085489919,262144,25699745,25699745,25699745,0,0.000000000,0,30392,0,262144,0,1.000000000,0.000000000,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,3,0b000101-0b004001-10000-3,0,1,60,2.000005000,2.085476740,2.085493970,0.085493970,262144,25699745,25699745,25699745,0,0.000000000,0,30392,0,262144,0,1.000000000,0.000000000,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,4,0b000201-0b004001-10000-3,0,1,60,2.000005000,2.085476740,2.085495879,0.085495879,262144,25699745,25699745,25699745,0,0.000000000,0,30392,0,262144,0,1.000000000,0.000000000,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,5,0b000301-0b004001-10000-3,0,1,60,2.000005000,2.085476740,2.085490072,0.085490072,262144,25699745,25699745,25699745,0,0.000000000,0,30392,0,262144,0,1.000000000,0.000000000,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,6,0b000401-0b004001-10000-3,0,1,60,2.000005000,2.085476740,2.085490531,0.085490531,262144,25699745,25699745,25699745,0,0.000000000,0,30392,0,262144,0,1.000000000,0.000000000,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,7,0b000501-0b004001-10000-3,0,1,60,2.000005000,2.085476740,2.085490225,0.085490225,262144,25699745,25699745,25699745,0,0.000000000,0,30392,0,262144,0,1.000000000,0.000000000,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,8,0b000601-0b004001-10000-3,0,1,60,2.000005000,2.085476740,2.085493205,0.085493205,262144,25699745,25699745,25699745,0,0.000000000,0,30392,0,262144,0,1.000000000,0.000000000,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,9,0b000701-0b004001-10000-3,0,1,60,2.000005000,2.085476740,2.085494429,0.085494429,262144,25699745,25699745,25699745,0,0.000000000,0,30392,0,262144,0,1.000000000,0.000000000,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,10,0b000801-0b004001-10000-3,0,1,60,2.000005000,2.085476740,2.085490378,0.085490378,262144,25699745,25699745,25699745,0,0.000000000,0,30392,0,262144,0,1.000000000,0.000000000,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,11,0b000901-0b004001-10000-3,0,1,60,2.000005000,2.085476740,2.085490684,0.085490684,262144,25699745,25699745,25699745,0,0.000000000,0,30392,0,262144,0,1.000000000,0.000000000,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,12,0b000a01-0b004001-10000-3,0,1,60,2.000005000,2.085476740,2.085491143,0.085491143,262144,25699745,25699745,25699745,0,0.000000000,0,30392,0,262144,0,1.000000000,0.000000000,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,13,0b000b01-0b004001-10000-3,0,1,60,2.000005000,2.085476740,2.085494582,0.085494582,262144,25699745,25699745,25699745,0,0.000000000,0,30392,0,262144,0,1.000000000,0.000000000,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,14,0b000c01-0b004001-10000-3,0,1,60,2.000005000,2.085476740,2.085490837,0.085490837,262144,25699745,25699745,25699745,0,0.000000000,0,30392,0,262144,0,1.000000000,0.000000000,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,15,0b000d01-0b004001-10000-3,0,1,60,2.000005000,2.085476740,2.085491755,0.085491755,262144,25699745,25699745,25699745,0,0.000000000,0,30392,0,262144,0,1.000000000,0.000000000,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,16,0b000e01-0b004001-10000-3,0,1,60,2.000005000,2.085476740,2.085490990,0.085490990,262144,25699745,25699745,25699745,0,0.000000000,0,30392,0,262144,0,1.000000000,0.000000000,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,17,0b000f01-0b004001-10000-3,0,1,60,2.000005000,2.085476740,2.085494735,0.085494735,262144,25699745,25699745,25699745,0,0.000000000,0,30392,0,262144,0,1.000000000,0.000000000,0,0
s6_dual_bottleneck_256k_bg80,cbap_sba,2,18,0b001001-0b004001-10000-3,0,1,60,2.000005000,2.085476740,2.085491602,0.085491602,262144,25699745,25699745,25699745,0,0.000000000,0,30392,0,262144,0,1.000000000,0.000000000,0,0
