scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
s3_fan64_1m_bg80,cbapsba,2,0,0b004101-0b004001-10000-3,0,0,1,1.000005000,0.000000000,0.000000000,0.000000000,4000000000,8000000000,1368993079,7936103457,0,0.000000000,0,136240,0,4000000000,0,1.000000000,1.000000000,0,0
s3_fan64_1m_bg80,cbapsba,2,1,0b000001-0b004001-10000-3,0,1,64,2.000005000,2.067372552,2.067453068,0.067453068,1048576,15625000,15625000,130424971,0,0.000000000,0,136240,0,1048576,0,1.000000000,0.000000000,0,0
s3_fan64_1m_bg80,cbapsba,2,2,0b000101-0b004001-10000-3,0,1,64,2.000005000,2.067372552,2.067474704,0.067474704,1048576,15625000,15625000,219387870,0,0.000000000,0,136240,0,1048576,0,1.000000000,0.000000000,0,0
s3_fan64_1m_bg80,cbapsba,2,3,0b000201-0b004001-10000-3,0,1,64,2.000005000,2.067372552,2.067487358,0.067487358,1048576,15625000,15625000,1027639974,0,0.000000000,0,136240,0,1048576,0,1.000000000,0.000000000,0,0
s3_fan64_1m_bg80,cbapsba,2,4,0b000301-0b004001-10000-3,0,1,64,2.000005000,2.067372552,2.067453567,0.067453567,1048576,15625000,15625000,130424971,0,0.000000000,0,136240,0,1048576,0,1.000000000,0.000000000,0,0
s3_fan64_1m_bg80,cbapsba,2,5,0b000401-0b004001-10000-3,0,1,64,2.000005000,2.067372552,2.067455064,0.067455064,1048576,15625000,15625000,132852141,0,0.000000000,0,136240,0,1048576,0,1.000000000,0.000000000,0,0
s3_fan64_1m_bg80,cbapsba,2,6,0b000501-0b004001-10000-3,0,1,64,2.000005000,2.067372552,2.067454066,0.067454066,1048576,15625000,15625000,130424971,0,0.000000000,0,136240,0,1048576,0,1.000000000,0.000000000,0,0
s3_fan64_1m_bg80,cbapsba,2,7,0b000601-0b004001-10000-3,0,1,64,2.000005000,2.067372552,2.067475702,0.067475702,1048576,15625000,15625000,289940259,0,0.000000000,0,136240,0,1048576,0,1.000000000,0.000000000,0,0
s3_fan64_1m_bg80,cbapsba,2,8,0b000701-0b004001-10000-3,0,1,64,2.000005000,2.067372552,2.067476700,0.067476700,1048576,15625000,15625000,289940259,0,0.000000000,0,136240,0,1048576,0,1.000000000,0.000000000,0,0
s3_fan64_1m_bg80,cbapsba,2,9,0b000801-0b004001-10000-3,0,1,64,2.000005000,2.067372552,2.067454565,0.067454565,1048576,15625000,15625000,130424971,0,0.000000000,0,136240,0,1048576,0,1.000000000,0.000000000,0,0
s3_fan64_1m_bg80,cbapsba,2,10,0b000901-0b004001-10000-3,0,1,64,2.000005000,2.067372552,2.067455563,0.067455563,1048576,15625000,15625000,132852141,0,0.000000000,0,136240,0,1048576,0,1.000000000,0.000000000,0,0
s3_fan64_1m_bg80,cbapsba,2,11,0b000a01-0b004001-10000-3,0,1,64,2.000005000,2.067372552,2.067457060,0.067457060,1048576,15625000,15625000,132852141,0,0.000000000,0,136240,0,1048576,0,1.000000000,0.000000000,0,0
s3_fan64_1m_bg80,cbapsba,2,12,0b000b01-0b004001-10000-3,0,1,64,2.000005000,2.067372552,2.067478696,0.067478696,1048576,15625000,15625000,289940259,0,0.000000000,0,136240,0,1048576,0,1.000000000,0.000000000,0,0
s3_fan64_1m_bg80,cbapsba,2,13,0b000c01-0b004001-10000-3,0,1,64,2.000005000,2.067372552,2.067456062,0.067456062,1048576,15625000,15625000,132852141,0,0.000000000,0,136240,0,1048576,0,1.000000000,0.000000000,0,0
s3_fan64_1m_bg80,cbapsba,2,14,0b000d01-0b004001-10000-3,0,1,64,2.000005000,2.067372552,2.067459056,0.067459056,1048576,15625000,15625000,132852141,0,0.000000000,0,136240,0,1048576,0,1.000000000,0.000000000,0,0
s3_fan64_1m_bg80,cbapsba,2,15,0b000e01-0b004001-10000-3,0,1,64,2.000005000,2.067372552,2.067456561,0.067456561,1048576,15625000,15625000,132852141,0,0.000000000,0,136240,0,1048576,0,1.000000000,0.000000000,0,0
s3_fan64_1m_bg80,cbapsba,2,16,0b000f01-0b004001-10000-3,0,1,64,2.000005000,2.067372552,2.067481530,0.067481530,1048576,15625000,15625000,458965033,0,0.000000000,0,136240,0,1048576,0,1.000000000,0.000000000,0,0
s3_fan64_1m_bg80,cbapsba,2,17,0b001001-0b004001-10000-3,0,1,64,2.000005000,2.067372552,2.067458557,0.067458557,1048576,15625000,15625000,132852141,0,0.000000000,0,136240,0,1048576,0,1.000000000,0.000000000,0,0
s3_fan64_1m_bg80,cbapsba,2,18,0b001101-0b004001-10000-3,0,1,64,2.000005000,2.067372552,2.067478197,0.067478197,1048576,15625000,15625000,289940259,0,0.000000000,0,136240,0,1048576,0,1.000000000,0.000000000,0,0
s3_fan64_1m_bg80,cbapsba,2,19,0b001201-0b004001-10000-3,0,1,64,2.000005000,2.067372552,2.067458058,0.067458058,1048576,15625000,15625000,132852141,0,0.000000000,0,136240,0,1048576,0,1.000000000,0.000000000,0,0
