metric_id,category,statistic,value,unit,sample_count,source_file,source_columns,formula,evidence_type,notes
C.D1_command_to_sender.count,actuation,count,215,count,215,actuation.csv,time_ns@sender_rate_effect - time_ns@rate_command,D1 = t_sender_effect - t_command,MEASURED,
C.D1_command_to_sender.mean,actuation,mean,20222.65581395349,ns,215,actuation.csv,time_ns@sender_rate_effect - time_ns@rate_command,D1 = t_sender_effect - t_command,MEASURED,
C.D1_command_to_sender.p50,actuation,p50,13644,ns,215,actuation.csv,time_ns@sender_rate_effect - time_ns@rate_command,D1 = t_sender_effect - t_command,MEASURED,
C.D1_command_to_sender.p95,actuation,p95,52144,ns,215,actuation.csv,time_ns@sender_rate_effect - time_ns@rate_command,D1 = t_sender_effect - t_command,MEASURED,
C.D1_command_to_sender.p99,actuation,p99,52144,ns,215,actuation.csv,time_ns@sender_rate_effect - time_ns@rate_command,D1 = t_sender_effect - t_command,MEASURED,
C.D1_command_to_sender.max,actuation,max,67756,ns,215,actuation.csv,time_ns@sender_rate_effect - time_ns@rate_command,D1 = t_sender_effect - t_command,MEASURED,
C.D1_command_to_sender.min,actuation,min,0,ns,215,actuation.csv,time_ns@sender_rate_effect - time_ns@rate_command,D1 = t_sender_effect - t_command,MEASURED,
C.D2_sender_to_bottleneck.count,actuation,count,215,count,215,actuation.csv,time_ns@first_affected_at_bottleneck - time_ns@sender_rate_effect,D2 = t_first_affected_at_bottleneck - t_sender_effect,MEASURED,
C.D2_sender_to_bottleneck.mean,actuation,mean,84521.75813953488,ns,215,actuation.csv,time_ns@first_affected_at_bottleneck - time_ns@sender_rate_effect,D2 = t_first_affected_at_bottleneck - t_sender_effect,MEASURED,
C.D2_sender_to_bottleneck.p50,actuation,p50,88449,ns,215,actuation.csv,time_ns@first_affected_at_bottleneck - time_ns@sender_rate_effect,D2 = t_first_affected_at_bottleneck - t_sender_effect,MEASURED,
C.D2_sender_to_bottleneck.p95,actuation,p95,115130,ns,215,actuation.csv,time_ns@first_affected_at_bottleneck - time_ns@sender_rate_effect,D2 = t_first_affected_at_bottleneck - t_sender_effect,MEASURED,
C.D2_sender_to_bottleneck.p99,actuation,p99,116941,ns,215,actuation.csv,time_ns@first_affected_at_bottleneck - time_ns@sender_rate_effect,D2 = t_first_affected_at_bottleneck - t_sender_effect,MEASURED,
C.D2_sender_to_bottleneck.max,actuation,max,117779,ns,215,actuation.csv,time_ns@first_affected_at_bottleneck - time_ns@sender_rate_effect,D2 = t_first_affected_at_bottleneck - t_sender_effect,MEASURED,
C.D2_sender_to_bottleneck.min,actuation,min,2895,ns,215,actuation.csv,time_ns@first_affected_at_bottleneck - time_ns@sender_rate_effect,D2 = t_first_affected_at_bottleneck - t_sender_effect,MEASURED,
C.D3_command_to_bottleneck.count,actuation,count,215,count,215,actuation.csv,time_ns@first_affected_at_bottleneck - time_ns@rate_command,D3 = t_first_affected_at_bottleneck - t_command,MEASURED,
C.D3_command_to_bottleneck.mean,actuation,mean,104744.41395348837,ns,215,actuation.csv,time_ns@first_affected_at_bottleneck - time_ns@rate_command,D3 = t_first_affected_at_bottleneck - t_command,MEASURED,
C.D3_command_to_bottleneck.p50,actuation,p50,107824,ns,215,actuation.csv,time_ns@first_affected_at_bottleneck - time_ns@rate_command,D3 = t_first_affected_at_bottleneck - t_command,MEASURED,
C.D3_command_to_bottleneck.p95,actuation,p95,160705,ns,215,actuation.csv,time_ns@first_affected_at_bottleneck - time_ns@rate_command,D3 = t_first_affected_at_bottleneck - t_command,MEASURED,
