algorithm,classification,n,total_ns,share_of_gap_time,p50_ns,p95_ns,p99_ns,max_ns,bytes_equivalent,ms_equivalent
CBAP,E_SIMULATION_END_CLIPPED,0,0,0.000000,,,,,0,0.000000
CBAP,A_QUEUE_NONEMPTY_PACER,38,31550,0.012633,572,1976,2048,2160,39437,0.031550
CBAP,B_QUEUE_EMPTY_ARRIVAL,1027,2465896,0.987367,2162,3000,3000,3001,3082370,2.465896
CBAP,C_RATE_ACTUATION,0,0,0.000000,,,,,0,0.000000
CBAP,D_PROPAGATION_OR_UPSTREAM,0,0,0.000000,,,,,0,0.000000
CBAP,U_UNKNOWN,0,0,0.000000,,,,,0,0.000000
CBAP,TOTAL,1065,2497446,1.000000,,,,,3121807,2.497446
DCQCN,E_SIMULATION_END_CLIPPED,0,0,0.000000,,,,,0,0.000000
DCQCN,A_QUEUE_NONEMPTY_PACER,315,475789,0.645622,1169,3837,4042,4292,594736,0.475789
DCQCN,B_QUEUE_EMPTY_ARRIVAL,182,261158,0.354378,1173,3267,3749,3875,326447,0.261158
DCQCN,C_RATE_ACTUATION,0,0,0.000000,,,,,0,0.000000
DCQCN,D_PROPAGATION_OR_UPSTREAM,0,0,0.000000,,,,,0,0.000000
DCQCN,U_UNKNOWN,0,0,0.000000,,,,,0,0.000000
DCQCN,TOTAL,497,736947,1.000000,,,,,921183,0.736947
