metric_id,category,algorithm,scenario,window,scope,statistic,value,unit,numerator,denominator,sample_count,source_file,source_columns,formula,evidence_type,availability,notes
A.sha.binary,identity,BOTH,S3,W0,toolchain,sha256,290cb41fec981bc848cbfd518257ce2c5df1384d52f2325d67955acaabd880b7,hex,,,,/work/simulation/build/scratch/third,,,MEASURED,AVAILABLE,
A.sha.libns3,identity,BOTH,S3,W0,toolchain,sha256,c643f5cc332e02763946b01b8aa1cc17c50daf4dda53a371c13e4576525eb122,hex,,,,/work/simulation/build/libns3.18-point-to-point-debug.so,,,MEASURED,AVAILABLE,
A.sha.third_cc,identity,BOTH,S3,W0,toolchain,sha256,dd54dee455cbe9f7269186facc9a3ac688fb83785be7aab97bc95b29f57be831,hex,,,,/work/simulation/scratch/third.cc,,,MEASURED,AVAILABLE,
A.sha.recorder_ml,identity,BOTH,S3,W0,toolchain,sha256,4b9a4098a6d31625e46d24cfd371956cfb1a3bb9c98bbc327a7de332c0ce4b10,hex,,,,/work/simulation/scratch/tx-serialization-recorder-ml.h,,,MEASURED,AVAILABLE,
A.sha.config_cbap,identity,CBAP,S3,W0,config,sha256,69dbc4159577fceb2edd7cc7d0a138c1d321cf94aff45d6256eab43c33410bbf,hex,,,,/work/simulation/experiment/scheme1_sba/ckpt4_cbap_s3.txt,,,MEASURED,AVAILABLE,
A.sha.config_dcqcn,identity,DCQCN,S3,W0,config,sha256,1d936f5b8ec9a825169fe43d39a868fc8238ce2b412206286171de41b50e8c44,hex,,,,/work/simulation/experiment/scheme1_sba/ckpt4_dcqcn_s3.txt,,,MEASURED,AVAILABLE,
A.sha.input.topology.txt,identity,BOTH,S3,W0,input,sha256,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,hex,,,,topology.txt,,,MEASURED,AVAILABLE,identical for both arms (verified)
A.sha.input.s3_flow.txt,identity,BOTH,S3,W0,input,sha256,6b922c67e56c04aa32f67078c89bd8a0a0fafceae58f078bfa272cc8223ada0b,hex,,,,s3_flow.txt,,,MEASURED,AVAILABLE,identical for both arms (verified)
A.sha.input.s3_round_schedule.txt,identity,BOTH,S3,W0,input,sha256,8a40b3d13abe225d745360e5db26ccf71253837486b43a14423d65e9827200bb,hex,,,,s3_round_schedule.txt,,,MEASURED,AVAILABLE,identical for both arms (verified)
A.sha.input.s3_cbap_link.txt,identity,BOTH,S3,W0,input,sha256,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,hex,,,,s3_cbap_link.txt,,,MEASURED,AVAILABLE,identical for both arms (verified)
