algorithm,reason,gaps,total_ns,share,ms
CBAP,ELIGIBLE_NOT_SELECTED,0,0,0.000000,0.000000
CBAP,FLOW_FINISHED,0,0,0.000000,0.000000
CBAP,HANDOFF_PENDING,0,0,0.000000,0.000000
CBAP,NEXT_AVAIL_FUTURE,1050,2493870,0.998568,2.493870
CBAP,NIC_BUSY,0,0,0.000000,0.000000
CBAP,NO_OPPORTUNITY_OBSERVED,14,3004,0.001203,0.003004
CBAP,NO_PACKET,0,0,0.000000,0.000000
CBAP,SENT,1,572,0.000229,0.000572
CBAP,WAKEUP_MISSING,0,0,0.000000,0.000000
DCQCN,ELIGIBLE_NOT_SELECTED,0,0,0.000000,0.000000
DCQCN,FLOW_FINISHED,0,0,0.000000,0.000000
DCQCN,HANDOFF_PENDING,0,0,0.000000,0.000000
DCQCN,NEXT_AVAIL_FUTURE,276,566780,0.769092,0.566780
DCQCN,NIC_BUSY,3,681,0.000924,0.000681
DCQCN,NO_OPPORTUNITY_OBSERVED,121,39966,0.054232,0.039966
DCQCN,NO_PACKET,2,1446,0.001962,0.001446
DCQCN,SENT,95,128074,0.173790,0.128074
DCQCN,WAKEUP_MISSING,0,0,0.000000,0.000000
