algorithm,n_runs,metric,value
dcqcn,1,incast_n,64.000000
dcqcn,1,incast_done,64.000000
dcqcn,1,completion_rate_pct,100.000000
dcqcn,1,fct_mean_ms,1126.614641
dcqcn,1,fct_p50_ms,1126.860778
dcqcn,1,fct_p95_ms,1127.295768
dcqcn,1,fct_p99_ms,1127.320690
dcqcn,1,fct_min_ms,1125.504259
dcqcn,1,fct_max_ms,1127.327340
dcqcn,1,cct_ms,1227.327340
dcqcn,1,incast_agg_gbps,0.476233
dcqcn,1,incast_fairness_jain,1.000000
dcqcn,1,bg_completed,1.000000
dcqcn,1,bg_fct_ms,3528.004888
dcqcn,1,bg_before_gbps,9.070283
dcqcn,1,bg_during_gbps,9.070293
dcqcn,1,bg_after_gbps,5.354562
dcqcn,1,bg_min_gbps,9.066667
dcqcn,1,bg_drop_pct,0.039868
dcqcn,1,bg_retention_pct,100.000112
dcqcn,1,bg_recovery90_ms,0.000000
dcqcn,1,bg_recovery90_ms_never_dipped,1.000000
dcqcn,1,bg_recovery95_ms,0.000000
dcqcn,1,bg_recovery95_ms_never_dipped,1.000000
dcqcn,1,bg_service_debt_bytes,0.000000
dcqcn,1,bg_slowdown,1.047376
dcqcn,1,bg_retx_bytes,0.000000
dcqcn,1,bg_retx_events,0.000000
dcqcn,1,bg_n_flows,1.000000
dcqcn,1,bg_service_debt_window_s,5.500000
dcqcn,1,bg0_observation_end_s,4.528020
dcqcn,1,bg0_bg_completed_before_end,1.000000
dcqcn,1,total_acked_bytes,4067108864.000000
dcqcn,1,util_mean,0.996410
dcqcn,1,queue_mean_bytes,1159283.934068
dcqcn,1,queue_p95_bytes,1274368.000000
dcqcn,1,queue_p99_bytes,1274368.000000
dcqcn,1,queue_peak_bytes,1275416.000000
dcqcn,1,over_qmin_pct,91.587430
dcqcn,1,over_qmax_pct,91.323442
dcqcn,1,queue_recovery_ms,1119.890000
dcqcn,1,queue_final_bytes,0.000000
dcqcn,1,queue_drained,1.000000
dcqcn,1,ecn_marks,9582.000000
dcqcn,1,pfc_events,0.000000
dcqcn,1,pfc_paused_samples,0.000000
dcqcn,1,pfc_pause_total_ns,0.000000
dcqcn,1,drops,0.000000
dcqcn,1,retx_bytes_total,0.000000
dcqcn,1,retx_events_total,0.000000
dcqcn,1,oversub_peak_bytes,875416.000000
dcqcn,1,oversub_peak_ratio,3.188540
dcqcn,1,oversub_duration_ms,1120.840000
dcqcn,1,oversub_longest_run_ms,1120.840000
dcqcn,1,qmax_exceed_ratio,3.188540
dcqcn,1,recovery_rtts,73676.973684
dcqcn,1,qmax_bytes,400000.000000
dcqcn,1,qmin_bytes,200000.000000
dcqcn,1,n_links,1.000000
dctcp,1,incast_n,64.000000
dctcp,1,incast_done,64.000000
dctcp,1,completion_rate_pct,100.000000
dctcp,1,fct_mean_ms,1126.614641
dctcp,1,fct_p50_ms,1126.860778
dctcp,1,fct_p95_ms,1127.295768
dctcp,1,fct_p99_ms,1127.320690
dctcp,1,fct_min_ms,1125.504259
dctcp,1,fct_max_ms,1127.327340
dctcp,1,cct_ms,1227.327340
dctcp,1,incast_agg_gbps,0.476233
dctcp,1,incast_fairness_jain,1.000000
dctcp,1,bg_completed,1.000000
dctcp,1,bg_fct_ms,3528.004888
dctcp,1,bg_before_gbps,9.070283
dctcp,1,bg_during_gbps,9.070293
dctcp,1,bg_after_gbps,5.354562
dctcp,1,bg_min_gbps,9.066667
dctcp,1,bg_drop_pct,0.039868
