scenario,algorithm,CCT_ms
s1,dcqcn,3.777823
s1,dctcp,3.777823
s1,timely,5.207907
s1,hpcc,4.136218
s1,cbapsba,3.58392
s2,dcqcn,15.642236
s2,dctcp,14.345643
s2,timely,14.574696
s2,hpcc,15.2073
s2,cbapsba,14.249636
s6,dcqcn,6.852911
s6,dctcp,6.853749
s6,timely,8.239557
s6,hpcc,7.325398
s6,cbapsba,6.865185
s3,dcqcn,58.372997
s3,dctcp,57.247409
s3,timely,57.865671
s3,hpcc,60.3267
s3,cbapsba,56.841222
s4,dcqcn,59.069245
s4,dctcp,57.307766
s4,timely,57.899885
s4,hpcc,60.340659
s4,cbapsba,56.844574
s5,dcqcn,230.372164
s5,dctcp,228.689095
s5,timely,231.002136
s5,hpcc,241.123617
s5,cbapsba,227.2639
