algo,variant,CCT_ms,FCT_p99_ms,goodput_G,q_p99_B,q_max_B,over_qabs,pfc,retx
dcqcn,k100,59.571121,58.679604,9.012268075331335,254664.0,1250264.0,62,0,0
dcqcn,k200,58.564702,58.502556,9.167141531771135,498848.0,1272272.0,76,0,0
dcqcn,std_k400,58.372997,58.192546,9.197247693141403,967304.0,1279608.0,1833,0,0
dcqcn,k800,57.168637,57.1673,9.39100423191828,1275416.0,1276464.0,5605,0,0
dcqcn,k1600,57.168637,57.1673,9.39100423191828,1275416.0,1276464.0,5605,0,0
dcqcn,pmax1.0,59.267856,58.509628,9.058382540444857,520856.0,1275416.0,114,0,0
dctcp,k100,58.190997,58.162844,9.226013295493116,596312.0,1276464.0,634,0,0
dctcp,k200,57.736801,57.675128,9.298591239926854,798576.0,1276464.0,640,0,0
dctcp,std_k400,57.247409,57.240206,9.378082281418186,1218824.0,1276464.0,5507,0,0
dctcp,k800,57.173665,57.166462,9.390178362712973,1274368.0,1276464.0,5604,0,0
dctcp,k1600,57.168637,57.1673,9.39100423191828,1275416.0,1276464.0,5605,0,0
dctcp,ai500,57.357187,57.30138,9.360133229685758,1163280.0,1276464.0,5472,0,0
timely,ai25,58.231693,58.177677,9.21956557230785,86592.0,1278816.0,910,0,0
timely,std_ai50,57.865671,57.85349,9.27788277094376,100320.0,1278816.0,910,0,0
timely,ai100,57.981595,57.87468,9.259333276361232,779328.0,1278816.0,1884,0,0
timely,ai200,57.742136,57.605959,9.2977321102219,1076064.0,1286208.0,3193,0,0
hpcc,u0.90,60.550414,60.500027,8.86651100354161,11990.0,1290560.0,126,0,0
hpcc,std_u0.95,60.3267,60.227198,8.899391347446487,14170.0,1296010.0,127,0,0
hpcc,u0.98,60.232306,60.201774,8.9133381677268,14170.0,1297100.0,129,0,0
hpcc,mi1,60.316149,60.285128,8.900948102638317,14170.0,1296010.0,127,0,0
cbapsba,b040_fixed,56.841222,56.802567,9.445097995957934,19912.0,26200.0,0,0,0
