scenario,algorithm,queue_max_B
s1,dcqcn,321736.0
s1,dctcp,321736.0
s1,timely,304128.0
s1,hpcc,285580.0
s1,cbapsba,19912.0
s2,dcqcn,1279608.0
s2,dctcp,1276464.0
s2,timely,1278816.0
s2,hpcc,1296010.0
s2,cbapsba,20960.0
s6,dcqcn,599456.0
s6,dctcp,599456.0
s6,timely,591360.0
s6,hpcc,598410.0
s6,cbapsba,26200.0
s3,dcqcn,1279608.0
s3,dctcp,1276464.0
s3,timely,1278816.0
s3,hpcc,1296010.0
s3,cbapsba,26200.0
s4,dcqcn,1276464.0
s4,dctcp,1276464.0
s4,timely,1278816.0
s4,hpcc,1296010.0
s4,cbapsba,28296.0
s5,dcqcn,1279608.0
s5,dctcp,1276464.0
s5,timely,1278816.0
s5,hpcc,1296010.0
s5,cbapsba,48208.0
