scenario,algorithm,queue_p99_B
s1,dcqcn,0.0
s1,dctcp,0.0
s1,timely,0.0
s1,hpcc,0.0
s1,cbapsba,0.0
s2,dcqcn,0.0
s2,dctcp,0.0
s2,timely,0.0
s2,hpcc,0.0
s2,cbapsba,0.0
s6,dcqcn,0.0
s6,dctcp,0.0
s6,timely,0.0
s6,hpcc,0.0
s6,cbapsba,0.0
s3,dcqcn,967304.0
s3,dctcp,1218824.0
s3,timely,100320.0
s3,hpcc,14170.0
s3,cbapsba,19912.0
s4,dcqcn,410792.0
s4,dctcp,1134912.0
s4,timely,22176.0
s4,hpcc,2180.0
s4,cbapsba,17816.0
s5,dcqcn,1064768.0
s5,dctcp,1270176.0
s5,timely,119328.0
s5,hpcc,18530.0
s5,cbapsba,37728.0
