scenario,algorithm,total_goodput_Gbps
s1,dcqcn,5.25762652
s1,dctcp,5.25762652
s1,timely,5.21076652
s1,hpcc,5.05392152
s1,cbapsba,5.25285152
s2,dcqcn,5.711676864
s2,dctcp,5.744336864
s2,timely,5.699116864
s2,hpcc,5.522388864
s2,cbapsba,5.726484864
s6,dcqcn,11.44192256
s6,dctcp,11.47440656
s6,timely,11.37778256
s6,hpcc,11.03061456
s6,cbapsba,11.43685056
s3,dcqcn,6.1331387648
s3,dctcp,6.1563515648
s3,timely,6.1087803648
s3,hpcc,5.9181339648
s3,cbapsba,6.1286459648
s4,dcqcn,6.5073741824
s4,dctcp,6.5073741824
s4,timely,6.5073741824
s4,hpcc,6.5073741824
s4,cbapsba,6.5073741824
s5,dcqcn,6.2086333905454545
s5,dctcp,6.2086333905454545
s5,timely,6.2086333905454545
s5,hpcc,6.2086333905454545
s5,cbapsba,6.2086333905454545
