scenario,algorithm,metric,value,unit
s1,DCQCN,fct_p50_ms,17.560099,p50 FCT (ms)
s1,DCTCP,fct_p50_ms,17.560099,p50 FCT (ms)
s1,TIMELY,fct_p50_ms,17.633000,p50 FCT (ms)
s1,HPCC,fct_p50_ms,3.843508,p50 FCT (ms)
s1,CBAP-SBA,fct_p50_ms,5.927846,p50 FCT (ms)
s2,DCQCN,fct_p50_ms,70.112656,p50 FCT (ms)
s2,DCTCP,fct_p50_ms,70.112656,p50 FCT (ms)
s2,TIMELY,fct_p50_ms,70.480077,p50 FCT (ms)
s2,HPCC,fct_p50_ms,14.857330,p50 FCT (ms)
s2,CBAP-SBA,fct_p50_ms,22.760275,p50 FCT (ms)
s3,DCQCN,fct_p50_ms,281.625883,p50 FCT (ms)
s3,DCTCP,fct_p50_ms,281.625883,p50 FCT (ms)
s3,TIMELY,fct_p50_ms,283.100408,p50 FCT (ms)
s3,HPCC,fct_p50_ms,59.758093,p50 FCT (ms)
s3,CBAP-SBA,fct_p50_ms,93.514223,p50 FCT (ms)
s6,DCQCN,fct_p50_ms,32.718496,p50 FCT (ms)
s6,DCTCP,fct_p50_ms,32.718496,p50 FCT (ms)
s6,TIMELY,fct_p50_ms,33.038697,p50 FCT (ms)
s6,HPCC,fct_p50_ms,7.147019,p50 FCT (ms)
s6,CBAP-SBA,fct_p50_ms,11.093379,p50 FCT (ms)
s4,DCQCN,fct_p50_ms,1126.860778,p50 FCT (ms)
s4,DCTCP,fct_p50_ms,1126.860778,p50 FCT (ms)
s4,TIMELY,fct_p50_ms,1118.516531,p50 FCT (ms)
s4,HPCC,fct_p50_ms,59.830088,p50 FCT (ms)
s4,CBAP-SBA,fct_p50_ms,107.832887,p50 FCT (ms)
s5,DCQCN,fct_p50_ms,1126.585092,p50 FCT (ms)
s5,DCTCP,fct_p50_ms,1126.585092,p50 FCT (ms)
s5,TIMELY,fct_p50_ms,1132.484373,p50 FCT (ms)
s5,HPCC,fct_p50_ms,239.700074,p50 FCT (ms)
s5,CBAP-SBA,fct_p50_ms,376.510631,p50 FCT (ms)
