scenario,algorithm,metric,value,unit
s1,DCQCN,queue_peak_bytes,316496.000000,queue peak (bytes)
s1,DCTCP,queue_peak_bytes,316496.000000,queue peak (bytes)
s1,TIMELY,queue_peak_bytes,317856.000000,queue peak (bytes)
s1,HPCC,queue_peak_bytes,282310.000000,queue peak (bytes)
s1,CBAP-SBA,queue_peak_bytes,14672.000000,queue peak (bytes)
s2,DCQCN,queue_peak_bytes,1272272.000000,queue peak (bytes)
s2,DCTCP,queue_peak_bytes,1272272.000000,queue peak (bytes)
s2,TIMELY,queue_peak_bytes,1280928.000000,queue peak (bytes)
s2,HPCC,queue_peak_bytes,1291650.000000,queue peak (bytes)
s2,CBAP-SBA,queue_peak_bytes,1263888.000000,queue peak (bytes)
s3,DCQCN,queue_peak_bytes,1272272.000000,queue peak (bytes)
s3,DCTCP,queue_peak_bytes,1272272.000000,queue peak (bytes)
s3,TIMELY,queue_peak_bytes,1280928.000000,queue peak (bytes)
s3,HPCC,queue_peak_bytes,1291650.000000,queue peak (bytes)
s3,CBAP-SBA,queue_peak_bytes,1263888.000000,queue peak (bytes)
s6,DCQCN,queue_peak_bytes,595264.000000,queue peak (bytes)
s6,DCTCP,queue_peak_bytes,595264.000000,queue peak (bytes)
s6,TIMELY,queue_peak_bytes,598752.000000,queue peak (bytes)
s6,HPCC,queue_peak_bytes,591870.000000,queue peak (bytes)
s6,CBAP-SBA,queue_peak_bytes,30392.000000,queue peak (bytes)
s4,DCQCN,queue_peak_bytes,1275416.000000,queue peak (bytes)
s4,DCTCP,queue_peak_bytes,1275416.000000,queue peak (bytes)
s4,TIMELY,queue_peak_bytes,1285152.000000,queue peak (bytes)
s4,HPCC,queue_peak_bytes,1291650.000000,queue peak (bytes)
s4,CBAP-SBA,queue_peak_bytes,1265984.000000,queue peak (bytes)
s5,DCQCN,queue_peak_bytes,1272272.000000,queue peak (bytes)
s5,DCTCP,queue_peak_bytes,1272272.000000,queue peak (bytes)
s5,TIMELY,queue_peak_bytes,1280928.000000,queue peak (bytes)
s5,HPCC,queue_peak_bytes,1291650.000000,queue peak (bytes)
s5,CBAP-SBA,queue_peak_bytes,1263888.000000,queue peak (bytes)
