scenario,algorithm,metric,value,unit
s1,DCQCN,util_mean,0.830666,utilisation
s1,DCTCP,util_mean,0.830666,utilisation
s1,TIMELY,util_mean,0.830847,utilisation
s1,HPCC,util_mean,0.806482,utilisation
s1,CBAP-SBA,util_mean,0.811864,utilisation
s2,DCQCN,util_mean,0.883294,utilisation
s2,DCTCP,util_mean,0.883294,utilisation
s2,TIMELY,util_mean,0.883740,utilisation
s2,HPCC,util_mean,0.824583,utilisation
s2,CBAP-SBA,util_mean,0.837749,utilisation
s3,DCQCN,util_mean,0.948151,utilisation
s3,DCTCP,util_mean,0.948151,utilisation
s3,TIMELY,util_mean,0.948700,utilisation
s3,HPCC,util_mean,0.870797,utilisation
s3,CBAP-SBA,util_mean,0.897250,utilisation
s6,DCQCN,util_mean,0.850333,utilisation
s6,DCTCP,util_mean,0.850333,utilisation
s6,TIMELY,util_mean,0.850639,utilisation
s6,HPCC,util_mean,0.812280,utilisation
s6,CBAP-SBA,util_mean,0.820602,utilisation
s4,DCQCN,util_mean,0.996410,utilisation
s4,DCTCP,util_mean,0.996410,utilisation
s4,TIMELY,util_mean,0.996791,utilisation
s4,HPCC,util_mean,0.964118,utilisation
s4,CBAP-SBA,util_mean,0.976460,utilisation
s5,DCQCN,util_mean,0.984197,utilisation
s5,DCTCP,util_mean,0.984197,utilisation
s5,TIMELY,util_mean,0.984706,utilisation
s5,HPCC,util_mean,0.932331,utilisation
s5,CBAP-SBA,util_mean,0.958557,utilisation
