scenario,algorithm,metric,value,unit
s1,DCQCN,incast_fairness_jain,0.999846,Jain index
s1,DCTCP,incast_fairness_jain,0.999846,Jain index
s1,TIMELY,incast_fairness_jain,0.999867,Jain index
s1,HPCC,incast_fairness_jain,0.997461,Jain index
s1,CBAP-SBA,incast_fairness_jain,1.000000,Jain index
s2,DCQCN,incast_fairness_jain,0.999928,Jain index
s2,DCTCP,incast_fairness_jain,0.999928,Jain index
s2,TIMELY,incast_fairness_jain,0.999927,Jain index
s2,HPCC,incast_fairness_jain,0.999743,Jain index
s2,CBAP-SBA,incast_fairness_jain,0.999814,Jain index
s3,DCQCN,incast_fairness_jain,1.000000,Jain index
s3,DCTCP,incast_fairness_jain,1.000000,Jain index
s3,TIMELY,incast_fairness_jain,1.000000,Jain index
s3,HPCC,incast_fairness_jain,0.999924,Jain index
s3,CBAP-SBA,incast_fairness_jain,0.999989,Jain index
s6,DCQCN,incast_fairness_jain,0.999894,Jain index
s6,DCTCP,incast_fairness_jain,0.999894,Jain index
s6,TIMELY,incast_fairness_jain,0.999925,Jain index
s6,HPCC,incast_fairness_jain,0.999501,Jain index
s6,CBAP-SBA,incast_fairness_jain,1.000000,Jain index
s4,DCQCN,incast_fairness_jain,1.000000,Jain index
s4,DCTCP,incast_fairness_jain,1.000000,Jain index
s4,TIMELY,incast_fairness_jain,1.000000,Jain index
s4,HPCC,incast_fairness_jain,0.999923,Jain index
s4,CBAP-SBA,incast_fairness_jain,1.000000,Jain index
s5,DCQCN,incast_fairness_jain,1.000000,Jain index
s5,DCTCP,incast_fairness_jain,1.000000,Jain index
s5,TIMELY,incast_fairness_jain,1.000000,Jain index
s5,HPCC,incast_fairness_jain,0.999983,Jain index
s5,CBAP-SBA,incast_fairness_jain,0.999999,Jain index
