scenario,algorithm,metric,value,unit
s1,DCQCN,bg_service_debt_bytes,2949403000.000000,debt (bytes)
s1,DCTCP,bg_service_debt_bytes,2949403000.000000,debt (bytes)
s1,TIMELY,bg_service_debt_bytes,2957370000.000000,debt (bytes)
s1,HPCC,bg_service_debt_bytes,2993438000.000000,debt (bytes)
s1,CBAP-SBA,bg_service_debt_bytes,2952974000.000000,debt (bytes)
s2,DCQCN,bg_service_debt_bytes,2567359000.000000,debt (bytes)
s2,DCTCP,bg_service_debt_bytes,2567359000.000000,debt (bytes)
s2,TIMELY,bg_service_debt_bytes,2578223000.000000,debt (bytes)
s2,HPCC,bg_service_debt_bytes,2636261000.000000,debt (bytes)
s2,CBAP-SBA,bg_service_debt_bytes,2583053000.000000,debt (bytes)
s3,DCQCN,bg_service_debt_bytes,2089804000.000000,debt (bytes)
s3,DCTCP,bg_service_debt_bytes,2089804000.000000,debt (bytes)
s3,TIMELY,bg_service_debt_bytes,2104289000.000000,debt (bytes)
s3,HPCC,bg_service_debt_bytes,2217741000.000000,debt (bytes)
s3,CBAP-SBA,bg_service_debt_bytes,2142849000.000000,debt (bytes)
s6,DCQCN,bg_service_debt_bytes,5134718000.000000,debt (bytes)
s6,DCTCP,bg_service_debt_bytes,5134718000.000000,debt (bytes)
s6,TIMELY,bg_service_debt_bytes,5156446000.000000,debt (bytes)
s6,HPCC,bg_service_debt_bytes,5258138000.000000,debt (bytes)
s6,CBAP-SBA,bg_service_debt_bytes,5154934000.000000,debt (bytes)
s4,DCQCN,bg_service_debt_bytes,0.000000,debt (bytes)
s4,DCTCP,bg_service_debt_bytes,0.000000,debt (bytes)
s4,TIMELY,bg_service_debt_bytes,0.000000,debt (bytes)
s4,HPCC,bg_service_debt_bytes,0.000000,debt (bytes)
s4,CBAP-SBA,bg_service_debt_bytes,0.000000,debt (bytes)
s5,DCQCN,bg_service_debt_bytes,0.000000,debt (bytes)
s5,DCTCP,bg_service_debt_bytes,0.000000,debt (bytes)
s5,TIMELY,bg_service_debt_bytes,0.000000,debt (bytes)
s5,HPCC,bg_service_debt_bytes,0.000000,debt (bytes)
s5,CBAP-SBA,bg_service_debt_bytes,0.000000,debt (bytes)
