scenario,algorithm,metric,value,unit
s1,DCQCN,fct_p99_ms,17.624786,p99 FCT (ms)
s1,DCTCP,fct_p99_ms,17.624786,p99 FCT (ms)
s1,TIMELY,fct_p99_ms,17.759005,p99 FCT (ms)
s1,HPCC,fct_p99_ms,4.092277,p99 FCT (ms)
s1,CBAP-SBA,fct_p99_ms,5.929390,p99 FCT (ms)
s2,DCQCN,fct_p99_ms,70.454985,p99 FCT (ms)
s2,DCTCP,fct_p99_ms,70.454985,p99 FCT (ms)
s2,TIMELY,fct_p99_ms,70.825008,p99 FCT (ms)
s2,HPCC,fct_p99_ms,15.117964,p99 FCT (ms)
s2,CBAP-SBA,fct_p99_ms,22.773378,p99 FCT (ms)
s3,DCQCN,fct_p99_ms,281.740683,p99 FCT (ms)
s3,DCTCP,fct_p99_ms,281.740683,p99 FCT (ms)
s3,TIMELY,fct_p99_ms,283.216214,p99 FCT (ms)
s3,HPCC,fct_p99_ms,60.130945,p99 FCT (ms)
s3,CBAP-SBA,fct_p99_ms,93.534236,p99 FCT (ms)
s6,DCQCN,fct_p99_ms,33.033707,p99 FCT (ms)
s6,DCTCP,fct_p99_ms,33.033707,p99 FCT (ms)
s6,TIMELY,fct_p99_ms,33.206530,p99 FCT (ms)
s6,HPCC,fct_p99_ms,7.292748,p99 FCT (ms)
s6,CBAP-SBA,fct_p99_ms,11.097273,p99 FCT (ms)
s4,DCQCN,fct_p99_ms,1127.320690,p99 FCT (ms)
s4,DCTCP,fct_p99_ms,1127.320690,p99 FCT (ms)
s4,TIMELY,fct_p99_ms,1118.974858,p99 FCT (ms)
s4,HPCC,fct_p99_ms,60.242022,p99 FCT (ms)
s4,CBAP-SBA,fct_p99_ms,107.848292,p99 FCT (ms)
s5,DCQCN,fct_p99_ms,1126.918274,p99 FCT (ms)
s5,DCTCP,fct_p99_ms,1126.918274,p99 FCT (ms)
s5,TIMELY,fct_p99_ms,1132.819751,p99 FCT (ms)
s5,HPCC,fct_p99_ms,240.543265,p99 FCT (ms)
s5,CBAP-SBA,fct_p99_ms,376.519725,p99 FCT (ms)
