scenario,algorithm,queue_p99_bytes,incast_agg_gbps
s1,DCQCN,315448.000000,1.903805
s1,DCTCP,315448.000000,1.903805
s1,TIMELY,317856.000000,1.888306
s1,HPCC,4360.000000,8.197159
s1,CBAP-SBA,10480.000000,5.658980
s2,DCQCN,1271224.000000,1.904997
s2,DCTCP,1271224.000000,1.904997
s2,TIMELY,1280928.000000,1.895044
s2,HPCC,1079928.400000,8.871322
s2,CBAP-SBA,1261792.000000,5.893599
s3,DCQCN,1272272.000000,1.905537
s3,DCTCP,1272272.000000,1.905537
s3,TIMELY,1280928.000000,1.895613
s3,HPCC,900721.500000,8.927877
s3,CBAP-SBA,1263888.000000,5.739814
s6,DCQCN,594216.000000,3.809113
s6,DCTCP,594216.000000,3.809113
s6,TIMELY,598752.000000,3.789288
s6,HPCC,79537.300000,17.252312
s6,CBAP-SBA,25152.000000,11.338742
s4,DCQCN,1274368.000000,0.476233
s4,DCTCP,1274368.000000,0.476233
s4,TIMELY,1284096.000000,0.479786
s4,HPCC,899740.500000,8.901346
s4,CBAP-SBA,1264936.000000,4.978005
s5,DCQCN,1272272.000000,1.905623
s5,DCTCP,1272272.000000,1.905623
s5,TIMELY,1280928.000000,1.895696
s5,HPCC,195807.600000,8.926781
s5,CBAP-SBA,1263888.000000,5.703506
