scenario,scenario_desc,algorithm,metric,value,unit
s1,"16-way x 256KiB, background 80%",DCQCN,fct_mean_ms,17.398941625,ms
s1,"16-way x 256KiB, background 80%",DCQCN,fct_p99_ms,17.62478635,ms
s1,"16-way x 256KiB, background 80%",DCTCP,fct_mean_ms,17.398941625,ms
s1,"16-way x 256KiB, background 80%",DCTCP,fct_p99_ms,17.62478635,ms
s1,"16-way x 256KiB, background 80%",TIMELY,fct_mean_ms,17.517130125,ms
s1,"16-way x 256KiB, background 80%",TIMELY,fct_p99_ms,17.759004649999998,ms
s1,"16-way x 256KiB, background 80%",HPCC,fct_mean_ms,3.8472049999999998,ms
s1,"16-way x 256KiB, background 80%",HPCC,fct_p99_ms,4.09227675,ms
s1,"16-way x 256KiB, background 80%",CBAP-SBA,fct_mean_ms,5.927846499999999,ms
s1,"16-way x 256KiB, background 80%",CBAP-SBA,fct_p99_ms,5.929390049999999,ms
s2,"64-way x 256KiB, background 80%",DCQCN,fct_mean_ms,69.79611509374999,ms
s2,"64-way x 256KiB, background 80%",DCQCN,fct_p99_ms,70.45498467,ms
s2,"64-way x 256KiB, background 80%",DCTCP,fct_mean_ms,69.79938853125,ms
s2,"64-way x 256KiB, background 80%",DCTCP,fct_p99_ms,70.45498467,ms
s2,"64-way x 256KiB, background 80%",TIMELY,fct_mean_ms,70.16699306249998,ms
s2,"64-way x 256KiB, background 80%",TIMELY,fct_p99_ms,70.82500811,ms
s2,"64-way x 256KiB, background 80%",HPCC,fct_mean_ms,14.802667562499996,ms
s2,"64-way x 256KiB, background 80%",HPCC,fct_p99_ms,15.117964279999999,ms
s2,"64-way x 256KiB, background 80%",CBAP-SBA,fct_mean_ms,22.582422093749997,ms
s2,"64-way x 256KiB, background 80%",CBAP-SBA,fct_p99_ms,22.773377609999997,ms
s3,"64-way x 1MiB, background 80%",DCQCN,fct_mean_ms,281.56431668749997,ms
s3,"64-way x 1MiB, background 80%",DCQCN,fct_p99_ms,281.74068281,ms
s3,"64-way x 1MiB, background 80%",DCTCP,fct_mean_ms,281.5613705937499,ms
s3,"64-way x 1MiB, background 80%",DCTCP,fct_p99_ms,281.74068281,ms
s3,"64-way x 1MiB, background 80%",TIMELY,fct_mean_ms,283.03127962499997,ms
s3,"64-way x 1MiB, background 80%",TIMELY,fct_p99_ms,283.21621441,ms
s3,"64-way x 1MiB, background 80%",HPCC,fct_mean_ms,59.5885604375,ms
s3,"64-way x 1MiB, background 80%",HPCC,fct_p99_ms,60.13094515,ms
s3,"64-way x 1MiB, background 80%",CBAP-SBA,fct_mean_ms,93.33508690625001,ms
s3,"64-way x 1MiB, background 80%",CBAP-SBA,fct_p99_ms,93.53423563,ms
s6,"dual bottleneck, 30+30-way x 256KiB, two background flows",DCQCN,fct_mean_ms,32.6858554,ms
