scenario,algorithm,x_metric,x_value,x_unit,y_metric,y_value,y_unit
s1,DCQCN,queue_p99_bytes,315448.0,bytes,incast_agg_gbps,1.9038045814069482,Gbps
s1,DCTCP,queue_p99_bytes,315448.0,bytes,incast_agg_gbps,1.9038045814069482,Gbps
s1,TIMELY,queue_p99_bytes,317856.0,bytes,incast_agg_gbps,1.8883064831546594,Gbps
s1,HPCC,queue_p99_bytes,4360.0,bytes,incast_agg_gbps,8.197159247202059,Gbps
s1,CBAP-SBA,queue_p99_bytes,10480.0,bytes,incast_agg_gbps,5.658980408347288,Gbps
s2,DCQCN,queue_p99_bytes,1271224.0,bytes,incast_agg_gbps,1.9049970599217976,Gbps
s2,DCTCP,queue_p99_bytes,1271224.0,bytes,incast_agg_gbps,1.9049970599217976,Gbps
s2,TIMELY,queue_p99_bytes,1280928.0,bytes,incast_agg_gbps,1.895044337050825,Gbps
s2,HPCC,queue_p99_bytes,1079928.3999999983,bytes,incast_agg_gbps,8.871321556479828,Gbps
s2,CBAP-SBA,queue_p99_bytes,1261792.0,bytes,incast_agg_gbps,5.893599193517844,Gbps
s3,DCQCN,queue_p99_bytes,1272272.0,bytes,incast_agg_gbps,1.9055369979733376,Gbps
s3,DCTCP,queue_p99_bytes,1272272.0,bytes,incast_agg_gbps,1.9055369979733376,Gbps
s3,TIMELY,queue_p99_bytes,1280928.0,bytes,incast_agg_gbps,1.8956128417953235,Gbps
s3,HPCC,queue_p99_bytes,900721.5000000043,bytes,incast_agg_gbps,8.927877169700624,Gbps
s3,CBAP-SBA,queue_p99_bytes,1263888.0,bytes,incast_agg_gbps,5.739813919027768,Gbps
s6,DCQCN,queue_p99_bytes,594216.0,bytes,incast_agg_gbps,3.8091129160890156,Gbps
s6,DCTCP,queue_p99_bytes,594216.0,bytes,incast_agg_gbps,3.8091129160890156,Gbps
s6,TIMELY,queue_p99_bytes,598752.0,bytes,incast_agg_gbps,3.7892884321246254,Gbps
s6,HPCC,queue_p99_bytes,79537.29999999334,bytes,incast_agg_gbps,17.252312481421786,Gbps
s6,CBAP-SBA,queue_p99_bytes,25152.0,bytes,incast_agg_gbps,11.338742409959787,Gbps
s4,DCQCN,queue_p99_bytes,1274368.0,bytes,incast_agg_gbps,0.47623338222241646,Gbps
s4,DCTCP,queue_p99_bytes,1274368.0,bytes,incast_agg_gbps,0.47623338222241646,Gbps
s4,TIMELY,queue_p99_bytes,1284096.0,bytes,incast_agg_gbps,0.4797855370246336,Gbps
s4,HPCC,queue_p99_bytes,899740.5000000028,bytes,incast_agg_gbps,8.90134612092839,Gbps
s4,CBAP-SBA,queue_p99_bytes,1264936.0,bytes,incast_agg_gbps,4.978005112092031,Gbps
s5,DCQCN,queue_p99_bytes,1272272.0,bytes,incast_agg_gbps,1.9056229257374988,Gbps
s5,DCTCP,queue_p99_bytes,1272272.0,bytes,incast_agg_gbps,1.9056229257374988,Gbps
s5,TIMELY,queue_p99_bytes,1280928.0,bytes,incast_agg_gbps,1.8956963757674492,Gbps
s5,HPCC,queue_p99_bytes,195807.60000001523,bytes,incast_agg_gbps,8.926780921215137,Gbps
s5,CBAP-SBA,queue_p99_bytes,1263888.0,bytes,incast_agg_gbps,5.703506339486935,Gbps
