scenario,scenario_desc,algorithm,metric,value,unit
s1,"16-way x 256KiB, background 80%",DCQCN,queue_p99_bytes,315448.0,bytes
s1,"16-way x 256KiB, background 80%",DCQCN,queue_peak_bytes,316496.0,bytes
s1,"16-way x 256KiB, background 80%",DCTCP,queue_p99_bytes,315448.0,bytes
s1,"16-way x 256KiB, background 80%",DCTCP,queue_peak_bytes,316496.0,bytes
s1,"16-way x 256KiB, background 80%",TIMELY,queue_p99_bytes,317856.0,bytes
s1,"16-way x 256KiB, background 80%",TIMELY,queue_peak_bytes,317856.0,bytes
s1,"16-way x 256KiB, background 80%",HPCC,queue_p99_bytes,4360.0,bytes
s1,"16-way x 256KiB, background 80%",HPCC,queue_peak_bytes,282310.0,bytes
s1,"16-way x 256KiB, background 80%",CBAP-SBA,queue_p99_bytes,10480.0,bytes
s1,"16-way x 256KiB, background 80%",CBAP-SBA,queue_peak_bytes,14672.0,bytes
s2,"64-way x 256KiB, background 80%",DCQCN,queue_p99_bytes,1271224.0,bytes
s2,"64-way x 256KiB, background 80%",DCQCN,queue_peak_bytes,1272272.0,bytes
s2,"64-way x 256KiB, background 80%",DCTCP,queue_p99_bytes,1271224.0,bytes
s2,"64-way x 256KiB, background 80%",DCTCP,queue_peak_bytes,1272272.0,bytes
s2,"64-way x 256KiB, background 80%",TIMELY,queue_p99_bytes,1280928.0,bytes
s2,"64-way x 256KiB, background 80%",TIMELY,queue_peak_bytes,1280928.0,bytes
s2,"64-way x 256KiB, background 80%",HPCC,queue_p99_bytes,1079928.3999999983,bytes
s2,"64-way x 256KiB, background 80%",HPCC,queue_peak_bytes,1291650.0,bytes
s2,"64-way x 256KiB, background 80%",CBAP-SBA,queue_p99_bytes,1261792.0,bytes
s2,"64-way x 256KiB, background 80%",CBAP-SBA,queue_peak_bytes,1263888.0,bytes
s3,"64-way x 1MiB, background 80%",DCQCN,queue_p99_bytes,1272272.0,bytes
s3,"64-way x 1MiB, background 80%",DCQCN,queue_peak_bytes,1272272.0,bytes
s3,"64-way x 1MiB, background 80%",DCTCP,queue_p99_bytes,1272272.0,bytes
s3,"64-way x 1MiB, background 80%",DCTCP,queue_peak_bytes,1272272.0,bytes
s3,"64-way x 1MiB, background 80%",TIMELY,queue_p99_bytes,1280928.0,bytes
s3,"64-way x 1MiB, background 80%",TIMELY,queue_peak_bytes,1280928.0,bytes
s3,"64-way x 1MiB, background 80%",HPCC,queue_p99_bytes,900721.5000000043,bytes
s3,"64-way x 1MiB, background 80%",HPCC,queue_peak_bytes,1291650.0,bytes
s3,"64-way x 1MiB, background 80%",CBAP-SBA,queue_p99_bytes,1263888.0,bytes
s3,"64-way x 1MiB, background 80%",CBAP-SBA,queue_peak_bytes,1263888.0,bytes
s6,"dual bottleneck, 30+30-way x 256KiB, two background flows",DCQCN,queue_p99_bytes,594216.0,bytes
s6,"dual bottleneck, 30+30-way x 256KiB, two background flows",DCQCN,queue_peak_bytes,595264.0,bytes
s6,"dual bottleneck, 30+30-way x 256KiB, two background flows",DCTCP,queue_p99_bytes,594216.0,bytes
s6,"dual bottleneck, 30+30-way x 256KiB, two background flows",DCTCP,queue_peak_bytes,595264.0,bytes
s6,"dual bottleneck, 30+30-way x 256KiB, two background flows",TIMELY,queue_p99_bytes,598752.0,bytes
s6,"dual bottleneck, 30+30-way x 256KiB, two background flows",TIMELY,queue_peak_bytes,598752.0,bytes
s6,"dual bottleneck, 30+30-way x 256KiB, two background flows",HPCC,queue_p99_bytes,79537.29999999334,bytes
s6,"dual bottleneck, 30+30-way x 256KiB, two background flows",HPCC,queue_peak_bytes,591870.0,bytes
