arm,status,incast_expected,incast_completed,FCT_mean_ms,FCT_p95_ms,FCT_p99_ms,CCT_ms,BCT_ms,injection_end_s,batch_goodput_Gbps,utilisation_of_C,total_goodput_Gbps,bg_flows,bg_full_Gbps,bg_recovery_ms,links,queue_mean_B,queue_p95_B,queue_p99_B,queue_max_B,qdelay_p99_us,qdelay_max_us,over_qabs_samples,pfc,retx,drops,boost_duty_pct,boost_mean_G,boost_max_G,lease_grants,veto_counts,zones_ms
mx_s1_dcqcn,OK,16,16,3.7153443750000004,3.77767,3.777823,3.777823,3.777823,2.003629869,8.881949207255078,0.8881949207255078,5.25762652,1,7.616952727272727,0.0021769999998255685,1,541.86345649265,0.0,0.0,321736.0,0.0,257.3888,0,0,0,0,,,,,,
mx_s1_dctcp,OK,16,16,3.7153443750000004,3.77767,3.777823,3.777823,3.777823,2.003629869,8.881949207255078,0.8881949207255078,5.25762652,1,7.616952727272727,0.0021769999998255685,1,541.86345649265,0.0,0.0,321736.0,0.0,257.3888,0,0,0,0,,,,,,
mx_s1_timely,OK,16,16,5.0218100625,5.172681,5.207907,5.207907,5.207907,2.005195083,6.442978340435035,0.6442978340435035,5.21076652,1,7.548792727272727,0.4320930000001333,1,112.59585045643074,0.0,0.0,304128.0,0.0,243.3024,0,0,0,0,,,,,,
mx_s1_hpcc,OK,16,16,3.931805875,4.118649,4.136218,4.136218,4.136218,2.00412319,8.112346109416864,0.8112346109416864,5.05392152,1,7.320654545454546,0.023781999999972214,1,54.741251148814996,0.0,0.0,285580.0,0.0,228.464,0,0,0,0,,,,,,
mx_s1_cbapsba,OK,16,16,3.5714790625,3.576625,3.576778,3.58392,3.57892,2.00356322,9.362494698542378,0.9362494698542377,5.25285152,1,7.610041863826654,0.03608000000010492,1,23.38513992923776,0.0,0.0,19912.0,0.0,15.9296,0,0,0,0,0.041666765873252076,0.09384216420000001,0.4,5,3:5,2100.0/0.0/0.0/0.0
mx_s2_dcqcn,OK,64,64,14.128705281250003,14.707564,15.133757,15.642236,15.642236,2.015629436,8.580469441836833,0.8580469441836833,5.711676864,1,7.526090666666667,23.45776399999977,1,6797.549526198105,0.0,0.0,1279608.0,0.0,1023.6863999999999,1298,0,0,0,,,,,,
mx_s2_dctcp,OK,64,64,14.149235750000006,14.333452,14.3413,14.345643,14.345643,2.014261922,9.355992477994887,0.9355992477994887,5.744336864,1,7.5696373333333336,0.01435699999996487,1,6821.5448221792885,0.0,0.0,1276464.0,0.0,1021.1712,1304,0,0,0,,,,,,
mx_s2_timely,OK,64,64,14.272487515624995,14.496453,14.537249,14.574696,14.574696,2.014561872,9.208955576157472,0.920895557615747,5.699116864,1,7.509344,0.5853039999998977,1,5527.9846079384315,0.0,0.0,1278816.0,0.0,1023.0528,910,0,0,0,,,,,,
mx_s2_hpcc,OK,64,64,14.810717468750001,15.080906,15.16289,15.2073,15.2073,2.015194272,8.82587494163987,0.8825874941639872,5.522388864,1,7.2737066666666665,0.012699999999643552,1,1231.700294801179,0.0,0.0,1296010.0,0.0,1036.808,127,0,0,0,,,,,,
mx_s2_cbapsba,OK,64,64,14.202291109375004,14.219051,14.219793,14.249636,14.244636,2.014236602,9.419028528167315,0.9419028528167315,5.726484864,1,7.5458598195327315,0.030363999999671876,1,97.1749166996668,0.0,0.0,20960.0,0.0,16.768,0,0,0,0,0.21000042000084,0.013333374566666667,0.4,30,3:30,2500.0/0.0/0.0/0.0
