scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
s3_fan64_1m_bg80,cbapsba,2,6,0b000501-0b004001-10000-3,5,64,1048576,2.000000000,2.092086893,0.092086893,1048576,1,91094483.989,0,0
s3_fan64_1m_bg80,cbapsba,2,40,0b002701-0b004001-10000-3,39,64,1048576,2.000000000,2.092169516,0.092169516,1048576,1,91012824.674,0,0
s3_fan64_1m_bg80,cbapsba,2,28,0b001b01-0b004001-10000-3,27,64,1048576,2.000000000,2.092663597,0.092663597,1048576,1,90527545.569,0,0
s3_fan64_1m_bg80,cbapsba,2,53,0b003401-0b004001-10000-3,52,64,1048576,2.000000000,2.092804880,0.092804880,1048576,1,90389729.506,0,0
s3_fan64_1m_bg80,cbapsba,2,18,0b001101-0b004001-10000-3,17,64,1048576,2.000000000,2.092872419,0.092872419,1048576,1,90323995.976,0,0
s3_fan64_1m_bg80,cbapsba,2,46,0b002d01-0b004001-10000-3,45,64,1048576,2.000000000,2.092892192,0.092892192,1048576,1,90304769.641,0,0
s3_fan64_1m_bg80,cbapsba,2,22,0b001501-0b004001-10000-3,21,64,1048576,2.000000000,2.092986547,0.092986547,1048576,1,90213135.885,0,0
s3_fan64_1m_bg80,cbapsba,2,32,0b001f01-0b004001-10000-3,31,64,1048576,2.000000000,2.093028108,0.093028108,1048576,1,90172832.495,0,0
s3_fan64_1m_bg80,cbapsba,2,20,0b001301-0b004001-10000-3,19,64,1048576,2.000000000,2.093062965,0.093062965,1048576,1,90139058.002,0,0
s3_fan64_1m_bg80,cbapsba,2,2,0b000101-0b004001-10000-3,1,64,1048576,2.000000000,2.093087766,0.093087766,1048576,1,90115042.615,0,0
s3_fan64_1m_bg80,cbapsba,2,30,0b001d01-0b004001-10000-3,29,64,1048576,2.000000000,2.093089103,0.093089103,1048576,1,90113748.330,0,0
s3_fan64_1m_bg80,cbapsba,2,17,0b001001-0b004001-10000-3,16,64,1048576,2.000000000,2.093129826,0.093129826,1048576,1,90074344.174,0,0
s3_fan64_1m_bg80,cbapsba,2,26,0b001901-0b004001-10000-3,25,64,1048576,2.000000000,2.093130325,0.093130325,1048576,1,90073861.548,0,0
s3_fan64_1m_bg80,cbapsba,2,8,0b000701-0b004001-10000-3,7,64,1048576,2.000000000,2.093135852,0.093135852,1048576,1,90068516.257,0,0
