scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
s4_fan64_1m_bg95,cbapsba,2,49,0b003001-0b004001-10000-3,48,64,1048576,2.000000000,2.239506355,0.239506355,1048576,1,35024573.774,0,0
s4_fan64_1m_bg95,cbapsba,2,1,0b000001-0b004001-10000-3,0,64,1048576,2.000000000,2.239508530,0.239508530,1048576,1,35024255.712,0,0
s4_fan64_1m_bg95,cbapsba,2,4,0b000301-0b004001-10000-3,3,64,1048576,2.000000000,2.239510705,0.239510705,1048576,1,35023937.657,0,0
s4_fan64_1m_bg95,cbapsba,2,6,0b000501-0b004001-10000-3,5,64,1048576,2.000000000,2.239512880,0.239512880,1048576,1,35023619.607,0,0
s4_fan64_1m_bg95,cbapsba,2,9,0b000801-0b004001-10000-3,8,64,1048576,2.000000000,2.239515055,0.239515055,1048576,1,35023301.562,0,0
s4_fan64_1m_bg95,cbapsba,2,5,0b000401-0b004001-10000-3,4,64,1048576,2.000000000,2.239517230,0.239517230,1048576,1,35022983.524,0,0
s4_fan64_1m_bg95,cbapsba,2,10,0b000901-0b004001-10000-3,9,64,1048576,2.000000000,2.239518567,0.239518567,1048576,1,35022788.025,0,0
s4_fan64_1m_bg95,cbapsba,2,13,0b000c01-0b004001-10000-3,12,64,1048576,2.000000000,2.239520742,0.239520742,1048576,1,35022469.996,0,0
s4_fan64_1m_bg95,cbapsba,2,15,0b000e01-0b004001-10000-3,14,64,1048576,2.000000000,2.239522917,0.239522917,1048576,1,35022151.972,0,0
s4_fan64_1m_bg95,cbapsba,2,11,0b000a01-0b004001-10000-3,10,64,1048576,2.000000000,2.239524254,0.239524254,1048576,1,35021956.482,0,0
s4_fan64_1m_bg95,cbapsba,2,23,0b001601-0b004001-10000-3,22,64,1048576,2.000000000,2.239525591,0.239525591,1048576,1,35021760.994,0,0
s4_fan64_1m_bg95,cbapsba,2,19,0b001201-0b004001-10000-3,18,64,1048576,2.000000000,2.239527766,0.239527766,1048576,1,35021442.984,0,0
s4_fan64_1m_bg95,cbapsba,2,17,0b001001-0b004001-10000-3,16,64,1048576,2.000000000,2.239529103,0.239529103,1048576,1,35021247.502,0,0
s4_fan64_1m_bg95,cbapsba,2,14,0b000d01-0b004001-10000-3,13,64,1048576,2.000000000,2.239530440,0.239530440,1048576,1,35021052.022,0,0
s4_fan64_1m_bg95,cbapsba,2,32,0b001f01-0b004001-10000-3,31,64,1048576,2.000000000,2.239531777,0.239531777,1048576,1,35020856.544,0,0
s4_fan64_1m_bg95,cbapsba,2,26,0b001901-0b004001-10000-3,25,64,1048576,2.000000000,2.239533114,0.239533114,1048576,1,35020661.068,0,0
s4_fan64_1m_bg95,cbapsba,2,25,0b001801-0b004001-10000-3,24,64,1048576,2.000000000,2.239534451,0.239534451,1048576,1,35020465.595,0,0
s4_fan64_1m_bg95,cbapsba,2,21,0b001401-0b004001-10000-3,20,64,1048576,2.000000000,2.239535788,0.239535788,1048576,1,35020270.123,0,0
s4_fan64_1m_bg95,cbapsba,2,34,0b002101-0b004001-10000-3,33,64,1048576,2.000000000,2.239537125,0.239537125,1048576,1,35020074.654,0,0
s4_fan64_1m_bg95,cbapsba,2,31,0b001e01-0b004001-10000-3,30,64,1048576,2.000000000,2.239538462,0.239538462,1048576,1,35019879.188,0,0
s4_fan64_1m_bg95,cbapsba,2,29,0b001c01-0b004001-10000-3,28,64,1048576,2.000000000,2.239539799,0.239539799,1048576,1,35019683.723,0,0
s4_fan64_1m_bg95,cbapsba,2,30,0b001d01-0b004001-10000-3,29,64,1048576,2.000000000,2.239540298,0.239540298,1048576,1,35019610.771,0,0
s4_fan64_1m_bg95,cbapsba,2,37,0b002401-0b004001-10000-3,36,64,1048576,2.000000000,2.239541635,0.239541635,1048576,1,35019415.310,0,0
s4_fan64_1m_bg95,cbapsba,2,35,0b002201-0b004001-10000-3,34,64,1048576,2.000000000,2.239542972,0.239542972,1048576,1,35019219.850,0,0
s4_fan64_1m_bg95,cbapsba,2,33,0b002001-0b004001-10000-3,32,64,1048576,2.000000000,2.239544309,0.239544309,1048576,1,35019024.393,0,0
s4_fan64_1m_bg95,cbapsba,2,46,0b002d01-0b004001-10000-3,45,64,1048576,2.000000000,2.239544808,0.239544808,1048576,1,35018951.444,0,0
s4_fan64_1m_bg95,cbapsba,2,41,0b002801-0b004001-10000-3,40,64,1048576,2.000000000,2.239546145,0.239546145,1048576,1,35018755.990,0,0
s4_fan64_1m_bg95,cbapsba,2,38,0b002501-0b004001-10000-3,37,64,1048576,2.000000000,2.239547482,0.239547482,1048576,1,35018560.537,0,0
s4_fan64_1m_bg95,cbapsba,2,39,0b002601-0b004001-10000-3,38,64,1048576,2.000000000,2.239547981,0.239547981,1048576,1,35018487.591,0,0
s4_fan64_1m_bg95,cbapsba,2,54,0b003501-0b004001-10000-3,53,64,1048576,2.000000000,2.239549318,0.239549318,1048576,1,35018292.141,0,0
s4_fan64_1m_bg95,cbapsba,2,45,0b002c01-0b004001-10000-3,44,64,1048576,2.000000000,2.239549817,0.239549817,1048576,1,35018219.196,0,0
