scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
s4_fan64_1m_bg95,cbapsba,2,0,0b004101-0b004001-10000-0,0,0,1,1.000005000,4.605693065,4.605698835,3.605698835,4000000000,9500000000,912807668,9416736205,0,0.000000000,0,60784,0,4000000000,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,1,0b000001-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085001683,0.085001683,1048576,3906250,3906250,103391759,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,2,0b000101-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085029185,0.085029185,1048576,3906250,3906250,247472481,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,3,0b000201-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085041001,0.085041001,1048576,3906250,3906250,1267801130,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,4,0b000301-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085002182,0.085002182,1048576,3906250,3906250,103391759,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,5,0b000401-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085004517,0.085004517,1048576,3906250,3906250,103391759,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,6,0b000501-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085002681,0.085002681,1048576,3906250,3906250,103391759,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,7,0b000601-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085030183,0.085030183,1048576,3906250,3906250,324030965,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,8,0b000701-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085031181,0.085031181,1048576,3906250,3906250,324030965,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,9,0b000801-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085004018,0.085004018,1048576,3906250,3906250,103391759,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,10,0b000901-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085005016,0.085005016,1048576,3906250,3906250,122103277,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,11,0b000a01-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085007351,0.085007351,1048576,3906250,3906250,122103277,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,12,0b000b01-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085033177,0.085033177,1048576,3906250,3906250,324030965,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,13,0b000c01-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085006353,0.085006353,1048576,3906250,3906250,122103277,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,14,0b000d01-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085010185,0.085010185,1048576,3906250,3906250,143175356,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,15,0b000e01-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085006852,0.085006852,1048576,3906250,3906250,122103277,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,16,0b000f01-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085036011,0.085036011,1048576,3906250,3906250,472841960,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,17,0b001001-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085009686,0.085009686,1048576,3906250,3906250,122103277,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,18,0b001101-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085032678,0.085032678,1048576,3906250,3906250,324030965,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,19,0b001201-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085009187,0.085009187,1048576,3906250,3906250,122103277,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,20,0b001301-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085032179,0.085032179,1048576,3906250,3906250,324030965,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,21,0b001401-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085013857,0.085013857,1048576,3906250,3906250,143175356,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,22,0b001501-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085037508,0.085037508,1048576,3906250,3906250,472841960,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,23,0b001601-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085007850,0.085007850,1048576,3906250,3906250,122103277,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,24,0b001701-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085041500,0.085041500,1048576,3906250,3906250,1267801130,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,25,0b001801-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085012520,0.085012520,1048576,3906250,3906250,143175356,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,26,0b001901-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085012021,0.085012021,1048576,3906250,3906250,143175356,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,27,0b001a01-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085035512,0.085035512,1048576,3906250,3906250,472841960,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,28,0b001b01-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085035013,0.085035013,1048576,3906250,3906250,472841960,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,29,0b001c01-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085015354,0.085015354,1048576,3906250,3906250,168342242,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,30,0b001d01-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085015853,0.085015853,1048576,3906250,3906250,168342242,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,31,0b001e01-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085014855,0.085014855,1048576,3906250,3906250,143175356,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,32,0b001f01-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085011522,0.085011522,1048576,3906250,3906250,143175356,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,33,0b002001-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085018188,0.085018188,1048576,3906250,3906250,168342242,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,34,0b002101-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085014356,0.085014356,1048576,3906250,3906250,143175356,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,35,0b002201-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085017689,0.085017689,1048576,3906250,3906250,168342242,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,36,0b002301-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085036510,0.085036510,1048576,3906250,3906250,472841960,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,37,0b002401-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085017190,0.085017190,1048576,3906250,3906250,168342242,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,38,0b002501-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085020523,0.085020523,1048576,3906250,3906250,200215318,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,39,0b002601-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085021022,0.085021022,1048576,3906250,3906250,200215318,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,40,0b002701-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085038007,0.085038007,1048576,3906250,3906250,472841960,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,41,0b002801-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085019186,0.085019186,1048576,3906250,3906250,168342242,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,42,0b002901-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085029684,0.085029684,1048576,3906250,3906250,247472481,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,43,0b002a01-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085022519,0.085022519,1048576,3906250,3906250,200215318,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,44,0b002b01-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085033676,0.085033676,1048576,3906250,3906250,324030965,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,45,0b002c01-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085022020,0.085022020,1048576,3906250,3906250,200215318,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,46,0b002d01-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085018687,0.085018687,1048576,3906250,3906250,168342242,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,47,0b002e01-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085039005,0.085039005,1048576,3906250,3906250,472841960,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,48,0b002f01-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085031680,0.085031680,1048576,3906250,3906250,324030965,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,49,0b003001-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085023018,0.085023018,1048576,3906250,3906250,200215318,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,50,0b003101-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085037009,0.085037009,1048576,3906250,3906250,472841960,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,51,0b003201-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085039504,0.085039504,1048576,3906250,3906250,472841960,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,52,0b003301-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085024854,0.085024854,1048576,3906250,3906250,200215318,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,53,0b003401-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085025852,0.085025852,1048576,3906250,3906250,247472481,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,54,0b003501-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085021521,0.085021521,1048576,3906250,3906250,200215318,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
s4_fan64_1m_bg95,cbapsba,2,55,0b003601-0b004001-10000-3,0,1,64,2.000005000,2.084986285,2.085040003,0.085040003,1048576,3906250,3906250,1267801130,0,0.000000000,0,60784,0,1048576,0,1.000000000,0.000000000,0,0
