scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
m2_dcqcn_out,dcqcn,2,60,0b003b01-0b004001-10000-3,59,64,1048576,2.000000000,2.047764170,0.047764170,1048576,1,175625536.883,0,0
m2_dcqcn_out,dcqcn,2,34,0b002101-0b004001-10000-3,33,64,1048576,2.000000000,2.048046237,0.048046237,1048576,1,174594484.892,0,0
m2_dcqcn_out,dcqcn,2,7,0b000601-0b004001-10000-3,6,64,1048576,2.000000000,2.048453166,0.048453166,1048576,1,173128170.820,0,0
m2_dcqcn_out,dcqcn,2,62,0b003d01-0b004001-10000-3,61,64,1048576,2.000000000,2.049262335,0.049262335,1048576,1,170284417.091,0,0
m2_dcqcn_out,dcqcn,2,45,0b002c01-0b004001-10000-3,44,64,1048576,2.000000000,2.049995246,0.049995246,1048576,1,167788113.294,0,0
m2_dcqcn_out,dcqcn,2,8,0b000701-0b004001-10000-3,7,64,1048576,2.000000000,2.050370331,0.050370331,1048576,1,166538671.346,0,0
m2_dcqcn_out,dcqcn,2,44,0b002b01-0b004001-10000-3,43,64,1048576,2.000000000,2.050482284,0.050482284,1048576,1,166169343.685,0,0
m2_dcqcn_out,dcqcn,2,6,0b000501-0b004001-10000-3,5,64,1048576,2.000000000,2.050721613,0.050721613,1048576,1,165385276.687,0,0
m2_dcqcn_out,dcqcn,2,56,0b003701-0b004001-10000-3,55,64,1048576,2.000000000,2.051053122,0.051053122,1048576,1,164311361.801,0,0
m2_dcqcn_out,dcqcn,2,4,0b000301-0b004001-10000-3,3,64,1048576,2.000000000,2.052085199,0.052085199,1048576,1,161055504.463,0,0
m2_dcqcn_out,dcqcn,2,48,0b002f01-0b004001-10000-3,47,64,1048576,2.000000000,2.052119218,0.052119218,1048576,1,160950381.105,0,0
m2_dcqcn_out,dcqcn,2,41,0b002801-0b004001-10000-3,40,64,1048576,2.000000000,2.052142343,0.052142343,1048576,1,160879000.010,0,0
m2_dcqcn_out,dcqcn,2,50,0b003101-0b004001-10000-3,49,64,1048576,2.000000000,2.052393404,0.052393404,1048576,1,160108092.996,0,0
m2_dcqcn_out,dcqcn,2,23,0b001601-0b004001-10000-3,22,64,1048576,2.000000000,2.052484407,0.052484407,1048576,1,159830480.699,0,0
m2_dcqcn_out,dcqcn,2,64,0b003f01-0b004001-10000-3,63,64,1048576,2.000000000,2.052838542,0.052838542,1048576,1,158759263.267,0,0
m2_dcqcn_out,dcqcn,2,30,0b001d01-0b004001-10000-3,29,64,1048576,2.000000000,2.052888483,0.052888483,1048576,1,158609351.681,0,0
m2_dcqcn_out,dcqcn,2,24,0b001701-0b004001-10000-3,23,64,1048576,2.000000000,2.053080046,0.053080046,1048576,1,158036939.154,0,0
m2_dcqcn_out,dcqcn,2,33,0b002001-0b004001-10000-3,32,64,1048576,2.000000000,2.053371331,0.053371331,1048576,1,157174420.102,0,0
m2_dcqcn_out,dcqcn,2,42,0b002901-0b004001-10000-3,41,64,1048576,2.000000000,2.053437194,0.053437194,1048576,1,156980697.751,0,0
m2_dcqcn_out,dcqcn,2,43,0b002a01-0b004001-10000-3,42,64,1048576,2.000000000,2.053451101,0.053451101,1048576,1,156939854.242,0,0
m2_dcqcn_out,dcqcn,2,5,0b000401-0b004001-10000-3,4,64,1048576,2.000000000,2.053526182,0.053526182,1048576,1,156719715.223,0,0
m2_dcqcn_out,dcqcn,2,47,0b002e01-0b004001-10000-3,46,64,1048576,2.000000000,2.053631431,0.053631431,1048576,1,156412160.623,0,0
m2_dcqcn_out,dcqcn,2,29,0b001c01-0b004001-10000-3,28,64,1048576,2.000000000,2.053669640,0.053669640,1048576,1,156300806.191,0,0
m2_dcqcn_out,dcqcn,2,19,0b001201-0b004001-10000-3,18,64,1048576,2.000000000,2.053820141,0.053820141,1048576,1,155863731.386,0,0
m2_dcqcn_out,dcqcn,2,57,0b003801-0b004001-10000-3,56,64,1048576,2.000000000,2.053878462,0.053878462,1048576,1,155695015.942,0,0
m2_dcqcn_out,dcqcn,2,3,0b000201-0b004001-10000-3,2,64,1048576,2.000000000,2.053922537,0.053922537,1048576,1,155567754.536,0,0
m2_dcqcn_out,dcqcn,2,18,0b001101-0b004001-10000-3,17,64,1048576,2.000000000,2.054080580,0.054080580,1048576,1,155113129.334,0,0
m2_dcqcn_out,dcqcn,2,15,0b000e01-0b004001-10000-3,14,64,1048576,2.000000000,2.054082755,0.054082755,1048576,1,155106891.282,0,0
m2_dcqcn_out,dcqcn,2,35,0b002201-0b004001-10000-3,34,64,1048576,2.000000000,2.054195546,0.054195546,1048576,1,154784085.024,0,0
m2_dcqcn_out,dcqcn,2,40,0b002701-0b004001-10000-3,39,64,1048576,2.000000000,2.054236269,0.054236269,1048576,1,154667866.258,0,0
m2_dcqcn_out,dcqcn,2,39,0b002601-0b004001-10000-3,38,64,1048576,2.000000000,2.054278668,0.054278668,1048576,1,154547049.681,0,0
m2_dcqcn_out,dcqcn,2,58,0b003901-0b004001-10000-3,57,64,1048576,2.000000000,2.054301793,0.054301793,1048576,1,154481234.165,0,0
