# corrected (pg3) results; background metrics use the fixed 150 ms window
scenario,algorithm,bg_fw_retention_pct,fct_p99_ms
s1,dcqcn,97.706466,3.777800
s1,dctcp,97.706466,3.777800
s1,timely,96.700767,5.202623
s1,hpcc,97.454421,4.133583
s1,cbapsba,97.795822,5.927714
s2,dcqcn,84.978838,15.321894
s2,dctcp,90.678766,14.342907
s2,timely,90.296771,14.551104
s2,hpcc,90.136100,15.179322
s2,cbapsba,91.485761,21.994054
s3,dcqcn,67.361070,58.259313
s3,dctcp,67.376428,57.242871
s3,timely,67.350993,57.857997
s3,hpcc,67.301108,60.264014
s3,cbapsba,80.935484,87.916943
s6,dcqcn,90.164271,6.852821
s6,dctcp,95.654771,6.853659
s6,timely,94.667864,8.226548
s6,hpcc,95.318973,7.314602
s6,cbapsba,96.093872,11.093921
s4,dcqcn,67.312132,58.680080
s4,dctcp,67.268614,57.244099
s4,timely,67.246431,57.867920
s4,hpcc,67.211058,60.317270
s4,cbapsba,78.690288,87.916943
s5,dcqcn,67.356183,229.734869
s5,dctcp,67.376428,228.655658
s5,timely,67.350993,230.993995
s5,hpcc,67.301108,241.027093
s5,cbapsba,80.935484,351.659130
