"# CBAP-SBA only: effect of the capacity-feasibility floor eta_eff=max(eta_base,eta_feasible)."
# before = pre-freeze binary 084da1fc (no floor); after = FINAL FREEZE 0156d0ba/0bacef18.
"# Both are complete 30-cell matrices with identical scenarios, seed and ECN/PFC settings."
scenario,metric,before,after,delta_pct,direction
s1,fct_mean_ms,5.927846,5.927846,0.00,unchanged
s1,fct_p99_ms,5.929390,5.929390,0.00,unchanged
s1,cct_ms,105.929413,105.929413,0.00,unchanged
s1,incast_agg_gbps,5.658980,5.658980,0.00,unchanged
s1,bg_retention_pct,97.242855,97.242855,0.00,unchanged
s1,bg_min_gbps,3.858586,3.858586,0.00,unchanged
s1,queue_mean_bytes,406.877749,406.877749,0.00,unchanged
s1,queue_p99_bytes,10480.000000,10480.000000,0.00,unchanged
s1,queue_peak_bytes,14672.000000,14672.000000,0.00,unchanged
s1,over_qmax_pct,0.000000,0.000000,,unchanged
s1,ecn_marks,0.000000,0.000000,,unchanged
s1,util_mean,0.811864,0.811864,0.00,unchanged
s1,pfc_events,0.000000,0.000000,,unchanged
s1,retx_bytes_total,0.000000,0.000000,,unchanged
s2,fct_mean_ms,22.582422,22.091037,-2.18,decreased
s2,fct_p99_ms,22.773378,22.097973,-2.97,decreased
s2,cct_ms,122.773474,122.098069,-0.55,decreased
s2,incast_agg_gbps,5.893599,6.073731,3.06,increased
s2,bg_retention_pct,90.319494,90.126185,-0.21,decreased
s2,bg_min_gbps,2.929293,3.462626,18.21,increased
s2,queue_mean_bytes,136151.379052,12612.662408,-90.74,decreased
s2,queue_p99_bytes,1261792.000000,113089.680000,-91.04,decreased
s2,queue_peak_bytes,1263888.000000,131000.000000,-89.64,decreased
s2,over_qmax_pct,12.787099,0.000000,-100.00,decreased
s2,ecn_marks,1095.000000,0.000000,-100.00,decreased
s2,util_mean,0.837749,0.836874,-0.10,decreased
s2,pfc_events,0.000000,0.000000,,unchanged
s2,retx_bytes_total,0.000000,0.000000,,unchanged
s3,fct_mean_ms,93.335087,88.275528,-5.42,decreased
s3,fct_p99_ms,93.534236,88.295083,-5.60,decreased
s3,cct_ms,193.534550,188.295397,-2.71,decreased
s3,incast_agg_gbps,5.739814,6.080395,5.93,increased
s3,bg_retention_pct,75.748949,74.379345,-1.81,decreased
s3,bg_min_gbps,2.258586,3.462626,53.31,increased
s3,queue_mean_bytes,548016.273225,83545.234626,-84.75,decreased
s3,queue_p99_bytes,1263888.000000,323832.000000,-74.38,decreased
s3,queue_peak_bytes,1263888.000000,346888.000000,-72.55,decreased
s3,over_qmax_pct,44.672936,0.000000,-100.00,decreased
s3,ecn_marks,8253.000000,0.000000,-100.00,decreased
s3,util_mean,0.897250,0.894381,-0.32,decreased
s3,pfc_events,0.000000,0.000000,,unchanged
s3,retx_bytes_total,0.000000,0.000000,,unchanged
s6,fct_mean_ms,11.093183,11.093183,0.00,unchanged
s6,fct_p99_ms,11.097273,11.097273,0.00,unchanged
s6,cct_ms,111.097273,111.097273,0.00,unchanged
s6,incast_agg_gbps,11.338742,11.338742,0.00,unchanged
s6,bg_retention_pct,95.069788,95.069788,0.00,unchanged
s6,bg_min_gbps,3.854545,3.854545,0.00,unchanged
s6,queue_mean_bytes,1419.727093,1419.727093,0.00,unchanged
s6,queue_p99_bytes,25152.000000,25152.000000,0.00,unchanged
s6,queue_peak_bytes,30392.000000,30392.000000,0.00,unchanged
s6,over_qmax_pct,0.000000,0.000000,,unchanged
s6,ecn_marks,0.000000,0.000000,,unchanged
s6,util_mean,0.820602,0.820602,0.00,unchanged
s6,pfc_events,0.000000,0.000000,,unchanged
s6,retx_bytes_total,0.000000,0.000000,,unchanged
s4,fct_mean_ms,107.818628,88.256029,-18.14,decreased
s4,fct_p99_ms,107.848292,88.275126,-18.15,decreased
s4,cct_ms,207.848606,188.275440,-9.42,decreased
s4,incast_agg_gbps,4.978005,6.081770,22.17,increased
s4,bg_retention_pct,74.247405,71.025784,-4.34,decreased
s4,bg_min_gbps,4.282828,3.462626,-19.15,decreased
s4,bg_slowdown,1.069936,1.070297,0.03,increased
s4,queue_mean_bytes,627060.245369,80357.528787,-87.19,decreased
s4,queue_p99_bytes,1264936.000000,310208.000000,-75.48,decreased
s4,queue_peak_bytes,1265984.000000,331168.000000,-73.84,decreased
s4,over_qmax_pct,50.493144,0.000000,-100.00,decreased
s4,ecn_marks,8983.000000,0.000000,-100.00,decreased
s4,util_mean,0.976460,0.973952,-0.26,decreased
s4,pfc_events,0.000000,0.000000,,unchanged
s4,retx_bytes_total,0.000000,0.000000,,unchanged
s5,fct_mean_ms,376.326154,350.544491,-6.85,decreased
s5,fct_p99_ms,376.519725,350.963262,-6.79,decreased
s5,cct_ms,476.519902,450.963439,-5.36,decreased
s5,incast_agg_gbps,5.703506,6.118824,7.28,increased
s5,bg_retention_pct,60.726636,57.085345,-6.00,decreased
s5,bg_min_gbps,2.436364,0.109091,-95.52,decreased
s5,bg_slowdown,1.100955,1.102625,0.15,increased
s5,queue_mean_bytes,972634.130278,705873.282923,-27.43,decreased
s5,queue_p99_bytes,1263888.000000,1262840.000000,-0.08,decreased
s5,queue_peak_bytes,1263888.000000,1262840.000000,-0.08,decreased
s5,over_qmax_pct,77.528750,53.147659,-31.45,decreased
s5,ecn_marks,36891.000000,25062.000000,-32.06,decreased
s5,util_mean,0.958557,0.956173,-0.25,decreased
s5,pfc_events,0.000000,0.000000,,unchanged
s5,retx_bytes_total,0.000000,0.000000,,unchanged
