# S3 ablation: full CBAP-SBA vs migration disabled (CBAP_MIGRATION_ENABLE 0).
"# Config-only change, no source modification. Everything else identical:"
"# topology, flow file, seed 2, stop 3.0s, ECN/PFC, MIN_RATE, eta_base, telemetry window."
# Verified: the two configs differ in exactly one key.
metric,full_cbap_sba,migration_off,delta_pct
incast_done,64.000000,64.000000,0.00
fct_mean_ms,88.275528,562.428381,537.13
fct_p95_ms,88.293062,562.499560,537.08
fct_p99_ms,88.295397,562.506923,537.07
cct_ms,188.295397,662.506923,251.84
incast_agg_gbps,6.081764,0.954559,-84.30
bg_before_gbps,7.640880,7.640880,0.00
bg_during_gbps,6.249547,7.640853,22.26
bg_min_gbps,3.200000,7.200000,125.00
bg_retention_pct,81.790928,99.999651,22.26
bg_acked_bytes,1856688000.000000,1910209000.000000,2.88
queue_mean_bytes,83545.234626,13528.303935,-83.81
queue_p99_bytes,323832.000000,61832.000000,-80.91
queue_peak_bytes,346888.000000,62880.000000,-81.87
util_mean,0.894381,0.885692,-0.97
ecn_marks,0.000000,0.000000,
pfc_events,0.000000,0.000000,
pfc_pause_total_ns,0.000000,0.000000,
drops,0.000000,0.000000,
retx_bytes_total,0.000000,0.000000,
retx_events_total,0.000000,0.000000,
