# Incast FCT distribution and collective completion time. Lower is better.
scenario,scenario_shape,algorithm,fct_mean_ms,fct_p50_ms,fct_p95_ms,fct_p99_ms,fct_min_ms,fct_max_ms,cct_ms,completion_rate_pct,incast_n
s1,16x256KiB bg80%,DCQCN,17.398942,17.560099,17.624192,17.624786,17.113136,17.624935,117.624935,100.000000,16.000000
s1,16x256KiB bg80%,DCTCP,17.398942,17.560099,17.624192,17.624786,17.113136,17.624935,117.624935,100.000000,16.000000
s1,16x256KiB bg80%,TIMELY,17.517130,17.633000,17.716663,17.759005,17.156635,17.769590,117.769590,100.000000,16.000000
s1,16x256KiB bg80%,HPCC,3.847205,3.843508,4.087696,4.092277,3.492095,4.093422,104.093422,100.000000,16.000000
s1,16x256KiB bg80%,CBAP-SBA,5.927846,5.927846,5.929298,5.929390,5.926280,5.929413,105.929413,100.000000,16.000000
s2,64x256KiB bg80%,DCQCN,69.796115,70.112656,70.453325,70.454985,68.900698,70.455609,170.455609,100.000000,64.000000
s2,64x256KiB bg80%,DCTCP,69.799389,70.112656,70.449135,70.454985,68.900698,70.455609,170.455609,100.000000,64.000000
s2,64x256KiB bg80%,TIMELY,70.166993,70.480077,70.823325,70.825008,69.260975,70.825640,170.825640,100.000000,64.000000
s2,64x256KiB bg80%,HPCC,14.802668,14.857330,15.088772,15.117964,13.975734,15.129395,115.129395,100.000000,64.000000
s2,64x256KiB bg80%,CBAP-SBA,22.091037,22.090736,22.097587,22.097973,22.083402,22.098069,122.098069,100.000000,64.000000
s3,64x1MiB bg80%,DCQCN,281.564317,281.625883,281.734766,281.740683,281.287116,281.742581,381.742581,100.000000,64.000000
s3,64x1MiB bg80%,DCTCP,281.561371,281.625883,281.734766,281.740683,281.253596,281.742581,381.742581,100.000000,64.000000
s3,64x1MiB bg80%,TIMELY,283.031280,283.100408,283.209844,283.216214,282.704701,283.217596,383.217596,100.000000,64.000000
s3,64x1MiB bg80%,HPCC,59.588560,59.758093,60.108953,60.130945,57.770199,60.134218,160.134218,100.000000,64.000000
s3,64x1MiB bg80%,CBAP-SBA,88.275528,88.276326,88.292987,88.295083,88.253066,88.295397,188.295397,100.000000,64.000000
s6,dual 30+30x256KiB bg80%x2,DCQCN,32.685855,32.718496,33.032716,33.033707,31.882048,33.033707,133.033707,100.000000,60.000000
s6,dual 30+30x256KiB bg80%x2,DCTCP,32.685855,32.718496,33.032716,33.033707,31.882048,33.033707,133.033707,100.000000,60.000000
s6,dual 30+30x256KiB bg80%x2,TIMELY,32.916772,33.038697,33.206371,33.206530,32.365515,33.206530,133.206530,100.000000,60.000000
s6,dual 30+30x256KiB bg80%x2,HPCC,7.108757,7.147019,7.284136,7.292748,6.571901,7.293464,107.293464,100.000000,60.000000
s6,dual 30+30x256KiB bg80%x2,CBAP-SBA,11.093183,11.093379,11.096282,11.097273,11.089484,11.097273,111.097273,100.000000,60.000000
s4,64x1MiB bg95%,DCQCN,1126.614641,1126.860778,1127.295768,1127.320690,1125.504259,1127.327340,1227.327340,100.000000,64.000000
s4,64x1MiB bg95%,DCTCP,1126.614641,1126.860778,1127.295768,1127.320690,1125.504259,1127.327340,1227.327340,100.000000,64.000000
s4,64x1MiB bg95%,TIMELY,1118.272418,1118.516531,1118.949346,1118.974858,1117.168370,1118.981025,1218.981025,100.000000,64.000000
s4,64x1MiB bg95%,HPCC,59.666596,59.830088,60.176233,60.242022,58.010901,60.313452,160.313452,100.000000,64.000000
s4,64x1MiB bg95%,CBAP-SBA,88.256029,88.256788,88.273868,88.275126,88.233947,88.275440,188.275440,100.000000,64.000000
s5,64x4MiB bg80%,DCQCN,1126.291216,1126.585092,1126.915018,1126.918274,1125.424410,1126.919507,1226.919507,100.000000,64.000000
s5,64x4MiB bg80%,DCTCP,1126.294961,1126.585092,1126.915018,1126.918274,1125.424410,1126.919507,1226.919507,100.000000,64.000000
s5,64x4MiB bg80%,TIMELY,1132.192284,1132.484373,1132.816057,1132.819751,1131.316943,1132.820464,1232.820464,100.000000,64.000000
s5,64x4MiB bg80%,HPCC,239.450279,239.700074,240.471647,240.543265,236.456384,240.566411,340.566411,100.000000,64.000000
s5,64x4MiB bg80%,CBAP-SBA,350.544491,350.874559,350.962554,350.963262,346.770820,350.963439,450.963439,100.000000,64.000000
