"# Background protection. recovery*_never_dipped=1 means the flow never fell below the threshold, so a 0 recovery time is a measurement, not missing data."
scenario,scenario_shape,algorithm,bg_before_gbps,bg_during_gbps,bg_after_gbps,bg_min_gbps,bg_retention_pct,bg_recovery90_ms,bg_recovery90_never_dipped,bg_recovery95_ms,bg_recovery95_never_dipped,bg_service_debt_bytes,bg_service_debt_window_s,bg_fct_ms,bg_slowdown,bg_completed,bg_n_flows
s1,16x256KiB bg80%,DCQCN,7.640882,7.640877,7.640904,7.636364,99.999945,0.000000,1.000000,0.000000,1.000000,2949403000.000000,2.100000,,,0.000000,1.000000
s1,16x256KiB bg80%,DCTCP,7.640882,7.640877,7.640904,7.636364,99.999945,0.000000,1.000000,0.000000,1.000000,2949403000.000000,2.100000,,,0.000000,1.000000
s1,16x256KiB bg80%,TIMELY,7.582943,7.582880,7.582968,7.579798,99.999171,0.000000,1.000000,0.000000,1.000000,2957370000.000000,2.100000,,,0.000000,1.000000
s1,16x256KiB bg80%,HPCC,7.346198,7.077095,7.345849,0.400000,96.336836,104.000000,0.000000,104.000000,0.000000,2993438000.000000,2.100000,,,0.000000,1.000000
s1,16x256KiB bg80%,CBAP-SBA,7.640882,7.430211,7.575585,3.858586,97.242855,106.000000,0.000000,106.000000,0.000000,2952974000.000000,2.100000,,,0.000000,1.000000
s2,64x256KiB bg80%,DCQCN,7.640882,7.640835,7.640883,7.636364,99.999396,0.000000,1.000000,0.000000,1.000000,2567359000.000000,2.500000,,,0.000000,1.000000
s2,64x256KiB bg80%,DCTCP,7.640882,7.640835,7.640883,7.636364,99.999396,0.000000,1.000000,0.000000,1.000000,2567359000.000000,2.500000,,,0.000000,1.000000
s2,64x256KiB bg80%,TIMELY,7.582943,7.582906,7.582943,7.579798,99.999508,0.000000,1.000000,0.000000,1.000000,2578223000.000000,2.500000,,,0.000000,1.000000
s2,64x256KiB bg80%,HPCC,7.346198,6.398958,7.346077,0.092929,87.105707,116.000000,0.000000,116.000000,0.000000,2636261000.000000,2.500000,,,0.000000,1.000000
s2,64x256KiB bg80%,CBAP-SBA,7.640882,6.886435,7.582791,3.462626,90.126185,122.000000,0.000000,122.000000,0.000000,2582359000.000000,2.500000,,,0.000000,1.000000
s3,64x1MiB bg80%,DCQCN,7.640882,7.640866,7.640879,7.636364,99.999789,0.000000,1.000000,0.000000,1.000000,2089804000.000000,3.000000,,,0.000000,1.000000
s3,64x1MiB bg80%,DCTCP,7.640882,7.640866,7.640879,7.636364,99.999789,0.000000,1.000000,0.000000,1.000000,2089804000.000000,3.000000,,,0.000000,1.000000
s3,64x1MiB bg80%,TIMELY,7.582943,7.582923,7.582945,7.579798,99.999729,0.000000,1.000000,0.000000,1.000000,2104289000.000000,3.000000,,,0.000000,1.000000
s3,64x1MiB bg80%,HPCC,7.346198,4.636473,7.346042,0.092929,63.113909,160.000000,0.000000,162.000000,0.000000,2217741000.000000,3.000000,,,0.000000,1.000000
s3,64x1MiB bg80%,CBAP-SBA,7.640882,5.683238,7.575667,3.462626,74.379345,190.000000,0.000000,190.000000,0.000000,2143331000.000000,3.000000,,,0.000000,1.000000
s6,dual 30+30x256KiB bg80%x2,DCQCN,15.281763,15.281672,15.281758,7.636364,99.999402,0.000000,,0.000000,,5134718000.000000,2.500000,,,0.000000,2.000000
s6,dual 30+30x256KiB bg80%x2,DCTCP,15.281763,15.281672,15.281758,7.636364,99.999402,0.000000,,0.000000,,5134718000.000000,2.500000,,,0.000000,2.000000
s6,dual 30+30x256KiB bg80%x2,TIMELY,15.165887,15.165766,15.165893,7.579798,99.999203,0.000000,,0.000000,,5156446000.000000,2.500000,,,0.000000,2.000000
s6,dual 30+30x256KiB bg80%x2,HPCC,14.692396,13.732513,14.692165,0.242424,93.463254,108.000000,,108.000000,,5258138000.000000,2.500000,,,0.000000,2.000000
s6,dual 30+30x256KiB bg80%x2,CBAP-SBA,15.281763,14.528340,15.122631,3.854545,95.069788,112.000000,,112.000000,,5154934000.000000,2.500000,,,0.000000,2.000000
s4,64x1MiB bg95%,DCQCN,9.070283,9.070293,5.354562,9.066667,100.000112,0.000000,1.000000,0.000000,1.000000,0.000000,5.500000,3528.004888,1.047376,1.000000,1.000000
s4,64x1MiB bg95%,DCTCP,9.070283,9.070293,5.354562,9.066667,100.000112,0.000000,1.000000,0.000000,1.000000,0.000000,5.500000,3528.004888,1.047376,1.000000,1.000000
s4,64x1MiB bg95%,TIMELY,8.998872,8.998874,5.431138,8.993939,100.000028,0.000000,1.000000,0.000000,1.000000,0.000000,5.500000,3556.004893,1.055689,1.000000,1.000000
s4,64x1MiB bg95%,HPCC,8.724093,5.495995,6.764390,0.092929,62.997896,162.000000,0.000000,162.000000,0.000000,0.000000,5.500000,3727.326584,1.106550,1.000000,1.000000
s4,64x1MiB bg95%,CBAP-SBA,9.070283,6.442239,6.631298,3.462626,71.025784,190.000000,0.000000,190.000000,0.000000,0.000000,5.500000,3605.210545,1.070297,1.000000,1.000000
s5,64x4MiB bg80%,DCQCN,7.640882,7.640877,5.481439,7.636364,99.999939,0.000000,1.000000,0.000000,1.000000,0.000000,6.000000,4188.004723,1.047001,1.000000,1.000000
s5,64x4MiB bg80%,DCTCP,7.640882,7.640877,5.481439,7.636364,99.999939,0.000000,1.000000,0.000000,1.000000,0.000000,6.000000,4188.004723,1.047001,1.000000,1.000000
s5,64x4MiB bg80%,TIMELY,7.582943,7.582933,5.520082,7.579798,99.999870,0.000000,1.000000,0.000000,1.000000,0.000000,6.000000,4220.004727,1.055001,1.000000,1.000000
s5,64x4MiB bg80%,HPCC,7.346198,2.247733,6.549677,0.092929,30.597231,342.000000,0.000000,342.000000,0.000000,0.000000,6.000000,4592.366458,1.148092,1.000000,1.000000
s5,64x4MiB bg80%,CBAP-SBA,7.640882,4.361824,6.345916,0.109091,57.085345,452.000000,0.000000,452.000000,0.000000,0.000000,6.000000,4410.500910,1.102625,1.000000,1.000000
