"# Utilisation and safety. drops counts headroom exhaustion only (switch-node.cc:193/201 drop silently), so it is a lower bound; retransmission corroborates it."
scenario,scenario_shape,algorithm,util_mean,ecn_marks,pfc_events,pfc_pause_total_ns,drops,retx_bytes_total,retx_events_total,recovery_rtts
s1,16x256KiB bg80%,DCQCN,0.830666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1082.236842
s1,16x256KiB bg80%,DCTCP,0.830666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1082.236842
s1,16x256KiB bg80%,TIMELY,0.830847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,737.500000
s1,16x256KiB bg80%,HPCC,0.806482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.500000
s1,16x256KiB bg80%,CBAP-SBA,0.811864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
s2,64x256KiB bg80%,DCQCN,0.883294,2271.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4557.236842
s2,64x256KiB bg80%,DCTCP,0.883294,2271.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4557.236842
s2,64x256KiB bg80%,TIMELY,0.883740,2296.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4584.210526
s2,64x256KiB bg80%,HPCC,0.824583,274.000000,0.000000,0.000000,0.000000,0.000000,0.000000,198.026316
s2,64x256KiB bg80%,CBAP-SBA,0.836874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
s3,64x1MiB bg80%,DCQCN,0.948151,9542.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18457.894737
s3,64x1MiB bg80%,DCTCP,0.948151,9542.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18457.894737
s3,64x1MiB bg80%,TIMELY,0.948700,9655.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18557.236842
s3,64x1MiB bg80%,HPCC,0.870797,274.000000,0.000000,0.000000,0.000000,0.000000,0.000000,198.026316
s3,64x1MiB bg80%,CBAP-SBA,0.894381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.973684
s6,dual 30+30x256KiB bg80%x2,DCQCN,0.850333,451.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2095.394737
s6,dual 30+30x256KiB bg80%x2,DCTCP,0.850333,451.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2095.394737
s6,dual 30+30x256KiB bg80%x2,TIMELY,0.850639,454.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2121.710526
s6,dual 30+30x256KiB bg80%x2,HPCC,0.812280,24.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.657895
s6,dual 30+30x256KiB bg80%x2,CBAP-SBA,0.820602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
s4,64x1MiB bg95%,DCQCN,0.996410,9582.000000,0.000000,0.000000,0.000000,0.000000,0.000000,73676.973684
s4,64x1MiB bg95%,DCTCP,0.996410,9582.000000,0.000000,0.000000,0.000000,0.000000,0.000000,73676.973684
s4,64x1MiB bg95%,TIMELY,0.996791,9694.000000,0.000000,0.000000,0.000000,0.000000,0.000000,73383.552632
s4,64x1MiB bg95%,HPCC,0.964118,274.000000,0.000000,0.000000,0.000000,0.000000,0.000000,197.368421
s4,64x1MiB bg95%,CBAP-SBA,0.973952,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.657895
s5,64x4MiB bg80%,DCQCN,0.984197,38410.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74061.842105
s5,64x4MiB bg80%,DCTCP,0.984197,38410.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74061.842105
s5,64x4MiB bg80%,TIMELY,0.984706,38862.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74451.973684
s5,64x4MiB bg80%,HPCC,0.932331,274.000000,0.000000,0.000000,0.000000,0.000000,0.000000,198.026316
s5,64x4MiB bg80%,CBAP-SBA,0.956173,25062.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14855.263158
