timestamp_ns,link_id,epoch,eta_base,eta_feasible,eta_effective,r_old_bps,new_flow_count,min_rate_bps,residual_capacity_bps,old_target_sum_bps,new_target_sum_bps,final_sum_target_bps,link_capacity_bps,floor_binding,feasible
2000010000,0,400002,0.500000,0.294978,0.900000,8000000000,64,100000000,4040172134,799999999,11240172096,12040172095,12040172134,0,1
2000095000,0,400019,0.500000,-5.905634,0.900000,816749395,64,100000000,11223422739,81674939,11958497152,12040172091,12040172134,0,1
2000180000,0,400036,0.500000,-54.476716,0.900000,101667376,64,100000000,11938504758,10166737,12030005376,12040172113,12040172134,0,1
2049440000,0,409888,0.500000,0.013462,0.900000,101364574,63,100000000,6298635426,10136457,6389863515,6399999972,6400000000,0,1
2049525000,0,409905,0.500000,0.009462,0.900000,100955201,63,100000000,6299044799,10095520,6389904465,6399999985,6400000000,0,1
2049700000,0,409940,0.500000,0.006642,0.900000,100668640,62,100000000,6199331360,10066863,6289933108,6299999971,6300000000,0,1
2049765000,0,409953,0.500000,0.004659,0.900000,100468048,61,100000000,6099531952,10046804,6189953162,6199999966,6200000000,0,1
2050125000,0,410025,0.500000,0.003266,0.900000,100327633,60,100000000,5999672367,10032763,6089967180,6099999943,6100000000,0,1
2050705000,0,410141,0.500000,0.002288,0.900000,100229343,59,100000000,5899770657,10022934,5989977065,5999999999,6000000000,0,1
2050755000,0,410151,0.500000,0.001603,0.900000,100160540,58,100000000,5799839460,10016053,5889983926,5899999979,5900000000,0,1
2051140000,0,410228,0.500000,0.001123,0.900000,100112378,57,100000000,5699887622,10011237,5789988750,5799999987,5800000000,0,1
2051415000,0,410283,0.500000,0.000786,0.900000,100078664,56,100000000,5599921336,10007866,5689992112,5699999978,5700000000,0,1
2051470000,0,410294,0.500000,0.000550,0.900000,100055064,55,100000000,5499944936,10005506,5589994465,5599999971,5600000000,0,1
2052175000,0,410435,0.500000,0.000385,0.900000,100038544,54,100000000,5399961456,10003854,5489996130,5499999984,5500000000,0,1
2052240000,0,410448,0.500000,0.000270,0.900000,100026980,53,100000000,5299973020,10002697,5389997286,5399999983,5400000000,0,1
2052825000,0,410565,0.500000,0.000189,0.900000,100018886,52,100000000,5199981114,10001888,5289998064,5299999952,5300000000,0,1
2053305000,0,410661,0.500000,0.000132,0.900000,100013220,51,100000000,5099986780,10001321,5189998629,5199999950,5200000000,0,1
2053755000,0,410751,0.500000,0.000093,0.900000,100009254,50,100000000,4999990746,10000925,5089999050,5099999975,5100000000,0,1
2053990000,0,410798,0.500000,0.000065,0.900000,100006477,49,100000000,4899993523,10000647,4989999329,4999999976,5000000000,0,1
2054300000,0,410860,0.500000,0.000045,0.900000,100004533,48,100000000,4799995467,10000453,4889999520,4899999973,4900000000,0,1
2054465000,0,410893,0.500000,0.000032,0.900000,100003173,47,100000000,4699996827,10000317,4789999642,4799999959,4800000000,0,1
2054540000,0,410908,0.500000,0.000022,0.900000,100002221,46,100000000,4599997779,10000222,4689999736,4699999958,4700000000,0,1
2055370000,0,411074,0.500000,0.000016,0.900000,100001554,45,100000000,4499998446,10000155,4589999820,4599999975,4600000000,0,1
2055985000,0,411197,0.500000,0.000011,0.900000,100001087,44,100000000,4399998913,10000108,4489999888,4499999996,4500000000,0,1
2056120000,0,411224,0.500000,0.000008,0.900000,100000760,43,100000000,4299999240,10000075,4389999903,4399999978,4400000000,0,1
2056225000,0,411245,0.500000,0.000005,0.900000,100000532,42,100000000,4199999468,10000053,4289999910,4299999963,4300000000,0,1
2056450000,0,411290,0.500000,0.000004,0.900000,100000372,41,100000000,4099999627,10000037,4189999961,4199999998,4199999999,0,1
2057195000,0,411439,0.500000,0.000003,0.900000,100000260,40,100000000,3999999739,10000025,4089999960,4099999985,4099999999,0,1
2057210000,0,411442,0.500000,0.000002,0.900000,100000182,39,100000000,3899999817,10000018,3989999949,3999999967,3999999999,0,1
2057245000,0,411449,0.500000,0.000001,0.900000,100000127,38,100000000,3799999873,10000012,3889999960,3899999972,3900000000,0,1
2057840000,0,411568,0.500000,0.000001,0.900000,100000088,37,100000000,3699999912,10000008,3789999984,3799999992,3800000000,0,1
2058015000,0,411603,0.500000,0.000001,0.900000,100000061,36,100000000,3599999939,10000006,3689999964,3699999970,3700000000,0,1
2058215000,0,411643,0.500000,0.000000,0.900000,100000042,35,100000000,3499999958,10000004,3589999980,3599999984,3600000000,0,1
2058240000,0,411648,0.500000,0.000000,0.900000,100000029,34,100000000,3399999971,10000002,3489999972,3499999974,3500000000,0,1
2058575000,0,411715,0.500000,0.000000,0.900000,100000020,33,100000000,3299999980,10000001,3389999976,3399999977,3400000000,0,1
2058615000,0,411723,0.500000,0.000000,0.900000,100000014,32,100000000,3199999986,10000001,3289999968,3299999969,3300000000,0,1
2058670000,0,411734,0.500000,0.000000,0.900000,100000009,31,100000000,3099999991,10000000,3189999975,3199999975,3200000000,0,1
2059060000,0,411812,0.500000,0.000000,0.900000,100000006,30,100000000,2999999994,10000000,3090000000,3100000000,3100000000,0,1
2059095000,0,411819,0.500000,0.000000,0.900000,100000004,29,100000000,2899999996,10000000,2989999992,2999999992,3000000000,0,1
2059495000,0,411899,0.500000,0.000000,0.900000,100000002,28,100000000,2799999998,10000000,2889999980,2899999980,2900000000,0,1
2060175000,0,412035,0.500000,0.000000,0.900000,100000001,27,100000000,2699999999,10000000,2789999991,2799999991,2800000000,0,1
2060290000,0,412058,0.500000,0.000000,0.900000,100000000,26,100000000,2600000000,9999999,2689999988,2699999987,2700000000,0,1
2060510000,0,412102,0.500000,0.000000,0.900000,100000000,25,100000000,2500000000,9999999,2590000000,2599999999,2600000000,0,1
2060750000,0,412150,0.500000,0.000000,0.900000,100000000,24,100000000,2400000000,9999999,2490000000,2499999999,2500000000,0,1
2061500000,0,412300,0.500000,0.000000,0.900000,100000000,23,100000000,2300000000,9999999,2389999989,2399999988,2400000000,0,1
2062215000,0,412443,0.500000,0.000000,0.900000,100000000,22,100000000,2200000000,9999999,2289999998,2299999997,2300000000,0,1
2062300000,0,412460,0.500000,0.000000,0.900000,100000000,21,100000000,2100000000,9999999,2189999994,2199999993,2200000000,0,1
2062420000,0,412484,0.500000,0.000000,0.900000,100000000,20,100000000,1999999999,9999999,2090000000,2099999999,2099999999,0,1
2062670000,0,412534,0.500000,0.000000,0.900000,100000000,19,100000000,1899999999,9999999,1989999998,1999999997,1999999999,0,1
2062770000,0,412554,0.500000,0.000000,0.900000,100000000,18,100000000,1800000000,9999999,1890000000,1899999999,1900000000,0,1
2063255000,0,412651,0.500000,0.000000,0.900000,100000000,17,100000000,1700000000,9999999,1789999989,1799999988,1800000000,0,1
2063925000,0,412785,0.500000,0.000000,0.900000,100000000,16,100000000,1600000000,9999999,1690000000,1699999999,1700000000,0,1
2064595000,0,412919,0.500000,0.000000,0.900000,100000000,15,100000000,1500000000,9999999,1590000000,1599999999,1600000000,0,1
2065280000,0,413056,0.500000,0.000000,0.900000,100000000,14,100000000,1400000000,9999999,1489999994,1499999993,1500000000,0,1
2065940000,0,413188,0.500000,0.000000,0.900000,100000000,13,100000000,1300000000,9999999,1390000001,1400000000,1400000000,0,1
2066690000,0,413338,0.500000,0.000000,0.900000,100000000,12,100000000,1200000000,9999999,1290000000,1299999999,1300000000,0,1
2066695000,0,413339,0.500000,0.000000,0.900000,100000000,11,100000000,1100000000,9999999,1189999998,1199999997,1200000000,0,1
2066750000,0,413350,0.500000,0.000000,0.900000,100000000,10,100000000,1000000000,9999999,1090000000,1099999999,1100000000,0,1
2067295000,0,413459,0.500000,0.000000,0.900000,100000000,9,100000000,899999999,9999999,990000000,999999999,999999999,0,1
2067445000,0,413489,0.500000,0.000000,0.900000,100000000,8,100000000,800000000,9999999,890000000,899999999,900000000,0,1
2068050000,0,413610,0.500000,0.000000,0.900000,100000000,7,100000000,700000000,9999999,790000001,800000000,800000000,0,1
2068065000,0,413613,0.500000,0.000000,0.900000,100000000,6,100000000,600000000,9999999,690000000,699999999,700000000,0,1
2068735000,0,413747,0.500000,0.000000,0.900000,100000000,5,100000000,500000000,9999999,590000000,599999999,600000000,0,1
2071185000,0,414237,0.500000,0.000000,0.900000,100000000,4,100000000,399999999,9999999,490000000,499999999,499999999,0,1
2071895000,0,414379,0.500000,0.000000,0.900000,100000000,3,100000000,300000000,9999999,390000000,399999999,400000000,0,1
2072830000,0,414566,0.500000,0.000000,0.900000,100000000,2,100000000,200000000,9999999,290000000,299999999,300000000,0,1
2072955000,0,414591,0.500000,0.000000,0.900000,100000000,1,100000000,100000000,9999999,190000001,200000000,200000000,0,1
