scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
s3_fan64_1m_bg80,cbap_sba,2,1,0b000001-0b004001-10000-3,0,64,1048576,2.000000000,2.056807271,0.056807271,1048576,1,147667857.518,0,0
s3_fan64_1m_bg80,cbap_sba,2,2,0b000101-0b004001-10000-3,1,64,1048576,2.000000000,2.056808608,0.056808608,1048576,1,147664382.130,0,0
s3_fan64_1m_bg80,cbap_sba,2,3,0b000201-0b004001-10000-3,2,64,1048576,2.000000000,2.056809107,0.056809107,1048576,1,147663085.075,0,0
s3_fan64_1m_bg80,cbap_sba,2,4,0b000301-0b004001-10000-3,3,64,1048576,2.000000000,2.056810444,0.056810444,1048576,1,147659609.913,0,0
s3_fan64_1m_bg80,cbap_sba,2,5,0b000401-0b004001-10000-3,4,64,1048576,2.000000000,2.056810943,0.056810943,1048576,1,147658312.942,0,0
s3_fan64_1m_bg80,cbap_sba,2,6,0b000501-0b004001-10000-3,5,64,1048576,2.000000000,2.056811442,0.056811442,1048576,1,147657015.993,0,0
s3_fan64_1m_bg80,cbap_sba,2,7,0b000601-0b004001-10000-3,6,64,1048576,2.000000000,2.056811941,0.056811941,1048576,1,147655719.068,0,0
s3_fan64_1m_bg80,cbap_sba,2,8,0b000701-0b004001-10000-3,7,64,1048576,2.000000000,2.056812440,0.056812440,1048576,1,147654422.165,0,0
s3_fan64_1m_bg80,cbap_sba,2,9,0b000801-0b004001-10000-3,8,64,1048576,2.000000000,2.056813777,0.056813777,1048576,1,147650947.410,0,0
s3_fan64_1m_bg80,cbap_sba,2,10,0b000901-0b004001-10000-3,9,64,1048576,2.000000000,2.056814276,0.056814276,1048576,1,147649650.591,0,0
s3_fan64_1m_bg80,cbap_sba,2,11,0b000a01-0b004001-10000-3,10,64,1048576,2.000000000,2.056814775,0.056814775,1048576,1,147648353.795,0,0
s3_fan64_1m_bg80,cbap_sba,2,12,0b000b01-0b004001-10000-3,11,64,1048576,2.000000000,2.056815274,0.056815274,1048576,1,147647057.022,0,0
s3_fan64_1m_bg80,cbap_sba,2,13,0b000c01-0b004001-10000-3,12,64,1048576,2.000000000,2.056815773,0.056815773,1048576,1,147645760.272,0,0
s3_fan64_1m_bg80,cbap_sba,2,14,0b000d01-0b004001-10000-3,13,64,1048576,2.000000000,2.056816272,0.056816272,1048576,1,147644463.544,0,0
s3_fan64_1m_bg80,cbap_sba,2,15,0b000e01-0b004001-10000-3,14,64,1048576,2.000000000,2.056816771,0.056816771,1048576,1,147643166.839,0,0
s3_fan64_1m_bg80,cbap_sba,2,16,0b000f01-0b004001-10000-3,15,64,1048576,2.000000000,2.056817270,0.056817270,1048576,1,147641870.157,0,0
s3_fan64_1m_bg80,cbap_sba,2,17,0b001001-0b004001-10000-3,16,64,1048576,2.000000000,2.056817769,0.056817769,1048576,1,147640573.497,0,0
