tag,rate_g,scenario,arm,buffer_mb,fanin,n_complete,mean_cct_ms,p99_cct_ms,ideal_ms,p99_over_ideal,qpeak_mb,qdelay_us,pfc,retx,bg_tail_gbps,bg_total_gb,gates
fm10g_s0_cbap,10,s0,cbap,64,64,64,14.264940999999999,14.275143,14.0985,1.0125291448831557,0.1831,153.6,0,0,7.425600000000302,0.026399912,PASS
fm10g_s0_hpcc,10,s0,hpcc,64,64,64,14.892892218750003,15.19252,14.0985,1.0775982618331907,1.2432,1042.83,0,0,7.235200000000295,0.024741528,PASS
fm10g_s0_dcqn,10,s0,dcqn,64,64,64,14.165778140624997,15.153297,14.0985,1.074816192984581,1.2226,1025.6,0,0,5.3312000000002175,0.015775592,PASS
fm10g_s0_dcql,10,s0,dcql,64,64,64,14.812454046875002,15.755133,14.0985,1.117504135966301,1.1559,969.6,0,0,5.14080000000021,0.015047312,PASS
fm10g_s0_dctcp,10,s0,dctcp,64,64,64,14.1196595,14.393774,14.0985,1.0209435856342315,1.2226,1025.6,0,0,7.61600000000031,0.02661792,PASS
fm10g_s0_timely,10,s0,timely,64,64,64,14.325930078125008,14.548253,14.0985,1.031900708079338,1.2247,1027.35,0,0,7.61600000000031,0.025943904,PASS
fm10g_s1_cbap,10,s1,cbap,64,64,64,55.29352646875,57.007975,56.394,1.0108871795237064,1.0281,862.4,0,0,7.615999999997668,0.038496976,CBAP over Q_abs (862us > 826us)
fm10g_s1_hpcc,10,s1,hpcc,64,64,64,59.979805031249995,60.574888,56.394,1.074137042760849,1.2432,1042.83,0,0,7.4255999999977265,0.034320552,PASS
fm10g_s1_dcqn,10,s1,dcqn,64,64,64,54.76659492187498,58.463576,56.394,1.0366984522342682,1.2226,1025.6,0,0,7.615999999997668,0.029198792,PASS
fm10g_s1_dcql,10,s1,dcql,64,64,64,57.09251842187501,60.694062,56.394,1.0762502816319464,1.1559,969.6,0,0,7.615999999997668,0.02695112,PASS
fm10g_s1_dctcp,10,s1,dctcp,64,64,64,56.71203949999998,57.412206,56.394,1.018055157959461,1.2226,1025.6,0,0,7.615999999997668,0.03888444,PASS
fm10g_s1_timely,10,s1,timely,64,64,64,57.549266078125015,58.035937,56.394,1.0291153942048548,1.2247,1027.35,0,0,7.4255999999977265,0.037897216,PASS
fm10g_s2_cbap,10,s2,cbap,64,64,64,223.25762325000002,229.108435,225.57601,1.0156595619395374,1.1311,948.8,0,0,7.616000000002953,0.086678648,CBAP over Q_abs (949us > 826us)
fm10g_s2_cbap0,10,s2,cbap0,64,64,64,222.83920809375007,228.216607,225.57601,1.0117060032859444,1.1244,943.2,0,0,7.616000000002953,0.086923312,CBAP over Q_abs (943us > 826us)
