scenario,metric,CBAP-SBA,HPCC,DCQCN-SN,DCQCN-LowQ,DCTCP-SN,TIMELY,best_algorithm,cbap_vs_best_baseline_pct
S0,mean FCT (ms),0.382185,0.333794,0.318089,0.316723,0.329053,0.329035,DCQCN-LowQ,-20.67
S0,p99 FCT (ms),0.382597,0.397636,0.378773,0.377413,0.393053,0.392853,DCQCN-LowQ,-1.37
S0,BCT (ms),0.383121,0.397645,0.378781,0.377421,0.393061,0.392861,DCQCN-LowQ,-1.51
S0,Throughput (Gbit/s),345.814135,6.580060,6.586151,6.586591,6.581539,6.581604,CBAP-SBA,5150.28
S0,CCT (ms),0.388121,20.397645,20.378781,20.377421,20.393061,20.392861,CBAP-SBA,98.10
S1,mean FCT (ms),1.355254,1.354893,1.374176,1.373681,1.321410,1.304165,TIMELY,-3.92
S1,p99 FCT (ms),1.479441,1.520128,1.447016,1.445656,1.485116,1.461399,DCQCN-LowQ,-2.34
S1,BCT (ms),1.481495,1.520138,1.447025,1.445665,1.485125,1.461409,DCQCN-LowQ,-2.48
S1,Throughput (Gbit/s),361.165636,24.947373,25.032419,25.034006,24.988028,25.015641,CBAP-SBA,1342.70
S1,CCT (ms),1.486495,21.520138,21.447025,21.445665,21.485125,21.461409,CBAP-SBA,93.07
S2,mean FCT (ms),5.449408,6.035703,5.997624,5.949078,5.439887,5.241597,TIMELY,-3.96
S2,p99 FCT (ms),5.867335,6.244366,6.500503,6.189039,5.966637,5.734157,TIMELY,-2.32
S2,BCT (ms),5.871464,6.252999,6.562679,6.189576,5.969993,5.734173,TIMELY,-2.39
S2,Throughput (Gbit/s),365.438068,81.799555,80.845898,81.997649,82.690960,83.448714,CBAP-SBA,337.92
S2,CCT (ms),5.876464,26.252999,26.562679,26.189576,25.969993,25.734173,CBAP-SBA,77.16
S3,mean FCT (ms),21.573678,24.788115,23.376469,23.944790,23.168991,21.834885,CBAP-SBA,1.20
S3,p99 FCT (ms),23.136826,25.035085,25.524493,25.918404,23.753388,23.940624,CBAP-SBA,2.60
S3,BCT (ms),23.148102,25.075778,25.645962,25.940477,23.770751,23.944074,CBAP-SBA,2.62
S3,Throughput (Gbit/s),371.005777,190.566530,188.186079,186.979656,196.248280,195.474243,CBAP-SBA,89.05
S3,CCT (ms),23.153102,45.075778,45.645962,45.940477,43.770751,43.944074,CBAP-SBA,47.10
S4,mean FCT (ms),5.502506,6.040154,6.034805,5.937212,5.439587,5.246049,TIMELY,-4.89
S4,p99 FCT (ms),5.902154,6.262625,6.514847,6.191987,5.968114,5.734214,TIMELY,-2.93
S4,BCT (ms),5.913693,6.282941,6.567940,6.195978,5.972970,5.734230,TIMELY,-3.13
S4,Throughput (Gbit/s),362.830721,81.706368,80.829889,81.977609,82.681482,83.448529,CBAP-SBA,334.80
S4,CCT (ms),5.918693,26.282941,26.567940,26.195978,25.972970,25.734230,CBAP-SBA,77.00
S5,mean FCT (ms),5.578111,6.395706,7.080859,7.519468,6.379835,5.884262,CBAP-SBA,5.20
S5,p99 FCT (ms),6.082937,6.757576,8.239597,8.225864,6.658953,6.854179,CBAP-SBA,8.65
S5,BCT (ms),6.083327,6.757576,8.239597,8.225864,6.658953,6.854179,CBAP-SBA,8.64
S5,Throughput (Gbit/s),352.721470,80.257033,76.045124,76.082123,80.553938,79.968323,CBAP-SBA,337.87
S5,CCT (ms),6.088327,26.757576,28.239597,28.225864,26.658953,26.854179,CBAP-SBA,77.16
