scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
fm10g_s1_dcql,dcqcn,2,31,0b001e01-0b004001-10000-3,30,64,1048576,0.020000000,0.068476663,0.048476663,1048576,1,173044254.304,0,0
fm10g_s1_dcql,dcqcn,2,55,0b003601-0b004001-10000-3,54,64,1048576,0.020000000,0.070172894,0.050172894,1048576,1,167194023.131,0,0
fm10g_s1_dcql,dcqcn,2,50,0b003101-0b004001-10000-3,49,64,1048576,0.020000000,0.070394130,0.050394130,1048576,1,166460022.229,0,0
fm10g_s1_dcql,dcqcn,2,14,0b000d01-0b004001-10000-3,13,64,1048576,0.020000000,0.072571002,0.052571002,1048576,1,159567207.793,0,0
fm10g_s1_dcql,dcqcn,2,54,0b003501-0b004001-10000-3,53,64,1048576,0.020000000,0.072938764,0.052938764,1048576,1,158458705.232,0,0
fm10g_s1_dcql,dcqcn,2,10,0b000901-0b004001-10000-3,9,64,1048576,0.020000000,0.073287617,0.053287617,1048576,1,157421338.620,0,0
fm10g_s1_dcql,dcqcn,2,13,0b000c01-0b004001-10000-3,12,64,1048576,0.020000000,0.073578415,0.053578415,1048576,1,156566930.918,0,0
fm10g_s1_dcql,dcqcn,2,43,0b002a01-0b004001-10000-3,42,64,1048576,0.020000000,0.073853874,0.053853874,1048576,1,155766101.432,0,0
fm10g_s1_dcql,dcqcn,2,8,0b000701-0b004001-10000-3,7,64,1048576,0.020000000,0.073909452,0.053909452,1048576,1,155605514.224,0,0
fm10g_s1_dcql,dcqcn,2,1,0b000001-0b004001-10000-3,0,64,1048576,0.020000000,0.074705329,0.054705329,1048576,1,153341697.296,0,0
fm10g_s1_dcql,dcqcn,2,64,0b003f01-0b004001-10000-3,63,64,1048576,0.020000000,0.074769707,0.054769707,1048576,1,153161454.744,0,0
fm10g_s1_dcql,dcqcn,2,44,0b002b01-0b004001-10000-3,43,64,1048576,0.020000000,0.075085310,0.055085310,1048576,1,152283939.221,0,0
fm10g_s1_dcql,dcqcn,2,37,0b002401-0b004001-10000-3,36,64,1048576,0.020000000,0.075116829,0.055116829,1048576,1,152196854.431,0,0
fm10g_s1_dcql,dcqcn,2,23,0b001601-0b004001-10000-3,22,64,1048576,0.020000000,0.075117207,0.055117207,1048576,1,152195810.648,0,0
fm10g_s1_dcql,dcqcn,2,60,0b003b01-0b004001-10000-3,59,64,1048576,0.020000000,0.075123682,0.055123682,1048576,1,152177933.252,0,0
fm10g_s1_dcql,dcqcn,2,19,0b001201-0b004001-10000-3,18,64,1048576,0.020000000,0.075448157,0.055448157,1048576,1,151287408.885,0,0
fm10g_s1_dcql,dcqcn,2,17,0b001001-0b004001-10000-3,16,64,1048576,0.020000000,0.075458966,0.055458966,1048576,1,151257922.840,0,0
fm10g_s1_dcql,dcqcn,2,3,0b000201-0b004001-10000-3,2,64,1048576,0.020000000,0.075533000,0.055533000,1048576,1,151056272.847,0,0
fm10g_s1_dcql,dcqcn,2,49,0b003001-0b004001-10000-3,48,64,1048576,0.020000000,0.075820316,0.055820316,1048576,1,150278762.306,0,0
fm10g_s1_dcql,dcqcn,2,24,0b001701-0b004001-10000-3,23,64,1048576,0.020000000,0.076188647,0.056188647,1048576,1,149293646.455,0,0
fm10g_s1_dcql,dcqcn,2,46,0b002d01-0b004001-10000-3,45,64,1048576,0.020000000,0.076263425,0.056263425,1048576,1,149095224.829,0,0
fm10g_s1_dcql,dcqcn,2,48,0b002f01-0b004001-10000-3,47,64,1048576,0.020000000,0.076298203,0.056298203,1048576,1,149003121.823,0,0
fm10g_s1_dcql,dcqcn,2,61,0b003c01-0b004001-10000-3,60,64,1048576,0.020000000,0.076388981,0.056388981,1048576,1,148763248.621,0,0
fm10g_s1_dcql,dcqcn,2,53,0b003401-0b004001-10000-3,52,64,1048576,0.020000000,0.076470464,0.056470464,1048576,1,148548593.474,0,0
fm10g_s1_dcql,dcqcn,2,57,0b003801-0b004001-10000-3,56,64,1048576,0.020000000,0.076588235,0.056588235,1048576,1,148239435.282,0,0
fm10g_s1_dcql,dcqcn,2,30,0b001d01-0b004001-10000-3,29,64,1048576,0.020000000,0.076666794,0.056666794,1048576,1,148033926.183,0,0
fm10g_s1_dcql,dcqcn,2,5,0b000401-0b004001-10000-3,4,64,1048576,0.020000000,0.076886640,0.056886640,1048576,1,147461829.350,0,0
fm10g_s1_dcql,dcqcn,2,42,0b002901-0b004001-10000-3,41,64,1048576,0.020000000,0.076908868,0.056908868,1048576,1,147404232.325,0,0
fm10g_s1_dcql,dcqcn,2,40,0b002701-0b004001-10000-3,39,64,1048576,0.020000000,0.077076422,0.057076422,1048576,1,146971511.284,0,0
fm10g_s1_dcql,dcqcn,2,7,0b000601-0b004001-10000-3,6,64,1048576,0.020000000,0.077186417,0.057186417,1048576,1,146688819.480,0,0
fm10g_s1_dcql,dcqcn,2,2,0b000101-0b004001-10000-3,1,64,1048576,0.020000000,0.077238288,0.057238288,1048576,1,146555885.808,0,0
fm10g_s1_dcql,dcqcn,2,52,0b003301-0b004001-10000-3,51,64,1048576,0.020000000,0.077304018,0.057304018,1048576,1,146387780.347,0,0
fm10g_s1_dcql,dcqcn,2,59,0b003a01-0b004001-10000-3,58,64,1048576,0.020000000,0.077387735,0.057387735,1048576,1,146174230.434,0,0
fm10g_s1_dcql,dcqcn,2,62,0b003d01-0b004001-10000-3,61,64,1048576,0.020000000,0.077456832,0.057456832,1048576,1,145998442.796,0,0
