scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
fm10g_s1_dctcp,dctcp,2,0,0b004101-0b004001-10000-3,0,0,1,0.010000000,0.000000000,0.000000000,0.000000000,152919891,10000000000,9454305151,10000000000,0,0.000000000,0,1282000,0,152919891,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,1,0b000001-0b004001-10000-3,0,1,64,0.020000000,0.076189394,0.076836066,0.056836066,1048576,10000000000,100000000,848248862,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,2,0b000101-0b004001-10000-3,0,1,64,0.020000000,0.075142200,0.076060594,0.056060594,1048576,10000000000,100000000,239379939,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,3,0b000201-0b004001-10000-3,0,1,64,0.020000000,0.076265684,0.076884022,0.056884022,1048576,10000000000,100000000,1570817291,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,4,0b000301-0b004001-10000-3,0,1,64,0.020000000,0.076711354,0.077131380,0.057131380,1048576,10000000000,100000000,711260292,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,5,0b000401-0b004001-10000-3,0,1,64,0.020000000,0.075969016,0.076696154,0.056696154,1048576,10000000000,100000000,802962254,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,6,0b000501-0b004001-10000-3,0,1,64,0.020000000,0.077164136,0.077348294,0.057348294,1048576,10000000000,100000000,3100000000,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,7,0b000601-0b004001-10000-3,0,1,64,0.020000000,0.074970792,0.075915416,0.055915416,1048576,10000000000,100000000,242312533,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,8,0b000701-0b004001-10000-3,0,1,64,0.020000000,0.074807592,0.075768682,0.055768682,1048576,10000000000,100000000,959924942,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,9,0b000801-0b004001-10000-3,0,1,64,0.020000000,0.076500752,0.077012690,0.057012690,1048576,10000000000,100000000,1938359271,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,10,0b000901-0b004001-10000-3,0,1,64,0.020000000,0.077329560,0.077413384,0.057413384,1048576,10000000000,100000000,5100000000,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,11,0b000a01-0b004001-10000-3,0,1,64,0.020000000,0.075492348,0.076366440,0.056366440,1048576,10000000000,100000000,1508010278,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,12,0b000b01-0b004001-10000-3,0,1,64,0.020000000,0.077264848,0.077385472,0.057385472,1048576,10000000000,100000000,3467508135,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,13,0b000c01-0b004001-10000-3,0,1,64,0.020000000,0.075368348,0.076259706,0.056259706,1048576,10000000000,100000000,293857775,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,14,0b000d01-0b004001-10000-3,0,1,64,0.020000000,0.075658704,0.076484752,0.056484752,1048576,10000000000,100000000,443034816,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,15,0b000e01-0b004001-10000-3,0,1,64,0.020000000,0.074668870,0.075643504,0.055643504,1048576,10000000000,100000000,188837640,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,16,0b000f01-0b004001-10000-3,0,1,64,0.020000000,0.075639926,0.076472374,0.056472374,1048576,10000000000,100000000,430760879,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,17,0b001001-0b004001-10000-3,0,1,64,0.020000000,0.076184443,0.076832488,0.056832488,1048576,10000000000,100000000,1100000000,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,18,0b001101-0b004001-10000-3,0,1,64,0.020000000,0.074958792,0.075907038,0.055907038,1048576,10000000000,100000000,435327004,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,19,0b001201-0b004001-10000-3,0,1,64,0.020000000,0.077129402,0.077335538,0.057335538,1048576,10000000000,100000000,2374447676,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,20,0b001301-0b004001-10000-3,0,1,64,0.020000000,0.076764910,0.077158536,0.057158536,1048576,10000000000,100000000,2723556376,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,21,0b001401-0b004001-10000-3,0,1,64,0.020000000,0.077324396,0.077412206,0.057412206,1048576,10000000000,100000000,2226307174,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,22,0b001501-0b004001-10000-3,0,1,64,0.020000000,0.076329262,0.076920778,0.056920778,1048576,10000000000,100000000,827590421,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,23,0b001601-0b004001-10000-3,0,1,64,0.020000000,0.075555126,0.076409218,0.056409218,1048576,10000000000,100000000,230772780,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,24,0b001701-0b004001-10000-3,0,1,64,0.020000000,0.077305604,0.077404628,0.057404628,1048576,10000000000,100000000,3259765193,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,25,0b001801-0b004001-10000-3,0,1,64,0.020000000,0.076210194,0.076850044,0.056850044,1048576,10000000000,100000000,800314895,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,26,0b001901-0b004001-10000-3,0,1,64,0.020000000,0.077088224,0.077321982,0.057321982,1048576,10000000000,100000000,2230360397,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,27,0b001a01-0b004001-10000-3,0,1,64,0.020000000,0.076812110,0.077183670,0.057183670,1048576,10000000000,100000000,1744392384,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,28,0b001b01-0b004001-10000-3,0,1,64,0.020000000,0.076457596,0.076988734,0.056988734,1048576,10000000000,100000000,788703152,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,29,0b001c01-0b004001-10000-3,0,1,64,0.020000000,0.077147758,0.077343116,0.057343116,1048576,10000000000,100000000,2643006487,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,30,0b001d01-0b004001-10000-3,0,1,64,0.020000000,0.076286484,0.076896400,0.056896400,1048576,10000000000,100000000,1558032906,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,31,0b001e01-0b004001-10000-3,0,1,64,0.020000000,0.074529192,0.075515126,0.055515126,1048576,10000000000,100000000,222272553,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,32,0b001f01-0b004001-10000-3,0,1,64,0.020000000,0.074938952,0.075890660,0.055890660,1048576,10000000000,100000000,100000000,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,33,0b002001-0b004001-10000-3,0,1,64,0.020000000,0.075940598,0.076678176,0.056678176,1048576,10000000000,100000000,1715024040,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,34,0b002101-0b004001-10000-3,0,1,64,0.020000000,0.075575772,0.076422396,0.056422396,1048576,10000000000,100000000,129883741,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,35,0b002201-0b004001-10000-3,0,1,64,0.020000000,0.075372348,0.076262484,0.056262484,1048576,10000000000,100000000,323122558,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,36,0b002301-0b004001-10000-3,0,1,64,0.020000000,0.075789643,0.076577086,0.056577086,1048576,10000000000,100000000,219610520,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,37,0b002401-0b004001-10000-3,0,1,64,0.020000000,0.074022792,0.075023970,0.055023970,1048576,10000000000,100000000,725750260,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,38,0b002501-0b004001-10000-3,0,1,64,0.020000000,0.076008216,0.076724110,0.056724110,1048576,10000000000,100000000,1270858185,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,39,0b002601-0b004001-10000-3,0,1,64,0.020000000,0.076806510,0.077181692,0.057181692,1048576,10000000000,100000000,2100000000,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,40,0b002701-0b004001-10000-3,0,1,64,0.020000000,0.075336488,0.076233772,0.056233772,1048576,10000000000,100000000,643448472,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,41,0b002801-0b004001-10000-3,0,1,64,0.020000000,0.076986756,0.077274826,0.057274826,1048576,10000000000,100000000,2782841299,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,42,0b002901-0b004001-10000-3,0,1,64,0.020000000,0.076619071,0.077080224,0.057080224,1048576,10000000000,100000000,2100000000,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,43,0b002a01-0b004001-10000-3,0,1,64,0.020000000,0.076776910,0.077165314,0.057165314,1048576,10000000000,100000000,2705900023,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,44,0b002b01-0b004001-10000-3,0,1,64,0.020000000,0.075801304,0.076585464,0.056585464,1048576,10000000000,100000000,1373826614,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,45,0b002c01-0b004001-10000-3,0,1,64,0.020000000,0.075442748,0.076323662,0.056323662,1048576,10000000000,100000000,230546308,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,46,0b002d01-0b004001-10000-3,0,1,64,0.020000000,0.076998712,0.077281604,0.057281604,1048576,10000000000,100000000,2240007605,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,47,0b002e01-0b004001-10000-3,0,1,64,0.020000000,0.075875882,0.076634598,0.056634598,1048576,10000000000,100000000,445760257,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,48,0b002f01-0b004001-10000-3,0,1,64,0.020000000,0.076959556,0.077257648,0.057257648,1048576,10000000000,100000000,1678299031,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,49,0b003001-0b004001-10000-3,0,1,64,0.020000000,0.075713904,0.076524330,0.056524330,1048576,10000000000,100000000,1232145055,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,50,0b003101-0b004001-10000-3,0,1,64,0.020000000,0.075874937,0.076633420,0.056633420,1048576,10000000000,100000000,647553147,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,51,0b003201-0b004001-10000-3,0,1,64,0.020000000,0.076613049,0.077075846,0.057075846,1048576,10000000000,100000000,1227511345,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,52,0b003301-0b004001-10000-3,0,1,64,0.020000000,0.076353262,0.076932356,0.056932356,1048576,10000000000,100000000,644586164,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,53,0b003401-0b004001-10000-3,0,1,64,0.020000000,0.076720532,0.077136558,0.057136558,1048576,10000000000,100000000,1056989995,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,54,0b003501-0b004001-10000-3,0,1,64,0.020000000,0.077091424,0.077323960,0.057323960,1048576,10000000000,100000000,2408854932,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,55,0b003601-0b004001-10000-3,0,1,64,0.020000000,0.075813482,0.076592242,0.056592242,1048576,10000000000,100000000,617326266,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,56,0b003701-0b004001-10000-3,0,1,64,0.020000000,0.076674598,0.077107002,0.057107002,1048576,10000000000,100000000,1417200290,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,57,0b003801-0b004001-10000-3,0,1,64,0.020000000,0.075732304,0.076538308,0.056538308,1048576,10000000000,100000000,1311446340,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,58,0b003901-0b004001-10000-3,0,1,64,0.020000000,0.076598489,0.077065868,0.057065868,1048576,10000000000,100000000,2721679495,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,59,0b003a01-0b004001-10000-3,0,1,64,0.020000000,0.075338748,0.076236550,0.056236550,1048576,10000000000,100000000,456311065,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,60,0b003b01-0b004001-10000-3,0,1,64,0.020000000,0.075993016,0.076714932,0.056714932,1048576,10000000000,100000000,1655121244,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,61,0b003c01-0b004001-10000-3,0,1,64,0.020000000,0.077267011,0.077386650,0.057386650,1048576,10000000000,100000000,3125925045,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,62,0b003d01-0b004001-10000-3,0,1,64,0.020000000,0.074308392,0.075302748,0.055302748,1048576,10000000000,100000000,421937409,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
fm10g_s1_dctcp,dctcp,2,63,0b003e01-0b004001-10000-3,0,1,64,0.020000000,0.076463996,0.076994712,0.056994712,1048576,10000000000,100000000,1058828244,0,0.000000000,0,1282000,0,1048576,0,1.000000000,1.000000000,0,0
