scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
fm10g_s2_cbap0,cbap_sba,2,33,32,64,4194304,14999999,20032826,228080795,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,9,8,64,4194304,14999999,20011956,230331029,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,46,45,64,4194304,14999999,20044130,232307663,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,55,54,64,4194304,14999999,20051956,233415497,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,15,14,64,4194304,14999999,20017173,233663331,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,5,4,64,4194304,14999999,20008478,235726365,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,7,6,64,4194304,14999999,20010217,235808599,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,26,25,64,4194304,14999999,20026739,237567633,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,63,62,64,4194304,14999999,20058912,237831467,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,20,19,64,4194304,14999999,20021521,238910501,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,22,21,64,4194304,14999999,20023260,239057535,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,44,43,64,4194304,14999999,20042391,239333369,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,64,63,64,4194304,14999999,20059782,239492403,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,36,35,64,4194304,14999999,20035434,239518637,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,4,3,64,4194304,14999999,20007608,239744871,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,41,40,64,4194304,14999999,20039782,240071905,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,14,13,64,4194304,14999999,20016304,240105339,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,61,60,64,4194304,14999999,20057173,240482773,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,42,41,64,4194304,14999999,20040652,240487407,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,34,33,64,4194304,14999999,20033695,240859241,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,49,48,64,4194304,14999999,20046739,240921475,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,60,59,64,4194304,14999999,20056304,241226909,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,47,46,64,4194304,14999999,20044999,241979543,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,23,22,64,4194304,14999999,20024130,242188177,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,50,49,64,4194304,14999999,20047608,242477611,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,28,27,64,4194304,14999999,20028478,242907845,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,16,15,64,4194304,14999999,20018043,242963679,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,56,55,64,4194304,14999999,20052825,243251513,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,11,10,64,4194304,14999999,20013695,243422547,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,1,0,64,4194304,14999999,20005000,243442381,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,54,53,64,4194304,14999999,20051086,244233415,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,2,1,64,4194304,14999999,20005869,244283649,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,12,11,64,4194304,14999999,20014565,244388283,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,51,50,64,4194304,14999999,20048478,244633717,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,30,29,64,4194304,14999999,20030217,244671951,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,32,31,64,4194304,14999999,20031956,244934985,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,13,12,64,4194304,14999999,20015434,244962819,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,8,7,64,4194304,14999999,20011086,245084253,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,53,52,64,4194304,14999999,20050217,245162487,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,17,16,64,4194304,14999999,20018913,245291921,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,29,28,64,4194304,14999999,20029347,245354955,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,48,47,64,4194304,14999999,20045869,245356389,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,31,30,64,4194304,14999999,20031086,245626623,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,21,20,64,4194304,14999999,20022391,245636057,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,52,51,64,4194304,14999999,20049347,245787091,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,35,34,64,4194304,14999999,20034565,245930925,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,43,42,64,4194304,14999999,20041521,246229159,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,58,57,64,4194304,14999999,20054565,246571393,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,40,39,64,4194304,14999999,20038912,246748027,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,57,56,64,4194304,14999999,20053695,246793461,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,27,26,64,4194304,14999999,20027608,247048495,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,19,18,64,4194304,14999999,20020652,247054729,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,59,58,64,4194304,14999999,20055434,247123363,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,39,38,64,4194304,14999999,20038043,247169597,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,6,5,64,4194304,14999999,20009347,247203831,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,18,17,64,4194304,14999999,20019782,247261265,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,45,44,64,4194304,14999999,20043260,247689899,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,37,36,64,4194304,14999999,20036304,247708133,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,38,37,64,4194304,14999999,20037173,247834367,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,10,9,64,4194304,14999999,20012826,247835001,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,62,61,64,4194304,14999999,20058043,248004465,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,25,24,64,4194304,14999999,20025869,248064784,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,3,2,64,4194304,14999999,20006739,248216607,20000000,20005000,4194304
fm10g_s2_cbap0,cbap_sba,2,24,23,64,4194304,14999999,20024999,248235182,20000000,20005000,4194304
