scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
fm10g_s2_dcqs,dcqcn,2,41,0b002801-0b004001-10000-3,40,64,4194304,0.020000000,0.225359426,0.205359426,4194304,1,163393678.360,0,0
fm10g_s2_dcqs,dcqcn,2,58,0b003901-0b004001-10000-3,57,64,4194304,0.020000000,0.227336060,0.207336060,4194304,1,161835968.138,0,0
fm10g_s2_dcqs,dcqcn,2,42,0b002901-0b004001-10000-3,41,64,4194304,0.020000000,0.228541494,0.208541494,4194304,1,160900506.448,0,0
fm10g_s2_dcqs,dcqcn,2,31,0b001e01-0b004001-10000-3,30,64,4194304,0.020000000,0.230318928,0.210318928,4194304,1,159540714.281,0,0
fm10g_s2_dcqs,dcqcn,2,7,0b000601-0b004001-10000-3,6,64,4194304,0.020000000,0.230894762,0.210894762,4194304,1,159105099.064,0,0
fm10g_s2_dcqs,dcqcn,2,21,0b001401-0b004001-10000-3,20,64,4194304,0.020000000,0.231073796,0.211073796,4194304,1,158970145.209,0,0
fm10g_s2_dcqs,dcqcn,2,24,0b001701-0b004001-10000-3,23,64,4194304,0.020000000,0.232868030,0.212868030,4194304,1,157630208.726,0,0
fm10g_s2_dcqs,dcqcn,2,43,0b002a01-0b004001-10000-3,42,64,4194304,0.020000000,0.234427064,0.214427064,4194304,1,156484127.395,0,0
fm10g_s2_dcqs,dcqcn,2,19,0b001201-0b004001-10000-3,18,64,4194304,0.020000000,0.234544498,0.214544498,4194304,1,156398473.570,0,0
fm10g_s2_dcqs,dcqcn,2,50,0b003101-0b004001-10000-3,49,64,4194304,0.020000000,0.234834732,0.214834732,4194304,1,156187184.854,0,0
fm10g_s2_dcqs,dcqcn,2,27,0b001a01-0b004001-10000-3,26,64,4194304,0.020000000,0.235665766,0.215665766,4194304,1,155585342.182,0,0
fm10g_s2_dcqs,dcqcn,2,1,0b000001-0b004001-10000-3,0,64,4194304,0.020000000,0.236876000,0.216876000,4194304,1,154717128.682,0,0
fm10g_s2_dcqs,dcqcn,2,51,0b003201-0b004001-10000-3,50,64,4194304,0.020000000,0.237427834,0.217427834,4194304,1,154324455.074,0,0
fm10g_s2_dcqs,dcqcn,2,17,0b001001-0b004001-10000-3,16,64,4194304,0.020000000,0.237950868,0.217950868,4194304,1,153954110.428,0,0
fm10g_s2_dcqs,dcqcn,2,10,0b000901-0b004001-10000-3,9,64,4194304,0.020000000,0.238522702,0.218522702,4194304,1,153551240.640,0,0
fm10g_s2_dcqs,dcqcn,2,55,0b003601-0b004001-10000-3,54,64,4194304,0.020000000,0.238845736,0.218845736,4194304,1,153324586.594,0,0
fm10g_s2_dcqs,dcqcn,2,47,0b002e01-0b004001-10000-3,46,64,4194304,0.020000000,0.239055970,0.219055970,4194304,1,153177436.798,0,0
fm10g_s2_dcqs,dcqcn,2,30,0b001d01-0b004001-10000-3,29,64,4194304,0.020000000,0.240351804,0.220351804,4194304,1,152276638.498,0,0
fm10g_s2_dcqs,dcqcn,2,64,0b003f01-0b004001-10000-3,63,64,4194304,0.020000000,0.240893238,0.220893238,4194304,1,151903391.447,0,0
fm10g_s2_dcqs,dcqcn,2,4,0b000301-0b004001-10000-3,3,64,4194304,0.020000000,0.241017072,0.221017072,4194304,1,151818281.259,0,0
fm10g_s2_dcqs,dcqcn,2,34,0b002101-0b004001-10000-3,33,64,4194304,0.020000000,0.241380906,0.221380906,4194304,1,151568771.699,0,0
fm10g_s2_dcqs,dcqcn,2,14,0b000d01-0b004001-10000-3,13,64,4194304,0.020000000,0.241490340,0.221490340,4194304,1,151493884.564,0,0
fm10g_s2_dcqs,dcqcn,2,5,0b000401-0b004001-10000-3,4,64,4194304,0.020000000,0.241907774,0.221907774,4194304,1,151208907.174,0,0
fm10g_s2_dcqs,dcqcn,2,15,0b000e01-0b004001-10000-3,14,64,4194304,0.020000000,0.241993208,0.221993208,4194304,1,151150714.485,0,0
fm10g_s2_dcqs,dcqcn,2,12,0b000b01-0b004001-10000-3,11,64,4194304,0.020000000,0.242013842,0.222013842,4194304,1,151136666.515,0,0
fm10g_s2_dcqs,dcqcn,2,16,0b000f01-0b004001-10000-3,15,64,4194304,0.020000000,0.242771276,0.222771276,4194304,1,150622793.937,0,0
fm10g_s2_dcqs,dcqcn,2,49,0b003001-0b004001-10000-3,48,64,4194304,0.020000000,0.242979910,0.222979910,4194304,1,150481861.796,0,0
fm10g_s2_dcqs,dcqcn,2,8,0b000701-0b004001-10000-3,7,64,4194304,0.020000000,0.243050144,0.223050144,4194304,1,150434478.088,0,0
fm10g_s2_dcqs,dcqcn,2,36,0b002301-0b004001-10000-3,35,64,4194304,0.020000000,0.243176378,0.223176378,4194304,1,150349388.679,0,0
fm10g_s2_dcqs,dcqcn,2,28,0b001b01-0b004001-10000-3,27,64,4194304,0.020000000,0.243205812,0.223205812,4194304,1,150329562.207,0,0
fm10g_s2_dcqs,dcqcn,2,39,0b002601-0b004001-10000-3,38,64,4194304,0.020000000,0.243356046,0.223356046,4194304,1,150228447.364,0,0
fm10g_s2_dcqs,dcqcn,2,6,0b000501-0b004001-10000-3,5,64,4194304,0.020000000,0.243524680,0.223524680,4194304,1,150115110.331,0,0
fm10g_s2_dcqs,dcqcn,2,56,0b003701-0b004001-10000-3,55,64,4194304,0.020000000,0.244303714,0.224303714,4194304,1,149593742.349,0,0
fm10g_s2_dcqs,dcqcn,2,18,0b001101-0b004001-10000-3,17,64,4194304,0.020000000,0.244358748,0.224358748,4194304,1,149557047.805,0,0
fm10g_s2_dcqs,dcqcn,2,63,0b003e01-0b004001-10000-3,62,64,4194304,0.020000000,0.244375382,0.224375382,4194304,1,149545960.439,0,0
fm10g_s2_dcqs,dcqcn,2,54,0b003501-0b004001-10000-3,53,64,4194304,0.020000000,0.244527216,0.224527216,4194304,1,149444831.668,0,0
fm10g_s2_dcqs,dcqcn,2,44,0b002b01-0b004001-10000-3,43,64,4194304,0.020000000,0.244716650,0.224716650,4194304,1,149318851.095,0,0
fm10g_s2_dcqs,dcqcn,2,25,0b001801-0b004001-10000-3,24,64,4194304,0.020000000,0.244822084,0.224822084,4194304,1,149248825.574,0,0
fm10g_s2_dcqs,dcqcn,2,45,0b002c01-0b004001-10000-3,44,64,4194304,0.020000000,0.245019518,0.225019518,4194304,1,149117873.410,0,0
fm10g_s2_dcqs,dcqcn,2,40,0b002701-0b004001-10000-3,39,64,4194304,0.020000000,0.245697752,0.225697752,4194304,1,148669766.104,0,0
fm10g_s2_dcqs,dcqcn,2,20,0b001301-0b004001-10000-3,19,64,4194304,0.020000000,0.246022386,0.226022386,4194304,1,148456233.003,0,0
fm10g_s2_dcqs,dcqcn,2,13,0b000c01-0b004001-10000-3,12,64,4194304,0.020000000,0.246380620,0.226380620,4194304,1,148221309.757,0,0
fm10g_s2_dcqs,dcqcn,2,32,0b001f01-0b004001-10000-3,31,64,4194304,0.020000000,0.246756454,0.226756454,4194304,1,147975642.625,0,0
fm10g_s2_dcqs,dcqcn,2,38,0b002501-0b004001-10000-3,37,64,4194304,0.020000000,0.246857888,0.226857888,4194304,1,147909478.907,0,0
fm10g_s2_dcqs,dcqcn,2,22,0b001501-0b004001-10000-3,21,64,4194304,0.020000000,0.246974522,0.226974522,4194304,1,147833473.574,0,0
fm10g_s2_dcqs,dcqcn,2,3,0b000201-0b004001-10000-3,2,64,4194304,0.020000000,0.247001556,0.227001556,4194304,1,147815867.835,0,0
fm10g_s2_dcqs,dcqcn,2,35,0b002201-0b004001-10000-3,34,64,4194304,0.020000000,0.247085390,0.227085390,4194304,1,147761298.074,0,0
fm10g_s2_dcqs,dcqcn,2,61,0b003c01-0b004001-10000-3,60,64,4194304,0.020000000,0.247155624,0.227155624,4194304,1,147715611.919,0,0
fm10g_s2_dcqs,dcqcn,2,53,0b003401-0b004001-10000-3,52,64,4194304,0.020000000,0.247349858,0.227349858,4194304,1,147589412.614,0,0
fm10g_s2_dcqs,dcqcn,2,57,0b003801-0b004001-10000-3,56,64,4194304,0.020000000,0.247731292,0.227731292,4194304,1,147342210.661,0,0
fm10g_s2_dcqs,dcqcn,2,2,0b000101-0b004001-10000-3,1,64,4194304,0.020000000,0.247779126,0.227779126,4194304,1,147311268.549,0,0
fm10g_s2_dcqs,dcqcn,2,46,0b002d01-0b004001-10000-3,45,64,4194304,0.020000000,0.247805360,0.227805360,4194304,1,147294304.225,0,0
