scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
fm10g_s3_timely,timely,2,0,0b004101-0b004001-10000-3,0,0,1,0.010000000,0.000000000,0.000000000,0.000000000,1719968259,10000000000,100000000,10000000000,0,0.000000000,0,1284192,0,1719968259,0,1.000000000,1.000000000,0,0
fm10g_s3_timely,timely,2,1,0b000001-0b004001-10000-3,0,1,64,0.020000000,0.945375094,0.945393236,0.925393236,16777216,10000000000,100000000,1050000000,0,0.000000000,0,1284192,0,16777216,0,1.000000000,1.000000000,0,0
fm10g_s3_timely,timely,2,2,0b000101-0b004001-10000-3,0,1,64,0.020000000,0.945583205,0.945618956,0.925618956,16777216,10000000000,100000000,1450000000,0,0.000000000,0,1284192,0,16777216,0,1.000000000,1.000000000,0,0
fm10g_s3_timely,timely,2,3,0b000201-0b004001-10000-3,0,1,64,0.020000000,0.944016320,0.944032284,0.924032284,16777216,10000000000,100000000,200000000,0,0.000000000,0,1284192,0,16777216,0,1.000000000,1.000000000,0,0
fm10g_s3_timely,timely,2,4,0b000301-0b004001-10000-3,0,1,64,0.020000000,0.945647965,0.945676464,0.925676464,16777216,10000000000,100000000,1650000000,0,0.000000000,0,1284192,0,16777216,0,1.000000000,1.000000000,0,0
fm10g_s3_timely,timely,2,5,0b000401-0b004001-10000-3,0,1,64,0.020000000,0.945135332,0.945148088,0.925148088,16777216,10000000000,100000000,250000000,0,0.000000000,0,1284192,0,16777216,0,1.000000000,1.000000000,0,0
fm10g_s3_timely,timely,2,6,0b000501-0b004001-10000-3,0,1,64,0.020000000,0.945373403,0.945389871,0.925389871,16777216,10000000000,100000000,850000000,0,0.000000000,0,1284192,0,16777216,0,1.000000000,1.000000000,0,0
fm10g_s3_timely,timely,2,7,0b000601-0b004001-10000-3,0,1,64,0.020000000,0.944483157,0.944498825,0.924498825,16777216,10000000000,100000000,150000000,0,0.000000000,0,1284192,0,16777216,0,1.000000000,1.000000000,0,0
fm10g_s3_timely,timely,2,8,0b000701-0b004001-10000-3,0,1,64,0.020000000,0.945617248,0.945650531,0.925650531,16777216,10000000000,100000000,1550000000,0,0.000000000,0,1284192,0,16777216,0,1.000000000,1.000000000,0,0
fm10g_s3_timely,timely,2,9,0b000801-0b004001-10000-3,0,1,64,0.020000000,0.945477463,0.945513612,0.925513612,16777216,10000000000,100000000,950000000,0,0.000000000,0,1284192,0,16777216,0,1.000000000,1.000000000,0,0
fm10g_s3_timely,timely,2,10,0b000901-0b004001-10000-3,0,1,64,0.020000000,0.940697466,0.940798534,0.920798534,16777216,10000000000,100000000,100000000,0,0.000000000,0,1284192,0,16777216,0,1.000000000,1.000000000,0,0
fm10g_s3_timely,timely,2,11,0b000a01-0b004001-10000-3,0,1,64,0.020000000,0.944720615,0.944739118,0.924739118,16777216,10000000000,100000000,300000000,0,0.000000000,0,1284192,0,16777216,0,1.000000000,1.000000000,0,0
fm10g_s3_timely,timely,2,12,0b000b01-0b004001-10000-3,0,1,64,0.020000000,0.940502568,0.940548392,0.920548392,16777216,10000000000,100000000,300000000,0,0.000000000,0,1284192,0,16777216,0,1.000000000,1.000000000,0,0
fm10g_s3_timely,timely,2,13,0b000c01-0b004001-10000-3,0,1,64,0.020000000,0.943928011,0.943971059,0.923971059,16777216,10000000000,100000000,150000000,0,0.000000000,0,1284192,0,16777216,0,1.000000000,1.000000000,0,0
fm10g_s3_timely,timely,2,14,0b000d01-0b004001-10000-3,0,1,64,0.020000000,0.944911900,0.944987547,0.924987547,16777216,10000000000,100000000,100000000,0,0.000000000,0,1284192,0,16777216,0,1.000000000,1.000000000,0,0
fm10g_s3_timely,timely,2,15,0b000e01-0b004001-10000-3,0,1,64,0.020000000,0.944835835,0.944879785,0.924879785,16777216,10000000000,100000000,650000000,0,0.000000000,0,1284192,0,16777216,0,1.000000000,1.000000000,0,0
fm10g_s3_timely,timely,2,16,0b000f01-0b004001-10000-3,0,1,64,0.020000000,0.942719739,0.942846842,0.922846842,16777216,10000000000,100000000,100000000,0,0.000000000,0,1284192,0,16777216,0,1.000000000,1.000000000,0,0
fm10g_s3_timely,timely,2,17,0b001001-0b004001-10000-3,0,1,64,0.020000000,0.943903420,0.943968500,0.923968500,16777216,10000000000,100000000,150000000,0,0.000000000,0,1284192,0,16777216,0,1.000000000,1.000000000,0,0
fm10g_s3_timely,timely,2,18,0b001101-0b004001-10000-3,0,1,64,0.020000000,0.942640147,0.942716935,0.922716935,16777216,10000000000,100000000,100000000,0,0.000000000,0,1284192,0,16777216,0,1.000000000,1.000000000,0,0
fm10g_s3_timely,timely,2,19,0b001201-0b004001-10000-3,0,1,64,0.020000000,0.944839893,0.944884762,0.924884762,16777216,10000000000,100000000,1150000000,0,0.000000000,0,1284192,0,16777216,0,1.000000000,1.000000000,0,0
fm10g_s3_timely,timely,2,20,0b001301-0b004001-10000-3,0,1,64,0.020000000,0.945482844,0.945520201,0.925520201,16777216,10000000000,100000000,1450000000,0,0.000000000,0,1284192,0,16777216,0,1.000000000,1.000000000,0,0
