flow_id,qp_id,total_rounds,direct_hpcc_updates,gated_late_updates,gated_stale_updates,rate_total_variation,minimum_rate,maximum_rate,mean_round_start_rate
0,0b004101-0b004001-10000-3,1,89774,0,0,109706185264.000,100000000,10000000000,10000000000.000
1,0b000001-0b004001-10000-3,1,4406,0,0,104982432167.000,100000000,10000000000,10000000000.000
2,0b000101-0b004001-10000-3,1,4406,0,0,108389142354.000,100000000,10000000000,10000000000.000
3,0b000201-0b004001-10000-3,1,4406,0,0,104445604408.000,100000000,10000000000,10000000000.000
4,0b000301-0b004001-10000-3,1,4406,0,0,105711371175.000,100000000,10000000000,10000000000.000
5,0b000401-0b004001-10000-3,1,4406,0,0,106311200897.000,100000000,10000000000,10000000000.000
6,0b000501-0b004001-10000-3,1,4406,0,0,103472243080.000,100000000,10000000000,10000000000.000
7,0b000601-0b004001-10000-3,1,4406,0,0,104773346826.000,100000000,10000000000,10000000000.000
8,0b000701-0b004001-10000-3,1,4406,0,0,106477739990.000,100000000,10000000000,10000000000.000
9,0b000801-0b004001-10000-3,1,4406,0,0,104237144996.000,100000000,10000000000,10000000000.000
10,0b000901-0b004001-10000-3,1,4406,0,0,105719500325.000,100000000,10000000000,10000000000.000
11,0b000a01-0b004001-10000-3,1,4406,0,0,101077455796.000,100000000,10000000000,10000000000.000
12,0b000b01-0b004001-10000-3,1,4406,0,0,106100242586.000,100000000,10000000000,10000000000.000
13,0b000c01-0b004001-10000-3,1,4406,0,0,106614165999.000,100000000,10000000000,10000000000.000
14,0b000d01-0b004001-10000-3,1,4406,0,0,107337633530.000,100000000,10000000000,10000000000.000
15,0b000e01-0b004001-10000-3,1,4406,0,0,103449136215.000,100000000,10000000000,10000000000.000
16,0b000f01-0b004001-10000-3,1,4406,0,0,105278451161.000,100000000,10000000000,10000000000.000
17,0b001001-0b004001-10000-3,1,4406,0,0,105730599761.000,100000000,10000000000,10000000000.000
18,0b001101-0b004001-10000-3,1,4406,0,0,104022731793.000,100000000,10000000000,10000000000.000
19,0b001201-0b004001-10000-3,1,4406,0,0,102893838352.000,100000000,10000000000,10000000000.000
20,0b001301-0b004001-10000-3,1,4406,0,0,105289579445.000,100000000,10000000000,10000000000.000
21,0b001401-0b004001-10000-3,1,4406,0,0,106167032610.000,100000000,10000000000,10000000000.000
22,0b001501-0b004001-10000-3,1,4406,0,0,103676842112.000,100000000,10000000000,10000000000.000
23,0b001601-0b004001-10000-3,1,4406,0,0,102649621202.000,100000000,10000000000,10000000000.000
24,0b001701-0b004001-10000-3,1,4406,0,0,106029163594.000,100000000,10000000000,10000000000.000
25,0b001801-0b004001-10000-3,1,4406,0,0,105302150329.000,100000000,10000000000,10000000000.000
26,0b001901-0b004001-10000-3,1,4406,0,0,109371179809.000,100000000,10000000000,10000000000.000
27,0b001a01-0b004001-10000-3,1,4406,0,0,105034537460.000,100000000,10000000000,10000000000.000
28,0b001b01-0b004001-10000-3,1,4406,0,0,106919256191.000,100000000,10000000000,10000000000.000
29,0b001c01-0b004001-10000-3,1,4406,0,0,105055039208.000,100000000,10000000000,10000000000.000
30,0b001d01-0b004001-10000-3,1,4406,0,0,102579325141.000,100000000,10000000000,10000000000.000
31,0b001e01-0b004001-10000-3,1,4406,0,0,102557788825.000,100000000,10000000000,10000000000.000
32,0b001f01-0b004001-10000-3,1,4406,0,0,104253741822.000,100000000,10000000000,10000000000.000
33,0b002001-0b004001-10000-3,1,4406,0,0,105460497258.000,100000000,10000000000,10000000000.000
34,0b002101-0b004001-10000-3,1,4406,0,0,107000911758.000,100000000,10000000000,10000000000.000
35,0b002201-0b004001-10000-3,1,4406,0,0,102322836192.000,100000000,10000000000,10000000000.000
36,0b002301-0b004001-10000-3,1,4406,0,0,102046522388.000,100000000,10000000000,10000000000.000
37,0b002401-0b004001-10000-3,1,4406,0,0,100963582014.000,100000000,10000000000,10000000000.000
38,0b002501-0b004001-10000-3,1,4406,0,0,106550466835.000,100000000,10000000000,10000000000.000
39,0b002601-0b004001-10000-3,1,4406,0,0,105053127808.000,100000000,10000000000,10000000000.000
40,0b002701-0b004001-10000-3,1,4406,0,0,107259097119.000,100000000,10000000000,10000000000.000
41,0b002801-0b004001-10000-3,1,4406,0,0,105031207357.000,100000000,10000000000,10000000000.000
42,0b002901-0b004001-10000-3,1,4406,0,0,107761190653.000,100000000,10000000000,10000000000.000
43,0b002a01-0b004001-10000-3,1,4406,0,0,104957272392.000,100000000,10000000000,10000000000.000
44,0b002b01-0b004001-10000-3,1,4406,0,0,104173211934.000,100000000,10000000000,10000000000.000
45,0b002c01-0b004001-10000-3,1,4406,0,0,108009210409.000,100000000,10000000000,10000000000.000
46,0b002d01-0b004001-10000-3,1,4406,0,0,105052682967.000,100000000,10000000000,10000000000.000
47,0b002e01-0b004001-10000-3,1,4406,0,0,106003449252.000,100000000,10000000000,10000000000.000
48,0b002f01-0b004001-10000-3,1,4406,0,0,104570692115.000,100000000,10000000000,10000000000.000
49,0b003001-0b004001-10000-3,1,4406,0,0,104336109711.000,100000000,10000000000,10000000000.000
