scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
fm10g_s4_hpcc,hpcc,2,45,44,64,4194304,14999999,20000000,258240113,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,14,13,64,4194304,14999999,20000000,258323979,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,26,25,64,4194304,14999999,20000000,258766406,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,40,39,64,4194304,14999999,20000000,258812943,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,43,42,64,4194304,14999999,20000000,258816112,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,4,3,64,4194304,14999999,20000000,259648269,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,55,54,64,4194304,14999999,20000000,259729777,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,16,15,64,4194304,14999999,20000000,259944695,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,18,17,64,4194304,14999999,20000000,259982892,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,1,0,64,4194304,14999999,20000000,260087809,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,28,27,64,4194304,14999999,20000000,260108492,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,2,1,64,4194304,14999999,20000000,260249852,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,42,41,64,4194304,14999999,20000000,260411187,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,63,62,64,4194304,14999999,20000000,260464396,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,8,7,64,4194304,14999999,20000000,260474237,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,46,45,64,4194304,14999999,20000000,260489916,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,24,23,64,4194304,14999999,20000000,260524152,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,5,4,64,4194304,14999999,20000000,260528989,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,13,12,64,4194304,14999999,20000000,260598372,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,47,46,64,4194304,14999999,20000000,260614051,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,10,9,64,4194304,14999999,20000000,260637236,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,62,61,64,4194304,14999999,20000000,260644575,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,48,47,64,4194304,14999999,20000000,260830762,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,22,21,64,4194304,14999999,20000000,260878362,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,50,49,64,4194304,14999999,20000000,260879863,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,38,37,64,4194304,14999999,20000000,260892360,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,51,50,64,4194304,14999999,20000000,260920549,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,53,52,64,4194304,14999999,20000000,260921295,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,39,38,64,4194304,14999999,20000000,260953053,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,29,28,64,4194304,14999999,20000000,260972902,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,12,11,64,4194304,14999999,20000000,261006095,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,25,24,64,4194304,14999999,20000000,261089258,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,56,55,64,4194304,14999999,20000000,261089925,0,20000000,4194304
fm10g_s4_hpcc,hpcc,2,3,2,64,4194304,14999999,20000000,261114778,0,20000000,4194304
