scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
fm10g_s4_timely,timely,2,50,0b003101-0b004001-10000-3,49,64,4194304,0.020000000,0.248545119,0.228545119,4194304,1,146817539.341,0,0
fm10g_s4_timely,timely,2,37,0b002401-0b004001-10000-3,36,64,4194304,0.020000000,0.248924579,0.228924579,4194304,1,146574178.040,0,0
fm10g_s4_timely,timely,2,34,0b002101-0b004001-10000-3,33,64,4194304,0.020000000,0.249022745,0.229022745,4194304,1,146511351.962,0,0
fm10g_s4_timely,timely,2,20,0b001301-0b004001-10000-3,19,64,4194304,0.020000000,0.249229721,0.229229721,4194304,1,146379063.996,0,0
fm10g_s4_timely,timely,2,48,0b002f01-0b004001-10000-3,47,64,4194304,0.020000000,0.249306931,0.229306931,4194304,1,146329776.661,0,0
fm10g_s4_timely,timely,2,31,0b001e01-0b004001-10000-3,30,64,4194304,0.020000000,0.249319661,0.229319661,4194304,1,146321653.598,0,0
fm10g_s4_timely,timely,2,5,0b000401-0b004001-10000-3,4,64,4194304,0.020000000,0.249328361,0.229328361,4194304,1,146316102.612,0,0
fm10g_s4_timely,timely,2,18,0b001101-0b004001-10000-3,17,64,4194304,0.020000000,0.249584248,0.229584248,4194304,1,146153023.530,0,0
fm10g_s4_timely,timely,2,38,0b002501-0b004001-10000-3,37,64,4194304,0.020000000,0.249584888,0.229584888,4194304,1,146152616.108,0,0
fm10g_s4_timely,timely,2,36,0b002301-0b004001-10000-3,35,64,4194304,0.020000000,0.249630664,0.229630664,4194304,1,146123481.139,0,0
fm10g_s4_timely,timely,2,58,0b003901-0b004001-10000-3,57,64,4194304,0.020000000,0.249639364,0.229639364,4194304,1,146117945.179,0,0
fm10g_s4_timely,timely,2,35,0b002201-0b004001-10000-3,34,64,4194304,0.020000000,0.249724634,0.229724634,4194304,1,146063708.605,0,0
fm10g_s4_timely,timely,2,54,0b003501-0b004001-10000-3,53,64,4194304,0.020000000,0.249948750,0.229948750,4194304,1,145921349.866,0,0
fm10g_s4_timely,timely,2,59,0b003a01-0b004001-10000-3,58,64,4194304,0.020000000,0.249960753,0.229960753,4194304,1,145913733.375,0,0
fm10g_s4_timely,timely,2,13,0b000c01-0b004001-10000-3,12,64,4194304,0.020000000,0.249991534,0.229991534,4194304,1,145894204.958,0,0
fm10g_s4_timely,timely,2,64,0b003f01-0b004001-10000-3,63,64,4194304,0.020000000,0.250002451,0.230002451,4194304,1,145887280.132,0,0
fm10g_s4_timely,timely,2,25,0b001801-0b004001-10000-3,24,64,4194304,0.020000000,0.250022435,0.230022435,4194304,1,145874605.666,0,0
fm10g_s4_timely,timely,2,47,0b002e01-0b004001-10000-3,46,64,4194304,0.020000000,0.250111735,0.230111735,4194304,1,145817995.766,0,0
fm10g_s4_timely,timely,2,23,0b001601-0b004001-10000-3,22,64,4194304,0.020000000,0.250115599,0.230115599,4194304,1,145815547.255,0,0
fm10g_s4_timely,timely,2,45,0b002c01-0b004001-10000-3,44,64,4194304,0.020000000,0.250143643,0.230143643,4194304,1,145797778.998,0,0
fm10g_s4_timely,timely,2,19,0b001201-0b004001-10000-3,18,64,4194304,0.020000000,0.250191837,0.230191837,4194304,1,145767254.119,0,0
fm10g_s4_timely,timely,2,6,0b000501-0b004001-10000-3,5,64,4194304,0.020000000,0.250193283,0.230193283,4194304,1,145766338.456,0,0
fm10g_s4_timely,timely,2,39,0b002601-0b004001-10000-3,38,64,4194304,0.020000000,0.250229387,0.230229387,4194304,1,145743479.741,0,0
fm10g_s4_timely,timely,2,24,0b001701-0b004001-10000-3,23,64,4194304,0.020000000,0.250270327,0.230270327,4194304,1,145717567.857,0,0
