scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
fm200g_s1_timely,timely,2,4,3,64,1048576,14999999,20000000,22646197,0,20000000,1048576
fm200g_s1_timely,timely,2,10,9,64,1048576,14999999,20000000,22646416,0,20000000,1048576
fm200g_s1_timely,timely,2,13,12,64,1048576,14999999,20000000,22646515,0,20000000,1048576
fm200g_s1_timely,timely,2,23,22,64,1048576,14999999,20000000,22646654,0,20000000,1048576
fm200g_s1_timely,timely,2,32,31,64,1048576,14999999,20000000,22646873,0,20000000,1048576
fm200g_s1_timely,timely,2,34,33,64,1048576,14999999,20000000,22647092,0,20000000,1048576
fm200g_s1_timely,timely,2,31,30,64,1048576,14999999,20000000,22647151,0,20000000,1048576
fm200g_s1_timely,timely,2,37,36,64,1048576,14999999,20000000,22647290,0,20000000,1048576
fm200g_s1_timely,timely,2,43,42,64,1048576,14999999,20000000,22647829,0,20000000,1048576
fm200g_s1_timely,timely,2,52,51,64,1048576,14999999,20000000,22648008,0,20000000,1048576
fm200g_s1_timely,timely,2,57,56,64,1048576,14999999,20000000,22648067,0,20000000,1048576
fm200g_s1_timely,timely,2,59,58,64,1048576,14999999,20000000,22648206,0,20000000,1048576
fm200g_s1_timely,timely,2,63,62,64,1048576,14999999,20000000,22648265,0,20000000,1048576
fm200g_s1_timely,timely,2,9,8,64,1048576,14999999,20000000,22680164,0,20000000,1048576
fm200g_s1_timely,timely,2,15,14,64,1048576,14999999,20000000,22680303,0,20000000,1048576
fm200g_s1_timely,timely,2,29,28,64,1048576,14999999,20000000,22680842,0,20000000,1048576
fm200g_s1_timely,timely,2,33,32,64,1048576,14999999,20000000,22681061,0,20000000,1048576
fm200g_s1_timely,timely,2,39,38,64,1048576,14999999,20000000,22681480,0,20000000,1048576
fm200g_s1_timely,timely,2,58,57,64,1048576,14999999,20000000,22682819,0,20000000,1048576
fm200g_s1_timely,timely,2,64,63,64,1048576,14999999,20000000,22683318,0,20000000,1048576
fm200g_s1_timely,timely,2,6,5,64,1048576,14999999,20000000,22807177,0,20000000,1048576
fm200g_s1_timely,timely,2,19,18,64,1048576,14999999,20000000,22807196,0,20000000,1048576
fm200g_s1_timely,timely,2,26,25,64,1048576,14999999,20000000,22807215,0,20000000,1048576
fm200g_s1_timely,timely,2,35,34,64,1048576,14999999,20000000,22807314,0,20000000,1048576
fm200g_s1_timely,timely,2,38,37,64,1048576,14999999,20000000,22807373,0,20000000,1048576
fm200g_s1_timely,timely,2,45,44,64,1048576,14999999,20000000,22807432,0,20000000,1048576
fm200g_s1_timely,timely,2,7,6,64,1048576,14999999,20000000,22807651,0,20000000,1048576
fm200g_s1_timely,timely,2,20,19,64,1048576,14999999,20000000,22807950,0,20000000,1048576
fm200g_s1_timely,timely,2,28,27,64,1048576,14999999,20000000,22808089,0,20000000,1048576
fm200g_s1_timely,timely,2,36,35,64,1048576,14999999,20000000,22808388,0,20000000,1048576
fm200g_s1_timely,timely,2,30,29,64,1048576,14999999,20000000,22808447,0,20000000,1048576
fm200g_s1_timely,timely,2,40,39,64,1048576,14999999,20000000,22808586,0,20000000,1048576
fm200g_s1_timely,timely,2,60,59,64,1048576,14999999,20000000,22808685,0,20000000,1048576
fm200g_s1_timely,timely,2,48,47,64,1048576,14999999,20000000,22808704,0,20000000,1048576
fm200g_s1_timely,timely,2,17,16,64,1048576,14999999,20000000,22826963,0,20000000,1048576
fm200g_s1_timely,timely,2,25,24,64,1048576,14999999,20000000,22826982,0,20000000,1048576
fm200g_s1_timely,timely,2,53,52,64,1048576,14999999,20000000,22827601,0,20000000,1048576
fm200g_s1_timely,timely,2,18,17,64,1048576,14999999,20000000,22828220,0,20000000,1048576
fm200g_s1_timely,timely,2,27,26,64,1048576,14999999,20000000,22828399,0,20000000,1048576
fm200g_s1_timely,timely,2,56,55,64,1048576,14999999,20000000,22829098,0,20000000,1048576
fm200g_s1_timely,timely,2,41,40,64,1048576,14999999,20000000,22850997,0,20000000,1048576
fm200g_s1_timely,timely,2,42,41,64,1048576,14999999,20000000,22851296,0,20000000,1048576
fm200g_s1_timely,timely,2,44,43,64,1048576,14999999,20000000,22851355,0,20000000,1048576
fm200g_s1_timely,timely,2,49,48,64,1048576,14999999,20000000,22869854,0,20000000,1048576
fm200g_s1_timely,timely,2,50,49,64,1048576,14999999,20000000,22869913,0,20000000,1048576
