time_ns,node_id,if_index,q_index,event_type
20305402,87,17,3,1
20322412,87,17,3,0
20327854,87,17,3,1
20344892,87,17,3,0
20350334,87,17,3,1
20367412,87,17,3,0
20372854,87,17,3,1
20389932,87,17,3,0
20395374,87,17,3,1
20412572,87,17,3,0
20418054,87,17,3,1
20434732,87,17,3,0
20440174,87,17,3,1
20456892,87,17,3,0
20462334,87,17,3,1
20479012,87,17,3,0
20484454,87,17,3,1
20501092,87,17,3,0
20506574,87,17,3,1
20523372,87,17,3,0
20528894,87,17,3,1
20545692,87,17,3,0
20551174,87,17,3,1
20567972,87,17,3,0
20573494,87,17,3,1
20590292,87,17,3,0
20595774,87,17,3,1
20612572,87,17,3,0
20618094,87,17,3,1
20634852,87,17,3,0
20640374,87,17,3,1
20657172,87,17,3,0
20662654,87,17,3,1
20679452,87,17,3,0
20684974,87,17,3,1
20701732,87,17,3,0
20707174,87,17,3,1
20723892,87,17,3,0
20729414,87,17,3,1
20746172,87,17,3,0
20751614,87,17,3,1
20768332,87,17,3,0
20773854,87,17,3,1
20790612,87,17,3,0
20796094,87,17,3,1
20812892,87,17,3,0
20818414,87,17,3,1
20835212,87,17,3,0
20840694,87,17,3,1
20857492,87,17,3,0
20863014,87,17,3,1
20879772,87,17,3,0
20885494,87,17,3,1
20899212,87,17,3,0
20905134,87,17,3,1
20918692,87,17,3,0
20924654,87,17,3,1
20938212,87,17,3,0
20944134,87,17,3,1
20957692,87,17,3,0
20963654,87,17,3,1
20977212,87,17,3,0
20983214,87,17,3,1
20995652,87,17,3,0
21002374,87,17,3,1
21012812,87,17,3,0
21019734,87,17,3,1
21030132,87,17,3,0
21038254,87,17,3,1
21045692,87,17,3,0
21055454,87,17,3,1
21062692,87,17,3,0
21072454,87,17,3,1
21079652,87,17,3,0
21089494,87,17,3,1
21096732,87,17,3,0
21104894,87,17,3,1
21122652,87,17,3,0
21128174,87,17,3,1
21144772,87,17,3,0
21150214,87,17,3,1
21166732,87,17,3,0
21172174,87,17,3,1
21188612,87,17,3,0
21194054,87,17,3,1
21210612,87,17,3,0
21216094,87,17,3,1
21232492,87,17,3,0
21237934,87,17,3,1
21254772,87,17,3,0
21260254,87,17,3,1
21276932,87,17,3,0
21282374,87,17,3,1
21299052,87,17,3,0
21304534,87,17,3,1
21321452,87,17,3,0
21326934,87,17,3,1
21343852,87,17,3,0
21349374,87,17,3,1
21366332,87,17,3,0
21371814,87,17,3,1
21388772,87,17,3,0
21394294,87,17,3,1
21411212,87,17,3,0
21416694,87,17,3,1
21433612,87,17,3,0
21439174,87,17,3,1
21456172,87,17,3,0
21461654,87,17,3,1
21478572,87,17,3,0
21484054,87,17,3,1
21500932,87,17,3,0
21506414,87,17,3,1
21523292,87,17,3,0
21528774,87,17,3,1
21545692,87,17,3,0
21551174,87,17,3,1
21568052,87,17,3,0
21573534,87,17,3,1
21590412,87,17,3,0
21595934,87,17,3,1
21612892,87,17,3,0
21618374,87,17,3,1
21635332,87,17,3,0
21640854,87,17,3,1
21657772,87,17,3,0
21663254,87,17,3,1
21680172,87,17,3,0
21685894,87,17,3,1
21699852,87,17,3,0
21705734,87,17,3,1
21719412,87,17,3,0
21725374,87,17,3,1
21739052,87,17,3,0
21744974,87,17,3,1
21758652,87,17,3,0
21764614,87,17,3,1
21778212,87,17,3,0
21784214,87,17,3,1
21797212,87,17,3,0
21803894,87,17,3,1
21814212,87,17,3,0
21821134,87,17,3,1
21831652,87,17,3,0
21839694,87,17,3,1
21847972,87,17,3,0
21857854,87,17,3,1
21864892,87,17,3,0
21875014,87,17,3,1
21881972,87,17,3,0
21892174,87,17,3,1
21899012,87,17,3,0
21907734,87,17,3,1
21924972,87,17,3,0
21931854,87,17,3,1
21947012,87,17,3,0
21953614,87,17,3,1
21968972,87,17,3,0
21975574,87,17,3,1
21990852,87,17,3,0
21997454,87,17,3,1
22012892,87,17,3,0
22019574,87,17,3,1
22034772,87,17,3,0
22041334,87,17,3,1
22056972,87,17,3,0
22063654,87,17,3,1
22079132,87,17,3,0
22085734,87,17,3,1
22101252,87,17,3,0
22107972,87,17,3,1
22123572,87,17,3,0
22130654,87,17,3,1
22146012,87,17,3,0
22153134,87,17,3,1
22168172,87,17,3,0
22178020,87,17,3,1
22188372,87,17,3,0
