scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
fm200g_s2_cbap0,cbap_sba,2,30,0b001d01-0b004001-10000-3,29,64,4194304,0.020000000,0.030654210,0.010654210,4194304,1,3149405915.596,0,0
fm200g_s2_cbap0,cbap_sba,2,54,0b003501-0b004001-10000-3,53,64,4194304,0.020000000,0.030663442,0.010663442,4194304,1,3146679280.480,0,0
fm200g_s2_cbap0,cbap_sba,2,32,0b001f01-0b004001-10000-3,31,64,4194304,0.020000000,0.030664314,0.010664314,4194304,1,3146421982.699,0,0
fm200g_s2_cbap0,cbap_sba,2,62,0b003d01-0b004001-10000-3,61,64,4194304,0.020000000,0.030975746,0.010975746,4194304,1,3057143632.879,0,0
fm200g_s2_cbap0,cbap_sba,2,2,0b000101-0b004001-10000-3,1,64,4194304,0.020000000,0.031359578,0.011359578,4194304,1,2953844940.367,0,0
fm200g_s2_cbap0,cbap_sba,2,3,0b000201-0b004001-10000-3,2,64,4194304,0.020000000,0.031359770,0.011359770,4194304,1,2953795015.216,0,0
fm200g_s2_cbap0,cbap_sba,2,7,0b000601-0b004001-10000-3,6,64,4194304,0.020000000,0.031359882,0.011359882,4194304,1,2953765892.991,0,0
fm200g_s2_cbap0,cbap_sba,2,9,0b000801-0b004001-10000-3,8,64,4194304,0.020000000,0.031359954,0.011359954,4194304,1,2953747171.864,0,0
fm200g_s2_cbap0,cbap_sba,2,10,0b000901-0b004001-10000-3,9,64,4194304,0.020000000,0.031359986,0.011359986,4194304,1,2953738851.439,0,0
fm200g_s2_cbap0,cbap_sba,2,11,0b000a01-0b004001-10000-3,10,64,4194304,0.020000000,0.031360058,0.011360058,4194304,1,2953720130.654,0,0
fm200g_s2_cbap0,cbap_sba,2,13,0b000c01-0b004001-10000-3,12,64,4194304,0.020000000,0.031360170,0.011360170,4194304,1,2953691009.906,0,0
fm200g_s2_cbap0,cbap_sba,2,14,0b000d01-0b004001-10000-3,13,64,4194304,0.020000000,0.031360202,0.011360202,4194304,1,2953682689.797,0,0
fm200g_s2_cbap0,cbap_sba,2,15,0b000e01-0b004001-10000-3,14,64,4194304,0.020000000,0.031360234,0.011360234,4194304,1,2953674369.736,0,0
fm200g_s2_cbap0,cbap_sba,2,16,0b000f01-0b004001-10000-3,15,64,4194304,0.020000000,0.031360266,0.011360266,4194304,1,2953666049.721,0,0
fm200g_s2_cbap0,cbap_sba,2,17,0b001001-0b004001-10000-3,16,64,4194304,0.020000000,0.031360298,0.011360298,4194304,1,2953657729.753,0,0
fm200g_s2_cbap0,cbap_sba,2,19,0b001201-0b004001-10000-3,18,64,4194304,0.020000000,0.031360370,0.011360370,4194304,1,2953639009.997,0,0
fm200g_s2_cbap0,cbap_sba,2,20,0b001301-0b004001-10000-3,19,64,4194304,0.020000000,0.031360402,0.011360402,4194304,1,2953630690.182,0,0
fm200g_s2_cbap0,cbap_sba,2,22,0b001501-0b004001-10000-3,21,64,4194304,0.020000000,0.031360434,0.011360434,4194304,1,2953622370.413,0,0
fm200g_s2_cbap0,cbap_sba,2,23,0b001601-0b004001-10000-3,22,64,4194304,0.020000000,0.031360466,0.011360466,4194304,1,2953614050.691,0,0
fm200g_s2_cbap0,cbap_sba,2,27,0b001a01-0b004001-10000-3,26,64,4194304,0.020000000,0.031360498,0.011360498,4194304,1,2953605731.016,0,0
fm200g_s2_cbap0,cbap_sba,2,28,0b001b01-0b004001-10000-3,27,64,4194304,0.020000000,0.031360530,0.011360530,4194304,1,2953597411.388,0,0
fm200g_s2_cbap0,cbap_sba,2,34,0b002101-0b004001-10000-3,33,64,4194304,0.020000000,0.031360602,0.011360602,4194304,1,2953578692.397,0,0
fm200g_s2_cbap0,cbap_sba,2,29,0b001c01-0b004001-10000-3,28,64,4194304,0.020000000,0.031360634,0.011360634,4194304,1,2953570372.921,0,0
fm200g_s2_cbap0,cbap_sba,2,35,0b002201-0b004001-10000-3,34,64,4194304,0.020000000,0.031360666,0.011360666,4194304,1,2953562053.492,0,0
fm200g_s2_cbap0,cbap_sba,2,24,0b001701-0b004001-10000-3,23,64,4194304,0.020000000,0.031360698,0.011360698,4194304,1,2953553734.110,0,0
fm200g_s2_cbap0,cbap_sba,2,33,0b002001-0b004001-10000-3,32,64,4194304,0.020000000,0.031360730,0.011360730,4194304,1,2953545414.775,0,0
fm200g_s2_cbap0,cbap_sba,2,38,0b002501-0b004001-10000-3,37,64,4194304,0.020000000,0.031360762,0.011360762,4194304,1,2953537095.487,0,0
fm200g_s2_cbap0,cbap_sba,2,39,0b002601-0b004001-10000-3,38,64,4194304,0.020000000,0.031360794,0.011360794,4194304,1,2953528776.246,0,0
fm200g_s2_cbap0,cbap_sba,2,40,0b002701-0b004001-10000-3,39,64,4194304,0.020000000,0.031360906,0.011360906,4194304,1,2953499659.270,0,0
fm200g_s2_cbap0,cbap_sba,2,41,0b002801-0b004001-10000-3,40,64,4194304,0.020000000,0.031360938,0.011360938,4194304,1,2953491340.240,0,0
fm200g_s2_cbap0,cbap_sba,2,42,0b002901-0b004001-10000-3,41,64,4194304,0.020000000,0.031360970,0.011360970,4194304,1,2953483021.256,0,0
fm200g_s2_cbap0,cbap_sba,2,45,0b002c01-0b004001-10000-3,44,64,4194304,0.020000000,0.031361002,0.011361002,4194304,1,2953474702.319,0,0
fm200g_s2_cbap0,cbap_sba,2,48,0b002f01-0b004001-10000-3,47,64,4194304,0.020000000,0.031361034,0.011361034,4194304,1,2953466383.430,0,0
fm200g_s2_cbap0,cbap_sba,2,50,0b003101-0b004001-10000-3,49,64,4194304,0.020000000,0.031361066,0.011361066,4194304,1,2953458064.587,0,0
fm200g_s2_cbap0,cbap_sba,2,51,0b003201-0b004001-10000-3,50,64,4194304,0.020000000,0.031361098,0.011361098,4194304,1,2953449745.790,0,0
fm200g_s2_cbap0,cbap_sba,2,52,0b003301-0b004001-10000-3,51,64,4194304,0.020000000,0.031361130,0.011361130,4194304,1,2953441427.041,0,0
fm200g_s2_cbap0,cbap_sba,2,56,0b003701-0b004001-10000-3,55,64,4194304,0.020000000,0.031361242,0.011361242,4194304,1,2953412311.788,0,0
fm200g_s2_cbap0,cbap_sba,2,57,0b003801-0b004001-10000-3,56,64,4194304,0.020000000,0.031361274,0.011361274,4194304,1,2953403993.249,0,0
fm200g_s2_cbap0,cbap_sba,2,59,0b003a01-0b004001-10000-3,58,64,4194304,0.020000000,0.031361306,0.011361306,4194304,1,2953395674.758,0,0
fm200g_s2_cbap0,cbap_sba,2,58,0b003901-0b004001-10000-3,57,64,4194304,0.020000000,0.031361338,0.011361338,4194304,1,2953387356.313,0,0
fm200g_s2_cbap0,cbap_sba,2,63,0b003e01-0b004001-10000-3,62,64,4194304,0.020000000,0.031361370,0.011361370,4194304,1,2953379037.915,0,0
fm200g_s2_cbap0,cbap_sba,2,36,0b002301-0b004001-10000-3,35,64,4194304,0.020000000,0.031363602,0.011363602,4194304,1,2952798945.264,0,0
fm200g_s2_cbap0,cbap_sba,2,4,0b000301-0b004001-10000-3,3,64,4194304,0.020000000,0.031366834,0.011366834,4194304,1,2951959358.252,0,0
fm200g_s2_cbap0,cbap_sba,2,37,0b002401-0b004001-10000-3,36,64,4194304,0.020000000,0.031367586,0.011367586,4194304,1,2951764077.263,0,0
fm200g_s2_cbap0,cbap_sba,2,1,0b000001-0b004001-10000-3,0,64,4194304,0.020000000,0.031367858,0.011367858,4194304,1,2951693450.077,0,0
fm200g_s2_cbap0,cbap_sba,2,6,0b000501-0b004001-10000-3,5,64,4194304,0.020000000,0.031378844,0.011378844,4194304,1,2948843661.096,0,0
fm200g_s2_cbap0,cbap_sba,2,61,0b003c01-0b004001-10000-3,60,64,4194304,0.020000000,0.031381249,0.011381249,4194304,1,2948220533.616,0,0
fm200g_s2_cbap0,cbap_sba,2,12,0b000b01-0b004001-10000-3,11,64,4194304,0.020000000,0.031404058,0.011404058,4194304,1,2942323864.014,0,0
fm200g_s2_cbap0,cbap_sba,2,47,0b002e01-0b004001-10000-3,46,64,4194304,0.020000000,0.031404543,0.011404543,4194304,1,2942198736.065,0,0
fm200g_s2_cbap0,cbap_sba,2,26,0b001901-0b004001-10000-3,25,64,4194304,0.020000000,0.031405468,0.011405468,4194304,1,2941960119.480,0,0
fm200g_s2_cbap0,cbap_sba,2,44,0b002b01-0b004001-10000-3,43,64,4194304,0.020000000,0.031409883,0.011409883,4194304,1,2940821741.993,0,0
fm200g_s2_cbap0,cbap_sba,2,18,0b001101-0b004001-10000-3,17,64,4194304,0.020000000,0.031421139,0.011421139,4194304,1,2937923441.786,0,0
fm200g_s2_cbap0,cbap_sba,2,21,0b001401-0b004001-10000-3,20,64,4194304,0.020000000,0.031422697,0.011422697,4194304,1,2937522723.399,0,0
fm200g_s2_cbap0,cbap_sba,2,5,0b000401-0b004001-10000-3,4,64,4194304,0.020000000,0.031423049,0.011423049,4194304,1,2937432203.959,0,0
fm200g_s2_cbap0,cbap_sba,2,46,0b002d01-0b004001-10000-3,45,64,4194304,0.020000000,0.031423892,0.011423892,4194304,1,2937215442.863,0,0
fm200g_s2_cbap0,cbap_sba,2,60,0b003b01-0b004001-10000-3,59,64,4194304,0.020000000,0.031427960,0.011427960,4194304,1,2936169885.089,0,0
fm200g_s2_cbap0,cbap_sba,2,53,0b003401-0b004001-10000-3,52,64,4194304,0.020000000,0.031429643,0.011429643,4194304,1,2935737537.909,0,0
fm200g_s2_cbap0,cbap_sba,2,49,0b003001-0b004001-10000-3,48,64,4194304,0.020000000,0.031429755,0.011429755,4194304,1,2935708770.660,0,0
fm200g_s2_cbap0,cbap_sba,2,43,0b002a01-0b004001-10000-3,42,64,4194304,0.020000000,0.031433518,0.011433518,4194304,1,2934742570.047,0,0
fm200g_s2_cbap0,cbap_sba,2,64,0b003f01-0b004001-10000-3,63,64,4194304,0.020000000,0.031435838,0.011435838,4194304,1,2934147195.859,0,0
fm200g_s2_cbap0,cbap_sba,2,31,0b001e01-0b004001-10000-3,30,64,4194304,0.020000000,0.031453986,0.011453986,4194304,1,2929498255.018,0,0
fm200g_s2_cbap0,cbap_sba,2,55,0b003601-0b004001-10000-3,54,64,4194304,0.020000000,0.031456066,0.011456066,4194304,1,2928966365.941,0,0
fm200g_s2_cbap0,cbap_sba,2,8,0b000701-0b004001-10000-3,7,64,4194304,0.020000000,0.031458588,0.011458588,4194304,1,2928321709.446,0,0
fm200g_s2_cbap0,cbap_sba,2,25,0b001801-0b004001-10000-3,24,64,4194304,0.020000000,0.031458620,0.011458620,4194304,1,2928313531.647,0,0
fm200g_s2_cbap0,cbap_sba,2,0,0b004101-0b004001-10000-3,65,64,1386879564,0.010005000,,,527327080,0,108183527118.861,0,0
