scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
fm200g_s4_cbap,cbap_sba,2,57,56,64,4194304,14999999,20007474,28554338,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,36,35,64,4194304,14999999,20006546,29480057,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,48,47,64,4194304,14999999,20007076,29612729,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,41,40,64,4194304,14999999,20006767,29911961,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,31,30,64,4194304,14999999,20006325,30007113,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,46,45,64,4194304,14999999,20006988,30015105,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,44,43,64,4194304,14999999,20006900,30103057,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,30,29,64,4194304,14999999,20006281,30289089,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,53,52,64,4194304,14999999,20007297,30387241,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,34,33,64,4194304,14999999,20006458,30387993,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,38,37,64,4194304,14999999,20006634,30410505,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,17,16,64,4194304,14999999,20005707,30480617,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,3,2,64,4194304,14999999,20005088,30483169,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,25,24,64,4194304,14999999,20006060,30485801,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,49,48,64,4194304,14999999,20007121,30534633,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,15,14,64,4194304,14999999,20005618,30552745,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,24,23,64,4194304,14999999,20006016,30553257,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,6,5,64,4194304,14999999,20005220,30563729,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,11,10,64,4194304,14999999,20005441,30713201,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,7,6,64,4194304,14999999,20005265,30714873,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,54,53,64,4194304,14999999,20007341,30755425,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,62,61,64,4194304,14999999,20007695,30767177,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,52,51,64,4194304,14999999,20007253,30787969,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,51,50,64,4194304,14999999,20007209,30801641,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,21,20,64,4194304,14999999,20005883,30857113,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,59,58,64,4194304,14999999,20007562,30902505,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,42,41,64,4194304,14999999,20006811,30960257,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,12,11,64,4194304,14999999,20005486,30993209,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,20,19,64,4194304,14999999,20005839,30994241,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,5,4,64,4194304,14999999,20005176,31002673,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,35,34,64,4194304,14999999,20006502,31097425,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,32,31,64,4194304,14999999,20006369,31112577,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,56,55,64,4194304,14999999,20007430,31114289,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,8,7,64,4194304,14999999,20005309,31130241,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,60,59,64,4194304,14999999,20007607,31134633,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,29,28,64,4194304,14999999,20006237,31144185,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,37,36,64,4194304,14999999,20006590,31186857,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,27,26,64,4194304,14999999,20006148,31204329,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,18,17,64,4194304,14999999,20005751,31206401,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,61,60,64,4194304,14999999,20007651,31251708,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,26,25,64,4194304,14999999,20006104,31286503,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,43,42,64,4194304,14999999,20006855,31290418,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,4,3,64,4194304,14999999,20005132,31299928,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,2,1,64,4194304,14999999,20005044,31320487,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,1,0,64,4194304,14999999,20005000,31351059,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,14,13,64,4194304,14999999,20005574,31370652,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,16,15,64,4194304,14999999,20005662,31379382,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,63,62,64,4194304,14999999,20007739,31445806,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,28,27,64,4194304,14999999,20006193,31448278,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,47,46,64,4194304,14999999,20007032,31460223,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,55,54,64,4194304,14999999,20007386,31463685,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,33,32,64,4194304,14999999,20006414,31466786,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,39,38,64,4194304,14999999,20006679,31479135,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,58,57,64,4194304,14999999,20007518,31501753,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,10,9,64,4194304,14999999,20005397,31509093,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,40,39,64,4194304,14999999,20006723,31511125,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,64,63,64,4194304,14999999,20007783,31522715,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,22,21,64,4194304,14999999,20005927,31523860,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,9,8,64,4194304,14999999,20005353,31538210,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,13,12,64,4194304,14999999,20005530,31549991,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,45,44,64,4194304,14999999,20006944,31552366,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,50,49,64,4194304,14999999,20007165,31562279,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,19,18,64,4194304,14999999,20005795,31569917,20000000,20005000,4194304
fm200g_s4_cbap,cbap_sba,2,23,22,64,4194304,14999999,20005972,31579468,20000000,20005000,4194304
