scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
fm200g_s4_hpcc,hpcc,2,37,0b002401-0b004001-10000-3,36,64,4194304,0.020000000,0.031953466,0.011953466,4194304,1,2807088086.418,0,0
fm200g_s4_hpcc,hpcc,2,23,0b001601-0b004001-10000-3,22,64,4194304,0.020000000,0.031987799,0.011987799,4194304,1,2799048599.330,0,0
fm200g_s4_hpcc,hpcc,2,9,0b000801-0b004001-10000-3,8,64,4194304,0.020000000,0.032006010,0.012006010,4194304,1,2794802936.196,0,0
fm200g_s4_hpcc,hpcc,2,48,0b002f01-0b004001-10000-3,47,64,4194304,0.020000000,0.032055556,0.012055556,4194304,1,2783316837.481,0,0
fm200g_s4_hpcc,hpcc,2,59,0b003a01-0b004001-10000-3,58,64,4194304,0.020000000,0.032077777,0.012077777,4194304,1,2778196020.675,0,0
fm200g_s4_hpcc,hpcc,2,39,0b002601-0b004001-10000-3,38,64,4194304,0.020000000,0.032091313,0.012091313,4194304,1,2775085881.905,0,0
fm200g_s4_hpcc,hpcc,2,4,0b000301-0b004001-10000-3,3,64,4194304,0.020000000,0.032100638,0.012100638,4194304,1,2772947343.768,0,0
fm200g_s4_hpcc,hpcc,2,31,0b001e01-0b004001-10000-3,30,64,4194304,0.020000000,0.032121682,0.012121682,4194304,1,2768133333.311,0,0
fm200g_s4_hpcc,hpcc,2,60,0b003b01-0b004001-10000-3,59,64,4194304,0.020000000,0.032127637,0.012127637,4194304,1,2766774104.469,0,0
fm200g_s4_hpcc,hpcc,2,43,0b002a01-0b004001-10000-3,42,64,4194304,0.020000000,0.032136873,0.012136873,4194304,1,2764668625.930,0,0
fm200g_s4_hpcc,hpcc,2,63,0b003e01-0b004001-10000-3,62,64,4194304,0.020000000,0.032156797,0.012156797,4194304,1,2760137559.260,0,0
fm200g_s4_hpcc,hpcc,2,22,0b001501-0b004001-10000-3,21,64,4194304,0.020000000,0.032181561,0.012181561,4194304,1,2754526451.905,0,0
fm200g_s4_hpcc,hpcc,2,36,0b002301-0b004001-10000-3,35,64,4194304,0.020000000,0.032181888,0.012181888,4194304,1,2754452511.795,0,0
fm200g_s4_hpcc,hpcc,2,38,0b002501-0b004001-10000-3,37,64,4194304,0.020000000,0.032188687,0.012188687,4194304,1,2752916044.197,0,0
fm200g_s4_hpcc,hpcc,2,52,0b003301-0b004001-10000-3,51,64,4194304,0.020000000,0.032190643,0.012190643,4194304,1,2752474336.259,0,0
fm200g_s4_hpcc,hpcc,2,19,0b001201-0b004001-10000-3,18,64,4194304,0.020000000,0.032193143,0.012193143,4194304,1,2751909987.441,0,0
fm200g_s4_hpcc,hpcc,2,58,0b003901-0b004001-10000-3,57,64,4194304,0.020000000,0.032204548,0.012204548,4194304,1,2749338361.404,0,0
fm200g_s4_hpcc,hpcc,2,25,0b001801-0b004001-10000-3,24,64,4194304,0.020000000,0.032211557,0.012211557,4194304,1,2747760338.833,0,0
fm200g_s4_hpcc,hpcc,2,32,0b001f01-0b004001-10000-3,31,64,4194304,0.020000000,0.032214299,0.012214299,4194304,1,2747143491.411,0,0
fm200g_s4_hpcc,hpcc,2,33,0b002001-0b004001-10000-3,32,64,4194304,0.020000000,0.032216157,0.012216157,4194304,1,2746725668.310,0,0
fm200g_s4_hpcc,hpcc,2,15,0b000e01-0b004001-10000-3,14,64,4194304,0.020000000,0.032217900,0.012217900,4194304,1,2746333821.688,0,0
fm200g_s4_hpcc,hpcc,2,54,0b003501-0b004001-10000-3,53,64,4194304,0.020000000,0.032221147,0.012221147,4194304,1,2745604156.467,0,0
fm200g_s4_hpcc,hpcc,2,14,0b000d01-0b004001-10000-3,13,64,4194304,0.020000000,0.032226612,0.012226612,4194304,1,2744376937.781,0,0
fm200g_s4_hpcc,hpcc,2,28,0b001b01-0b004001-10000-3,27,64,4194304,0.020000000,0.032228086,0.012228086,4194304,1,2744046124.635,0,0
fm200g_s4_hpcc,hpcc,2,34,0b002101-0b004001-10000-3,33,64,4194304,0.020000000,0.032229531,0.012229531,4194304,1,2743721897.430,0,0
fm200g_s4_hpcc,hpcc,2,13,0b000c01-0b004001-10000-3,12,64,4194304,0.020000000,0.032247836,0.012247836,4194304,1,2739621268.606,0,0
fm200g_s4_hpcc,hpcc,2,20,0b001301-0b004001-10000-3,19,64,4194304,0.020000000,0.032256923,0.012256923,4194304,1,2737590176.588,0,0
fm200g_s4_hpcc,hpcc,2,45,0b002c01-0b004001-10000-3,44,64,4194304,0.020000000,0.032257496,0.012257496,4194304,1,2737462202.721,0,0
fm200g_s4_hpcc,hpcc,2,57,0b003801-0b004001-10000-3,56,64,4194304,0.020000000,0.032288937,0.012288937,4194304,1,2730458460.321,0,0
fm200g_s4_hpcc,hpcc,2,8,0b000701-0b004001-10000-3,7,64,4194304,0.020000000,0.032300309,0.012300309,4194304,1,2727934070.599,0,0
fm200g_s4_hpcc,hpcc,2,10,0b000901-0b004001-10000-3,9,64,4194304,0.020000000,0.032301890,0.012301890,4194304,1,2727583485.139,0,0
fm200g_s4_hpcc,hpcc,2,29,0b001c01-0b004001-10000-3,28,64,4194304,0.020000000,0.032313943,0.012313943,4194304,1,2724913701.485,0,0
