scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
fm200g_s4_hpcc,hpcc,2,0,0b004101-0b004001-10000-3,0,0,1,0.010000000,0.000000000,0.000000000,0.000000000,1386879564,200000000000,2000000000,190000000000,0,0.000004092,0,20353386,0,1386879564,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,1,0b000001-0b004001-10000-3,0,1,64,0.020000000,0.032452934,0.032465082,0.012465082,4194304,200000000000,2000000000,14364220918,0,0.000012186,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,2,0b000101-0b004001-10000-3,0,1,64,0.020000000,0.032427518,0.032439683,0.012439683,4194304,200000000000,2000000000,9103093772,0,0.000014286,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,3,0b000201-0b004001-10000-3,0,1,64,0.020000000,0.032400241,0.032412410,0.012412410,4194304,200000000000,2000000000,8988175939,0,0.000016344,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,4,0b000301-0b004001-10000-3,0,1,64,0.020000000,0.032088321,0.032100638,0.012100638,4194304,200000000000,2000000000,3252801170,0,0.000012228,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,5,0b000401-0b004001-10000-3,0,1,64,0.020000000,0.032452345,0.032464493,0.012464493,4194304,200000000000,2000000000,8521720511,0,0.000012396,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,6,0b000501-0b004001-10000-3,0,1,64,0.020000000,0.032312104,0.032324308,0.012324308,4194304,200000000000,2000000000,4900413057,0,0.000012270,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,7,0b000601-0b004001-10000-3,0,1,64,0.020000000,0.032350579,0.032362881,0.012362881,4194304,200000000000,2000000000,5884997394,0,0.000014370,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,8,0b000701-0b004001-10000-3,0,1,64,0.020000000,0.032287957,0.032300309,0.012300309,4194304,200000000000,2000000000,4729914794,0,0.000014496,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,9,0b000801-0b004001-10000-3,0,1,64,0.020000000,0.031993692,0.032006010,0.012006010,4194304,200000000000,2000000000,2900992223,0,0.000012312,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,10,0b000901-0b004001-10000-3,0,1,64,0.020000000,0.032289692,0.032301890,0.012301890,4194304,200000000000,2000000000,4736415027,0,0.000012438,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,11,0b000a01-0b004001-10000-3,0,1,64,0.020000000,0.032440256,0.032452404,0.012452404,4194304,200000000000,2000000000,8217210876,0,0.000012606,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,12,0b000b01-0b004001-10000-3,0,1,64,0.020000000,0.032347339,0.032359544,0.012359544,4194304,200000000000,2000000000,5985186603,0,0.000014706,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,13,0b000c01-0b004001-10000-3,0,1,64,0.020000000,0.032235539,0.032247836,0.012247836,4194304,200000000000,2000000000,3864809387,0,0.000012480,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,14,0b000d01-0b004001-10000-3,0,1,64,0.020000000,0.032214455,0.032226612,0.012226612,4194304,200000000000,2000000000,4366646860,0,0.000012816,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,15,0b000e01-0b004001-10000-3,0,1,64,0.020000000,0.032205578,0.032217900,0.012217900,4194304,200000000000,2000000000,3811646691,0,0.000012522,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,16,0b000f01-0b004001-10000-3,0,1,64,0.020000000,0.032413422,0.032425583,0.012425583,4194304,200000000000,2000000000,8276573264,0,0.000014916,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,17,0b001001-0b004001-10000-3,0,1,64,0.020000000,0.032357079,0.032369301,0.012369301,4194304,200000000000,2000000000,5611601260,0,0.000012732,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,18,0b001101-0b004001-10000-3,0,1,64,0.020000000,0.032418639,0.032430787,0.012430787,4194304,200000000000,2000000000,8612685272,0,0.000015042,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,19,0b001201-0b004001-10000-3,0,1,64,0.020000000,0.032180904,0.032193143,0.012193143,4194304,200000000000,2000000000,3600285599,0,0.000012690,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,20,0b001301-0b004001-10000-3,0,1,64,0.020000000,0.032244775,0.032256923,0.012256923,4194304,200000000000,2000000000,4528406489,0,0.000014790,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,21,0b001401-0b004001-10000-3,0,1,64,0.020000000,0.032334297,0.032346451,0.012346451,4194304,200000000000,2000000000,5987212111,0,0.000013026,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,22,0b001501-0b004001-10000-3,0,1,64,0.020000000,0.032169255,0.032181561,0.012181561,4194304,200000000000,2000000000,3526778424,0,0.000015126,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
fm200g_s4_hpcc,hpcc,2,23,0b001601-0b004001-10000-3,0,1,64,0.020000000,0.031975534,0.031987799,0.011987799,4194304,200000000000,2000000000,3210632441,0,0.000012648,0,20353386,0,4194304,0,1.000000000,1.000000000,0,0
