time_ns,generation,flow_id,old_rate_bps,rate_bps,stage,delta_prev_stage_ns,delta_from_command_ns,seq
20010000,1,0,160000000000,116799999999,rate_command,0,0,0
20010000,2,1,2100840336,3578749999,rate_command,0,0,0
20010000,3,2,2100840336,3578749999,rate_command,0,0,0
20010000,4,3,2100840336,3578749999,rate_command,0,0,0
20010000,5,4,2100840336,3578749999,rate_command,0,0,0
20010000,6,5,2100840336,3578749999,rate_command,0,0,0
20010000,7,6,2100840336,3578749999,rate_command,0,0,0
20010000,8,7,2100840336,3578749999,rate_command,0,0,0
20010000,9,8,2100840336,3578749999,rate_command,0,0,0
20010000,10,9,2100840336,3578749999,rate_command,0,0,0
20010000,11,10,2100840336,3578749999,rate_command,0,0,0
20010000,12,11,2100840336,3578749999,rate_command,0,0,0
20010000,13,12,2100840336,3578749999,rate_command,0,0,0
20010000,14,13,2100840336,3578749999,rate_command,0,0,0
20010000,15,14,2100840336,3578749999,rate_command,0,0,0
20010000,16,15,2100840336,3578749999,rate_command,0,0,0
20010000,17,16,2100840336,3578749999,rate_command,0,0,0
20010000,18,17,2100840336,3578749999,rate_command,0,0,0
20010000,19,18,2100840336,3578749999,rate_command,0,0,0
20010000,20,19,2100840336,3578749999,rate_command,0,0,0
20010000,21,20,2100840336,3578749999,rate_command,0,0,0
20010000,22,21,2100840336,3578749999,rate_command,0,0,0
20010000,23,22,2100840336,3578749999,rate_command,0,0,0
20010000,24,23,2100840336,3578749999,rate_command,0,0,0
20010000,25,24,2100840336,3578749999,rate_command,0,0,0
20010000,26,25,2100840336,3578749999,rate_command,0,0,0
20010000,27,26,2100840336,3578749999,rate_command,0,0,0
20010000,28,27,2100840336,3578749999,rate_command,0,0,0
20010000,29,28,2100840336,3578749999,rate_command,0,0,0
20010000,30,29,2100840336,3578749999,rate_command,0,0,0
20010000,30,29,0,3578749999,sender_rate_effect,0,0,1904
20010000,31,30,2100840336,3578749999,rate_command,0,0,0
20010000,31,30,0,3578749999,sender_rate_effect,0,0,1904
20010000,32,31,2100840336,3578749999,rate_command,0,0,0
20010000,32,31,0,3578749999,sender_rate_effect,0,0,1904
20010000,33,32,2100840336,3578749999,rate_command,0,0,0
20010000,33,32,0,3578749999,sender_rate_effect,0,0,1904
20010018,1,0,0,116799999999,sender_rate_effect,18,0,190496152
20011126,1,0,0,116799999999,arrival_at_bottleneck,1108,1126,190496152
20011850,1,0,0,116799999999,first_affected_at_bottleneck,1832,1850,190496152
20011886,2,1,0,3578749999,sender_rate_effect,1886,0,2856
20011886,12,11,0,3578749999,sender_rate_effect,1886,0,2856
20011886,19,18,0,3578749999,sender_rate_effect,1886,0,2856
20011929,3,2,0,3578749999,sender_rate_effect,1929,0,2856
20011972,4,3,0,3578749999,sender_rate_effect,1972,0,2856
20012016,5,4,0,3578749999,sender_rate_effect,2016,0,2856
20012059,6,5,0,3578749999,sender_rate_effect,2059,0,2856
20012103,7,6,0,3578749999,sender_rate_effect,2103,0,2856
20012146,8,7,0,3578749999,sender_rate_effect,2146,0,2856
20012190,9,8,0,3578749999,sender_rate_effect,2190,0,2856
20012233,10,9,0,3578749999,sender_rate_effect,2233,0,2856
20012277,11,10,0,3578749999,sender_rate_effect,2277,0,2856
20012364,13,12,0,3578749999,sender_rate_effect,2364,0,2856
20012407,14,13,0,3578749999,sender_rate_effect,2407,0,2856
20012451,15,14,0,3578749999,sender_rate_effect,2451,0,2856
20012494,16,15,0,3578749999,sender_rate_effect,2494,0,2856
20012538,17,16,0,3578749999,sender_rate_effect,2538,0,2856
