scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
fm200g_s5_cbap,cbap_sba,2,0,0b004101-0b004001-10000-3,0,0,1,0.010005000,0.000000000,0.000000000,0.000000000,1386879564,160000000000,2000000268,158523240484,0,0.000000000,0,502000,0,1386879564,0,1.000000000,1.000000000,0,0
fm200g_s5_cbap,cbap_sba,2,1,0b000001-0b004001-10000-3,0,1,32,0.020005000,0.029845028,0.029865671,0.009865671,8388608,5750000000,2000000000,6494939089,0,0.000000000,0,502000,0,8388608,5,1.000000000,0.179385083,0,0
fm200g_s5_cbap,cbap_sba,2,2,0b000101-0b004001-10000-3,0,1,32,0.020005000,0.030011019,0.030030934,0.010030934,8388608,5750000000,2100840336,6600245174,0,0.000000000,0,502000,0,8388608,5,1.000000000,0.173316343,0,0
fm200g_s5_cbap,cbap_sba,2,3,0b000201-0b004001-10000-3,0,1,32,0.020005000,0.030657716,0.030674895,0.010674895,8388608,5750000000,2000000000,8787432735,0,0.000000000,0,502000,0,8388608,8,1.000000000,0.127408118,0,0
fm200g_s5_cbap,cbap_sba,2,4,0b000301-0b004001-10000-3,0,1,32,0.020005000,0.030327052,0.030346180,0.010346180,8388608,5750000000,2100840336,6966859667,0,0.000000000,0,502000,0,8388608,5,1.000000000,0.150891915,0,0
fm200g_s5_cbap,cbap_sba,2,5,0b000401-0b004001-10000-3,0,1,32,0.020005000,0.031102115,0.031115873,0.011115873,8388608,5750000000,2100840336,11659158758,0,0.000000000,0,502000,0,8388608,7,1.000000000,0.130247877,0,0
fm200g_s5_cbap,cbap_sba,2,6,0b000501-0b004001-10000-3,0,1,32,0.020005000,0.030346499,0.030364443,0.010364443,8388608,5750000000,2100840336,7308719015,0,0.000000000,0,502000,0,8388608,5,1.000000000,0.290961160,0,0
fm200g_s5_cbap,cbap_sba,2,7,0b000601-0b004001-10000-3,0,1,32,0.020005000,0.031638599,0.031650715,0.011650715,8388608,5750000000,2000000000,99004888832,0,0.000000000,0,502000,0,8388608,6,1.000000000,0.033114488,0,0
fm200g_s5_cbap,cbap_sba,2,8,0b000701-0b004001-10000-3,0,1,32,0.020005000,0.031418847,0.031430966,0.011430966,8388608,5750000000,2000000000,24768117705,0,0.000000000,0,502000,0,8388608,9,1.000000000,0.055339339,0,0
fm200g_s5_cbap,cbap_sba,2,9,0b000801-0b004001-10000-3,0,1,32,0.020005000,0.031562336,0.031574461,0.011574461,8388608,5750000000,2100840336,39446667645,0,0.000000000,0,502000,0,8388608,6,1.000000000,0.039329597,0,0
